"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.95157939232313e-16,-1.29533788213161,0.39,0.795,4.88338810459862e-12,"GPX1"
8.46657682707627e-16,-2.02363533160776,0.228,0.63,1.40079513603977e-11,"HLA-DRB5"
3.68308442645521e-12,-1.42581152182355,0.199,0.548,6.09366318357014e-08,"FKBP5"
7.79142799160701e-12,-0.543172831193651,0.794,0.986,1.28909176121138e-07,"SRGN"
1.18725820866155e-10,-0.582875871777078,0.869,0.973,1.96431870623053e-06,"RPS2"
2.52593714350931e-10,-1.00020092227393,0.501,0.712,4.17916300393616e-06,"HERPUD1"
5.76612445970429e-10,-0.413470608645563,0.961,1,9.54005291858075e-06,"MT-CYB"
7.79029588730266e-10,-0.35954891139696,1,1,1.28890445455423e-05,"FTL"
1.61461803743912e-09,7.38293263546883,0.245,0,2.67138554294302e-05,"NME2"
2.9803366904329e-09,-1.69885216154848,0.237,0.534,4.93096705432124e-05,"PLAUR"
8.21459803918574e-09,-1.5042647954068,0.264,0.575,0.000135910524558328,"REL"
9.80946676945738e-09,-1.77983162739023,0.123,0.37,0.000162297627700672,"CXCL3"
1.58933177304574e-08,-1.8149445364237,0.153,0.438,0.000262954941850417,"CREM"
2.75675217133494e-08,-1.99476344837098,0.138,0.411,0.000456104646747366,"RILPL2"
4.53030488326182e-08,-0.756692136314045,0.538,0.767,0.000749538942935668,"GLUL"
1.0373478116486e-07,1.0599229229235,0.494,0.205,0.00171629195437261,"ATP5F1E"
1.29857980338986e-07,-1.35737571399111,0.177,0.411,0.00214850028470853,"SAP30"
1.34377950191558e-07,-0.51403961870099,0.772,0.877,0.00222328318591933,"ACTG1"
1.84383164606545e-07,-0.360562204818212,0.92,0.959,0.00305061945841529,"SAT1"
2.04958015848297e-07,-0.55370459285819,0.835,0.986,0.00339103037221007,"HLA-DRA"
3.09059854795365e-07,1.42579563303155,0.424,0.137,0.00511339529758932,"ATP5MG"
3.9443200402878e-07,-0.65678240557796,0.775,0.959,0.00652587750665616,"HLA-DPA1"
4.49282754603529e-07,-2.28910583099191,0.053,0.26,0.0074333831749154,"PER1"
6.1264843673972e-07,6.53667546696116,0.182,0,0.0101362683858587,"ADA2"
6.18843168715914e-07,-2.47067266803849,0.082,0.315,0.0102387602264048,"FILIP1L"
6.61018885637555e-07,-0.353220578311526,0.923,0.959,0.0109365574628734,"RPL15"
6.92828983308489e-07,-0.617098607342528,0.496,0.74,0.0114628555288389,"MCL1"
7.82575668791815e-07,-1.07637829469777,0.337,0.562,0.0129477144401606,"METRNL"
9.40590359353292e-07,-0.612740709623194,0.789,0.973,0.0155620674955002,"CST3"
1.01449820147349e-06,6.67294038801976,0.167,0,0.0167848727433789,"MICOS10"
1.265876995405e-06,-0.390780756802489,0.944,1,0.0209439348889757,"MT-ND1"
1.53638894163512e-06,1.05728200581316,0.61,0.342,0.025419555039353,"HNRNPH1"
1.58966467817743e-06,-0.579707556775846,0.552,0.753,0.0263010021004456,"CEBPB"
1.68077183967445e-06,1.02242790601608,0.47,0.205,0.0278083700874138,"RACK1"
1.7488719046494e-06,0.847878708731085,0.782,0.466,0.0289350856624243,"TXNIP"
1.85105944058287e-06,-1.23186430663238,0.237,0.301,0.0306257784444435,"S100A9"
1.95122996013385e-06,-0.302815513809398,0.985,1,0.0322830996904145,"MT-CO2"
2.07676738377555e-06,1.60939903983705,0.448,0.164,0.0343601163645664,"GABARAP"
2.30569129384335e-06,-1.17983261795983,0.332,0.603,0.0381476624566382,"CD163"
2.35038692540671e-06,-1.77327890689577,0.104,0.329,0.0388871516808541,"DDIT4"
2.44655924490345e-06,4.08593541209816,0.308,0.014,0.0404783227069275,"FN1"
2.52494306659672e-06,-0.818231434581586,0.571,0.671,0.0417751830368428,"CTSZ"
3.03585357848682e-06,-0.26308009634111,0.416,0.63,0.0502281974560644,"ALDOA"
3.25861629462044e-06,2.25459092795118,0.257,0.041,0.0539138065944952,"ATP5MC1"
3.49363692726535e-06,-0.842993605754246,0.492,0.644,0.0578022229616052,"SLC25A6"
3.65764816712779e-06,-0.359186963865231,0.937,0.973,0.0605157889251293,"HLA-B"
3.77991600023435e-06,6.46264960041781,0.153,0,0.0625387102238774,"TOMM6"
4.24384944215969e-06,-1.38228077859361,0.247,0.466,0.0702144890205321,"GPR183"
4.68931441596079e-06,1.3635550770014,0.475,0.205,0.0775847070120713,"RPL17"
5.34911702297071e-06,-1.48347021524481,0.162,0.384,0.0885011411450503,"TNFAIP3"
5.38454289728478e-06,-0.347151069092818,0.949,1,0.0890872622355767,"ACTB"
5.96958953589424e-06,-0.731985549640387,0.581,0.699,0.0987668588713702,"TUBA1B"
6.37538798187382e-06,3.21577548278852,0.232,0.027,0.105480794160102,"EEF1G"
6.65696475384619e-06,-0.451894043983274,0.717,0.781,0.110139481852385,"CLIC1"
6.92005244146769e-06,-1.8396226203706,0.094,0.301,0.114492267644083,"ZNF331"
7.26961320524671e-06,-0.642397556361642,0.646,0.808,0.120275750480807,"YBX1"
1.04179138081594e-05,-0.735453498046217,0.554,0.726,0.172364383955997,"HSP90AB1"
1.07052475129915e-05,-0.312231765879961,0.976,1,0.177118320102444,"MT-CO3"
1.09018268778383e-05,-0.390130182650906,0.874,0.932,0.180370725693835,"RPS7"
1.18248070434117e-05,-0.700747137966093,0.489,0.63,0.195641432533247,"NFKBIA"
1.31404917468492e-05,-0.933838784730131,0.472,0.685,0.21740943595162,"CD68"
1.34287739918218e-05,-2.30163269738612,0.09,0.288,0.222179065694692,"SH3TC1"
1.34656850052538e-05,1.32924791187084,0.368,0.123,0.222789758411923,"ELOB"
1.59535859204585e-05,-0.79374860715196,0.523,0.699,0.263952079053985,"ARHGDIB"
1.73745303410813e-05,-2.22358996975429,0.094,0.247,0.28746160449319,"THBS1"
1.94169180887183e-05,-1.33433813844004,0.298,0.493,0.321252909777844,"WASF2"
1.96952948142763e-05,1.46065332644794,0.492,0.178,0.325858652702202,"SPP1"
1.97705208231196e-05,-2.08763081587739,0.085,0.288,0.327103267018514,"SH3BP5"
2.28248905638066e-05,-0.551434146908656,0.753,0.918,0.377637814378181,"AIF1"
2.42239461924459e-05,6.12665643215665,0.128,0,0.400785189754017,"TLE5"
2.59794639739096e-05,-1.25954809465014,0.271,0.384,0.429830231448334,"TKT"
2.77056304355189e-05,-0.532171701350279,0.608,0.767,0.458389655555659,"CEBPD"
2.91727397267359e-05,-1.90866117685754,0.08,0.247,0.482662978778846,"RAB20"
3.00091910389443e-05,-0.400449990332994,0.881,0.945,0.496502065739334,"RPL7A"
3.47292800278298e-05,-2.78381897516717,0.029,0.164,0.574595938060444,"OSM"
4.81925534917902e-05,0.788962159900859,0.734,0.479,0.797345797521669,"ZFP36L1"
4.8296002049173e-05,6.0363256916632,0.123,0,0.799057353903568,"SEPTIN7"
