"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.57924928410455e-21,-5.99283804839254,0.027,0.84,2.61286794055098e-17,"NR4A1"
3.59790064538287e-21,-5.06897741384064,0.047,0.88,5.95272661778596e-17,"EGR1"
4.33329461808665e-21,-6.34169657778425,0.012,0.76,7.16943594562437e-17,"EGR3"
2.1359647992528e-18,-4.07716223553499,0.09,0.88,3.53395376036375e-14,"APOLD1"
4.58182893654256e-17,-3.66558292178214,0.133,0.88,7.58063597550966e-13,"ZFP36"
4.3517345521645e-15,-2.30521304064039,0.306,0.92,7.19994481655616e-11,"DUSP1"
4.24080111242096e-12,-5.35134301973335,0.024,0.56,7.01640544050047e-08,"ATF3"
5.06427891802386e-11,-1.96163352800229,0.38,0.88,8.37884946987048e-07,"CAVIN2"
6.19158363320618e-11,-2.30306588652923,0.267,0.88,1.02439751211396e-06,"JUN"
4.66414607779634e-10,-3.38169792032026,0.082,0.64,7.71682968571405e-06,"FKBP5"
6.13375869315416e-10,-1.17625769452742,0.69,0.92,1.01483037578236e-05,"MT2A"
2.17195046256487e-09,-3.18776658918936,0.102,0.68,3.59349204031358e-05,"FOS"
6.05060429566286e-09,-2.18670312979799,0.267,0.8,0.000100107248071742,"JUNB"
2.76395318956202e-08,5.9290896169681,0.357,0,0.000457296055213035,"SEPTIN7"
2.97601163809735e-08,-3.44481421545171,0.067,0.56,0.000492381125523206,"ARC"
5.29727769111619e-08,-1.70121005773583,0.392,0.84,0.000876434593995173,"IER2"
8.4899472681123e-08,-1.83275702026506,0.31,0.84,0.00140466177550918,"NEDD9"
1.06739217702982e-07,5.64568811031323,0.314,0,0.00176600035689584,"MICOS10"
1.21342486314068e-07,4.61871582759973,0.396,0.04,0.00200761143606626,"EEF1G"
1.31016880238346e-07,5.95650445874922,0.349,0,0.00216767428354343,"TLE5"
1.68691156726272e-07,4.78879746817946,0.463,0.04,0.00279099518803618,"NME2"
2.13607136457225e-07,-3.0954416934907,0.043,0.48,0.00353413007268478,"CSRNP1"
4.03040688520754e-07,3.50966205677014,0.475,0.08,0.00666830819157588,"RNASEK"
4.26846800284151e-07,-2.85316162939787,0.078,0.52,0.00706218031070129,"CDKN1A"
5.08975400670956e-07,-2.32676690234714,0.176,0.68,0.00842099800410097,"MCL1"
5.2811311287011e-07,5.71693672666312,0.322,0,0.00873763145243597,"SEPTIN2"
5.34836292876069e-07,-1.51386030880544,0.353,0.72,0.00884886646563457,"HERPUD1"
9.08298049524749e-07,5.78584587333701,0.325,0,0.015027791229387,"ITPRID2"
9.899831306637e-07,-1.95945111810797,0.251,0.76,0.0163792708968309,"ADAMTS1"
1.42487251087867e-06,-1.65413826696071,0.361,0.64,0.0235745156924876,"TAGLN"
1.50393561207465e-06,-4.24090984635132,0.02,0.36,0.024882614701775,"DUSP5"
1.89159893729516e-06,-3.30025761816001,0.059,0.48,0.0312965044175484,"PER1"
1.89970412084591e-06,-4.36656950810248,0.039,0.44,0.0314306046793957,"MAP3K8"
2.21748750716522e-06,5.55845241534705,0.286,0,0.0366883308060485,"ATP6V0C"
5.2351637823886e-06,-1.9727194224332,0.247,0.68,0.0866157847796194,"BTG2"
8.58816084319565e-06,-0.483031612661181,0.91,1,0.142091121150672,"ACTG1"
8.80021146014516e-06,-2.33350180985787,0.184,0.6,0.145599498608102,"CEBPD"
1.29354979365015e-05,5.26414431812699,0.255,0,0.214017813359417,"TOMM6"
1.6636976492065e-05,4.96634207875937,0.224,0,0.275258776061215,"CIAO2B"
3.16731329862109e-05,-0.554215354293695,0.812,0.88,0.524031985256859,"UBC"
3.62974648735814e-05,-2.12428892818843,0.192,0.6,0.600541556333405,"GADD45A"
3.66970255690292e-05,-2.62638061093367,0.09,0.48,0.607152288039587,"PXDC1"
3.75992962887605e-05,4.93501412753752,0.224,0,0.622080357097543,"MTLN"
3.80551616093413e-05,-0.688302374540407,0.733,1,0.629622648826552,"DDX5"
5.84408573747786e-05,5.15419109732414,0.224,0,0.966903985265712,"TMEM35B"
5.88150983749497e-05,4.34749752445984,0.173,0,0.973095802613543,"MRPS24"
6.40068574565936e-05,-0.575077212698439,0.804,1,1,"SRGN"
7.52638709528164e-05,-2.57920260939124,0.137,0.52,1,"VMP1"
8.36602152960649e-05,5.09426817559225,0.212,0,1,"MICOS13"
9.02746983537315e-05,2.18313701966683,0.396,0.16,1,"GABARAP"
0.000110029542492005,-1.9268161561258,0.145,0.56,1,"SERTAD1"
0.000112881816527474,-0.590990279790538,0.765,0.96,1,"HYAL2"
0.00013844053073349,-0.396834530039155,0.922,1,1,"GSN"
0.000145739420432562,-3.96514625496825,0.024,0.28,1,"HBEGF"
0.00014576679758215,5.11558335104718,0.216,0,1,"STAT1"
0.000148799640728113,4.90283813645496,0.204,0,1,"RBIS"
0.000156858716012871,5.02315744519523,0.22,0,1,"PLAAT3"
0.000157944176284343,-2.06893154066333,0.176,0.6,1,"NOSTRIN"
0.00016032431176026,-2.23643304996507,0.094,0.44,1,"ITPRIP"
0.000193218222437564,-0.654023863192555,0.635,0.76,1,"KLF2"
0.000242210131012602,5.13594232585121,0.212,0,1,"GASK1B"
0.000258484591485124,0.915168414166283,0.6,0.36,1,"UQCR11"
0.00026723114530517,4.54544115762303,0.169,0,1,"FMC1"
0.00029836680916995,1.45256397702824,0.451,0.24,1,"HMGN3"
0.00030364650000999,-1.16271971338258,0.478,0.88,1,"MCAM"
0.000322047998369748,0.486366993592203,0.988,0.84,1,"IFI27"
0.000325386363284882,0.581217675798948,0.933,0.72,1,"FTL"
0.000352663316554182,-1.20578889244106,0.341,0.76,1,"CCND1"
0.000366393839470014,-0.670482687294007,0.694,0.88,1,"JUND"
0.00037887056343089,0.460080480485764,0.753,0.52,1,"ELOB"
0.000406138084295255,1.15748482624957,0.592,0.44,1,"MIF"
0.000476006666774876,-4.47434298071671,0.008,0.2,1,"EGR2"
0.000478446343290617,-6.5922416480821,0,0.12,1,"SIK1"
0.000479301919625605,4.44907536788163,0.169,0,1,"SEPTIN9"
0.000479902312809023,0.721336394225203,0.886,0.72,1,"RPS21"
0.000509065359461738,0.457367067423458,0.851,0.64,1,"RPL15"
0.000518834431987131,-1.9985357089938,0.129,0.48,1,"TAF1C"
0.000524977203736058,-2.91344723445143,0.075,0.4,1,"ADRB2"
0.000530038257398046,-1.7807709945705,0.243,0.6,1,"TRA2B"
0.000566684335453501,2.08379314619476,0.231,0.04,1,"PTBP3"
0.000573208788849171,-7.17126571564669,0,0.12,1,"NR4A3"
0.000594334574778786,-2.69468278576405,0.027,0.28,1,"MAFF"
0.00064204211812725,5.15726706370618,0.208,0,1,"DIPK1B"
0.00066372666897649,2.50915941932871,0.231,0.04,1,"VEGFB"
0.000678314831192867,1.82775546620013,0.282,0.08,1,"CTSC"
0.000731096893530833,-5.27186440971079,0.004,0.12,1,"NID2"
0.000731099996138419,2.73971758347913,0.243,0.04,1,"CYBA"
0.000737353022914525,0.65390768782734,0.878,0.68,1,"SERF2"
0.000738176549097592,4.46824637042208,0.165,0,1,"RO60"
0.000764796860066145,5.04446236420793,0.184,0,1,"SPP1"
0.000832018063533649,1.39446028021775,0.573,0.32,1,"COX7A1"
0.000896815362915015,-0.722823350101594,0.686,0.88,1,"UACA"
0.000933991704284377,1.61676943625012,0.565,0.28,1,"S100A4"
0.000977648542095414,1.48845513728711,0.392,0.12,1,"CDH13"
0.000988666106118214,-0.804111287781419,0.431,0.84,1,"EMP1"
0.000995288885476013,-0.974234841768208,0.498,0.84,1,"TACC1"
0.00102516374511468,1.05604202920737,0.525,0.32,1,"ARL6IP4"
0.0010421769958368,0.819744102035647,0.851,0.68,1,"KCTD12"
0.00104789042885483,-1.17493564989998,0.424,0.76,1,"TNS2"
0.00108588496145065,4.30043496481503,0.145,0,1,"PRXL2A"
0.00113650870119135,-1.51928065889248,0.188,0.56,1,"KLF4"
0.00121771129956494,-1.50400756648027,0.251,0.48,1,"TCIM"
0.00123026699849593,4.55435796343019,0.157,0,1,"RPP21"
0.00123222302112104,4.70568712439101,0.176,0,1,"HSPA4"
0.00125869855575777,1.18868636984297,0.537,0.4,1,"RPL17"
0.00126800516390312,4.8838140946942,0.18,0,1,"PTBP2"
0.00130169454273058,-1.26905752139523,0.329,0.72,1,"DOCK9"
0.00130537619573531,-2.75854443734193,0.082,0.4,1,"RND3"
0.00132993711698472,1.17019220473228,0.506,0.28,1,"GSTO1"
0.00133451250633733,-2.02684502186213,0.161,0.4,1,"MT1M"
0.00138826677158386,-0.138988637558016,0.992,1,1,"MT-CYB"
0.0015680188583644,-0.744199787960699,0.498,0.76,1,"TINAGL1"
0.00160935218933811,0.656707267854355,0.749,0.52,1,"EMCN"
0.00164444632480455,4.59075546101817,0.157,0,1,"SPIN1"
0.00166945881906654,4.01424081031588,0.133,0,1,"TM9SF1"
0.00171080424811752,1.17586957744289,0.647,0.36,1,"GJA4"
0.00175183573839974,2.82836327085621,0.216,0.04,1,"SOX4"
0.00186349698873515,4.4034627818088,0.153,0,1,"TACSTD2"
0.00188370911311684,2.14397444874754,0.337,0.08,1,"ARRDC3"
0.00190480763787415,4.60928545530506,0.165,0,1,"FUBP1"
0.0019614048268394,-0.807131838610914,0.529,0.8,1,"FAM107A"
0.00201046782555325,4.48549560099731,0.153,0,1,"APOL1"
0.00204619361122025,1.69350742768084,0.369,0.2,1,"RPS17"
0.00215315705763731,4.26727918552475,0.149,0,1,"CIAO1"
0.00217296755704747,4.30135960482518,0.157,0,1,"IPO8"
0.00228177598918547,3.63711253081664,0.251,0.04,1,"TRAPPC5"
0.00235462529758329,-0.24149592895125,0.953,1,1,"HLA-E"
0.00236082167691589,4.49326849444626,0.141,0,1,"CD24"
0.00241850036065016,-2.52958400740821,0.086,0.4,1,"LONRF1"
0.00252448834844931,4.19715107927365,0.137,0,1,"CZIB"
0.00254498276298708,4.15680373941952,0.145,0,1,"ATF7"
0.00259950395699877,2.3451922266317,0.31,0.08,1,"ARPP19"
0.0026555553582689,2.52429466932104,0.271,0.08,1,"ZC3H15"
0.00275061901315978,-1.2614057721033,0.263,0.64,1,"MIDN"
0.00285526890149597,0.340131574244929,0.957,0.8,1,"RPL32"
0.00286205377151617,-2.30158172125693,0.047,0.28,1,"DUSP8"
0.00289110596231899,-2.42524446492822,0.067,0.32,1,"MYC"
0.00289836532291452,4.25694775606141,0.141,0,1,"OTUD1"
0.00290895938838016,-0.0993395534880683,0.996,1,1,"MT-ATP6"
0.00301537093183444,1.26636005541399,0.529,0.28,1,"PRDX5"
0.0030270822486282,-2.78715354119643,0.059,0.28,1,"NFKBIZ"
0.00327267933608023,-3.07808859609498,0.012,0.16,1,"SENP3"
0.00329247845731481,-1.16101818685385,0.31,0.68,1,"HNRNPF"
0.0033391235270422,-1.76749049860925,0.102,0.4,1,"PLAC9"
0.00346057211729684,0.666522632587101,0.627,0.44,1,"OST4"
0.00365626308741534,-0.167336226521517,0.992,1,1,"TIMP3"
0.00368629348765929,4.36217109296953,0.137,0,1,"SLC30A9"
0.00369197213609798,3.36961271850367,0.263,0.04,1,"FXYD2"
0.00371798146985559,0.639451398045188,0.655,0.48,1,"SDCBP"
0.00373387485201959,4.3639886307287,0.141,0,1,"SEPHS1"
0.00385106453019259,0.597594926090055,0.718,0.52,1,"PRDX1"
0.00386893164078481,-2.55490055432417,0.078,0.36,1,"SPRY1"
0.00399917866909807,-1.15121538164257,0.184,0.52,1,"MFNG"
0.00402768702583164,-5.16931302704388,0.004,0.12,1,"ASNS"
0.00412843067005628,-0.93485558140479,0.463,0.72,1,"RHOB"
0.00420602122295152,-0.953036364940739,0.337,0.72,1,"KCNN3"
0.004214432335259,1.17916723516983,0.325,0.16,1,"XRCC6"
0.00434100091201262,-0.171142943398912,0.961,0.96,1,"HLA-B"
0.00443876288665566,2.45377217839944,0.212,0.04,1,"TJP2"
0.00480691998198105,3.96717589269931,0.125,0,1,"LZIC"
0.00497571252844932,3.54591398103508,0.106,0,1,"TASOR"
0.0049964662201024,4.24143199564249,0.133,0,1,"SMARCC1"
0.00501386150694801,1.45562995390666,0.435,0.2,1,"TRAM1"
0.00506223494350804,4.07756977442954,0.114,0,1,"NIBAN2"
0.00508364993135689,3.93969109003846,0.122,0,1,"ITGAE"
