"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.01699699311361e-193,-1.97861207842559,0.513,0.948,1.68262152510647e-189,"MT2A"
9.2909129707645e-155,-2.77704210889886,0.239,0.843,1.53718155101299e-150,"MT1X"
3.49829351275902e-151,-3.99405830696671,0.069,0.733,5.78792661685979e-147,"APOLD1"
1.29091587960178e-144,-2.21131544986235,0.322,0.873,2.13582032280114e-140,"CEBPD"
2.5645152845764e-122,-3.05060530504944,0.158,0.742,4.24299053833165e-118,"MT1M"
4.15135492207559e-116,-2.24329706701675,0.267,0.839,6.86841671857406e-112,"DUSP1"
3.76199677188817e-107,-2.20255935477732,0.262,0.809,6.22422365908898e-103,"ZFP36"
1.20220940128524e-101,-1.13368385612377,0.618,0.925,1.98905545442643e-97,"JUND"
2.10031779829724e-94,-2.85900990947853,0.127,0.606,3.47497579728278e-90,"HLA-DRB5"
1.0323128964494e-89,-1.92126675028863,0.309,0.751,1.70796168717554e-85,"MT1E"
1.09546554390434e-87,-3.29698052708336,0.096,0.555,1.81244774238973e-83,"FOSB"
2.44290697160318e-87,-2.38814384501036,0.193,0.669,4.04178958451746e-83,"AKAP12"
2.84917195978398e-83,10.2945179597601,0.367,0,4.7139550074626e-79,"TLE5"
2.37776129636344e-81,10.1715197933877,0.355,0,3.9340060648333e-77,"SEPTIN7"
6.17376429873582e-78,-2.80159608807524,0.084,0.574,1.02144930322584e-73,"FKBP5"
1.85646573455442e-76,4.04158013018467,0.437,0.045,3.07152255782029e-72,"RNASEK"
1.6475633226238e-75,-2.61654274743532,0.124,0.602,2.72589351728107e-71,"CEBPB"
4.14772896604864e-74,4.45210094577445,0.4,0.034,6.86241757432747e-70,"EEF1G"
6.50035475262786e-72,-3.09423737785289,0.091,0.516,1.07548369382228e-67,"EGR1"
2.66658578964796e-70,3.79823811517804,0.412,0.052,4.41186618897255e-66,"NME2"
2.87020753350771e-69,-2.31758941246402,0.175,0.594,4.7487583641885e-65,"SOCS3"
6.28642863210897e-69,9.9196575266674,0.309,0,1.04008961718243e-64,"SEPTIN2"
2.82623227778792e-67,-1.48469424325281,0.357,0.794,4.67600130360012e-63,"KLF9"
2.91686354114108e-67,2.40339563966627,0.569,0.127,4.82595072881792e-63,"TCIM"
1.11034107146712e-66,9.78728344861868,0.293,0,1.83705930274235e-62,"MICOS10"
7.72100145263634e-63,-0.417376181348275,0.518,0.404,1.27743969033868e-58,"CAVIN2"
1.2341888028734e-60,-1.81041686791884,0.216,0.647,2.04196537435405e-56,"CA4"
