"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.04433387617199e-43,-2.60972452247798,0.244,0.775,8.34585039812656e-39,"CEBPD"
3.5344555506894e-38,-2.25819427644399,0.284,0.795,5.84775670861561e-34,"CEBPB"
1.21841021387525e-35,-2.35066405679777,0.268,0.768,2.0158596988566e-31,"DUSP1"
3.35443890480009e-35,-3.92671627700407,0.077,0.563,5.54991916799175e-31,"NR4A1"
9.10874725793433e-29,-0.854591205028737,0.856,0.94,1.50704223382524e-24,"MT2A"
1.83842653961794e-27,-2.33089948289706,0.261,0.662,3.04167670979789e-23,"GADD45B"
9.4396814060785e-27,-2.34158133876791,0.174,0.616,1.56179528863569e-22,"FKBP5"
1.09972866470342e-26,-2.21073832993994,0.231,0.656,1.8195010757518e-22,"EGR1"
2.26045705121617e-25,-3.04060921525259,0.117,0.53,3.73992619123715e-21,"BTG2"
2.66101554234119e-25,9.24567698074241,0.388,0,4.40265021480351e-21,"SEPTIN7"
3.12435053569207e-25,-1.8907454366364,0.331,0.742,5.16923796130253e-21,"JUNB"
4.72269936981202e-24,-1.27682517273985,0.478,0.722,7.81370610735399e-20,"RHOB"
5.8864414393374e-24,-1.03035823396518,0.702,0.901,9.73911736138373e-20,"JUND"
9.60987764079779e-24,-2.09940651041553,0.247,0.603,1.58995425566999e-19,"MT1M"
1.50590585552434e-23,-2.15223578668698,0.204,0.576,2.49152123796503e-19,"PHLDA1"
1.83237159074381e-23,-1.98032846719858,0.251,0.563,3.03165879688563e-19,"RGCC"
3.25331767863316e-23,-2.72353544927397,0.114,0.477,5.38261409929856e-19,"PDK4"
5.85269237617745e-23,-1.79434409260182,0.284,0.649,9.68327953638558e-19,"TSC22D3"
6.6208778961394e-23,-4.36441703844618,0.05,0.404,1.09542424791626e-18,"RASD1"
5.66364120092656e-22,9.22666044649397,0.341,0,9.37049436693299e-18,"MUSTN1"
6.04026529257719e-22,-1.85052032248977,0.294,0.695,9.99361892656897e-18,"ZFP36"
8.62777369576628e-22,-2.04820958921018,0.207,0.636,1.42746515796453e-17,"KLF9"
5.49888261942269e-21,-2.09705183341956,0.224,0.629,9.09790129383484e-17,"ZFAND5"
5.83925328218138e-21,5.96858578046445,0.365,0.013,9.6610445553691e-17,"NME2"
9.74617656300737e-21,-1.77837106757275,0.271,0.669,1.61250491234957e-16,"NFKBIA"
1.29326116575152e-20,-3.2112587562792,0.057,0.404,2.13970059873589e-16,"DDIT4"
4.10121355580692e-20,-2.30743431352488,0.234,0.583,6.78545782808255e-16,"MT1X"
3.93788565315772e-19,-0.633536682534647,0.873,0.98,6.51523181314945e-15,"EIF1"
2.7607160179557e-18,-1.6913331444097,0.338,0.675,4.5676046517077e-14,"ARID5B"
6.21881255957899e-18,-4.27797539860559,0.033,0.351,1.02890253798234e-13,"MT1A"
1.03117021629681e-17,8.20720508199201,0.268,0,1.70607112286307e-13,"MICOS10"
2.31504096473054e-17,-1.66987195739934,0.355,0.656,3.83023527614668e-13,"JUN"
3.68750064210317e-17,-3.06734471610939,0.057,0.384,6.1009698123597e-13,"TIPARP"
4.71617287497934e-17,8.44028437816026,0.271,0,7.80290802165331e-13,"ECRG4"
5.05166387353092e-17,3.97697529037498,0.371,0.033,8.35797787875691e-13,"RNASEK"
8.0593582131357e-17,-4.0484269324964,0.027,0.311,1.3334208163633e-12,"CDKN1A"
2.23715569698737e-16,-1.69098419092786,0.308,0.629,3.70137410066561e-12,"FOS"
2.41190360317267e-16,8.07616110770527,0.251,0,3.99049451144917e-12,"AOPEP"
2.76398323304087e-16,-2.49101173800191,0.134,0.417,4.57301025906612e-12,"ADAMTS1"
3.50158091882585e-16,8.01996197770884,0.247,0,5.79336563019737e-12,"SEPTIN2"
3.74614691175602e-16,-2.66789655408681,0.147,0.517,6.19800006550033e-12,"FOSB"
5.75438690224441e-16,7.91495529086177,0.241,0,9.52063312976338e-12,"ATP6V0C"
1.11046685587049e-15,-0.21687579381555,0.997,1,1.83726741303773e-11,"MT-CYB"
1.21099581459085e-15,-3.0684226154449,0.064,0.377,2.00359257524056e-11,"ATF3"
3.60042367113682e-15,-0.474750538246667,0.699,0.695,5.95690096389587e-11,"TSC22D1"
5.55152074068795e-15,-1.03412106379102,0.538,0.735,9.18499106546821e-11,"MT1E"
6.02534463068872e-15,-0.476746714689992,0.943,0.993,9.96893269147448e-11,"TPT1"
8.61807774141237e-15,-0.655377610820232,0.826,0.927,1.42586096231668e-10,"UBC"
1.03498186492795e-14,7.89636925855971,0.227,0,1.7123774955233e-10,"TLE5"
2.04139992997891e-14,4.21342784182819,0.294,0.02,3.3774961841501e-10,"EEF1G"
5.70738578955915e-14,-9.7405203818453,0,0.212,9.44286978882562e-10,"MFAP5"
7.33522998626515e-14,7.88788630876931,0.214,0,1.21361380122757e-09,"SEPTIN11"
9.35737993946123e-14,-10.5813847057509,0,0.232,1.54817851098386e-09,"PLA2G2A"
1.07349447490364e-13,-0.56976503673514,0.742,0.748,1.77609660872807e-09,"C11orf96"
1.54979631149586e-13,-3.56307589331073,0.043,0.331,2.56413799736991e-09,"SERPINE1"
3.4608762557635e-13,-1.34944200950386,0.368,0.57,5.72601976516071e-09,"IER2"
6.36050127763552e-13,4.7082006587154,0.234,0.007,1.0523449363848e-08,"TRAPPC5"
7.60508929441204e-13,-1.19100223743896,0.385,0.728,1.25826202376047e-08,"IGFBP4"
7.84550965279606e-13,-1.6448798808726,0.241,0.497,1.29803957205511e-08,"KLF2"
8.79547001674929e-13,7.66720355056088,0.197,0,1.45521051427117e-08,"MICOS13"
1.10395635682836e-12,7.66949231848523,0.184,0,1.82649579237253e-08,"DBNDD2"
4.69817044355994e-12,7.36876191511281,0.177,0,7.77312299886993e-08,"CIAO2B"
8.32535427824531e-12,7.41999904279763,0.174,0,1.37742986533569e-07,"RBIS"
1.25083505364167e-11,0.88831812523509,0.88,0.583,2.06950659625014e-07,"NR2F2"
1.53393288652952e-11,-3.35393497858951,0.047,0.291,2.53789196076309e-07,"MYC"
1.74614968160389e-11,7.51922867442336,0.177,0,2.88900464821364e-07,"TOMM6"
3.43904183551367e-11,-4.65767733701844,0.02,0.238,5.68989471685737e-07,"KLF4"
4.30635078892072e-11,-0.743505234345742,0.455,0.497,7.12485738026933e-07,"ID1"
5.94352919838396e-11,-3.76354051321858,0.023,0.232,9.83356905872627e-07,"ELL2"
8.53751465704112e-11,-0.139885153451513,1,1,1.41253180000745e-06,"MT-ATP6"
8.94341581915324e-11,-0.338636232278008,0.983,1,1.4796881472789e-06,"FTH1"
1.06604584430753e-10,-1.88533723686704,0.187,0.457,1.76377284940682e-06,"RND3"
1.60301638876293e-10,-6.64672688335172,0.01,0.232,2.65219061520827e-06,"SFRP2"
2.93082449490074e-10,7.28659450924482,0.157,0,4.84904912681327e-06,"SEPTIN4"
3.71673475770434e-10,-0.630624130599322,0.716,0.841,6.14933765662184e-06,"DDX5"
4.9896952270657e-10,0.942381975365511,0.756,0.404,8.2554507531802e-06,"ATP5F1E"
5.55053506534639e-10,-1.75975033253519,0.191,0.497,9.18336026561561e-06,"VMP1"
6.64659586017305e-10,-0.966164095012171,0.401,0.583,1.09967928506563e-05,"FILIP1L"
9.26227666787883e-10,-0.911673188532547,0.505,0.675,1.53244367470055e-05,"HSPA8"
1.07252023332133e-09,-0.637899345557021,0.749,0.841,1.77448472603014e-05,"RPS2"
1.57370728785972e-09,0.977480501054118,0.649,0.331,2.60369870776391e-05,"ATP5MG"
1.64301601318389e-09,4.67670401934582,0.174,0.007,2.71836999381274e-05,"MRPS24"
2.67970331524198e-09,6.88260592020493,0.13,0,4.43356913506785e-05,"NIBAN1"
2.99674275474527e-09,5.08025022178606,0.177,0.007,4.95811088772604e-05,"CD24"
3.19882603734467e-09,-0.128361816873645,1,1,5.29245767878676e-05,"MT-CO3"
3.52029462230343e-09,6.9431142905519,0.134,0,5.82432745260103e-05,"CZIB"
4.37703049350788e-09,4.71805727529382,0.171,0.007,7.24179695150878e-05,"TMEM35B"
6.87086059706999e-09,-7.74881837795872,0,0.106,0.000113678388578523,"SIK1"
6.93787074174314e-09,7.01758676863493,0.137,0,0.00011478707142214,"MTLN"
7.33611328093358e-09,-1.26547820432115,0.338,0.51,0.000121375994233046,"IGFBP6"
7.72710513744697e-09,-2.15996615486291,0.161,0.411,0.00012784495449906,"DCN"
1.01941964980652e-08,-2.68146827219923,0.104,0.358,0.000168662981060489,"NNMT"
1.19438134433992e-08,-1.82036928014288,0.127,0.404,0.00019761039342104,"FHL2"
1.26525471900073e-08,6.80289310070563,0.124,0,0.00020933639325867,"PLAAT3"
1.46381803724223e-08,1.36844810974999,0.552,0.305,0.000242188694261726,"RPL17"
1.74317872510678e-08,-3.74970140009362,0.03,0.212,0.000288408920068917,"MAFF"
2.00011903660687e-08,6.8981851347083,0.124,0,0.000330919694606607,"PRXL2A"
2.11391767135289e-08,-2.55410885627677,0.077,0.298,0.000349747678725336,"SOCS3"
2.32728394808281e-08,1.22454000340524,0.545,0.285,0.000385049129210301,"CAVIN3"
2.5503854626683e-08,-2.00944424314735,0.171,0.397,0.00042196127479847,"CCDC80"
2.59619259118822e-08,-3.49810156517194,0.07,0.265,0.000429540064212091,"CXCL14"
2.89556076339327e-08,-4.684441785692,0.01,0.199,0.000479070528303417,"SFRP4"
2.98104349580396e-08,0.878823680178717,0.736,0.417,0.000493213646380765,"SELENOM"
3.16642047718338e-08,-2.52231325348981,0.07,0.265,0.00052388426794999,"NEDD9"
3.22053163460518e-08,-1.09699373634022,0.418,0.536,0.000532836958945427,"HSPA1A"
3.43677980175939e-08,-0.849871909384419,0.488,0.709,0.000568615218201091,"RBM39"
3.59127264249792e-08,-3.52207800863917,0.027,0.205,0.000594176058701281,"CSRNP1"
3.85235955848481e-08,0.78221665934019,0.746,0.43,0.000637372888951312,"RACK1"
4.16599352219967e-08,-0.920906840064092,0.328,0.464,0.000689263628247935,"CPM"
4.36152483094596e-08,-1.88828129198006,0.084,0.311,0.00072161428328001,"FOXO3"
5.7528435621603e-08,1.28566004601701,0.495,0.219,0.000951807967359421,"GUCY1A1"
6.76499741130524e-08,1.1594428853824,0.518,0.252,0.00111926882170045,"HOPX"
6.81008660450512e-08,6.74841573437388,0.12,0,0.00112672882871537,"ANTKMT"
6.81209013405144e-08,-0.549239925123728,0.722,0.815,0.00112706031267881,"HSP90AB1"
6.93719486045046e-08,-3.79870337032349,0.017,0.185,0.00114775888966153,"F3"
7.2981989256558e-08,-4.06079442171929,0.02,0.238,0.00120748701224975,"C3"
7.36029172850078e-08,1.64280310942419,0.405,0.132,0.00121776026648045,"HIGD1B"
9.78312635106961e-08,0.92966631673118,0.716,0.411,0.00161861825478447,"SELENOW"
1.02632023434877e-07,7.09332304305605,0.117,0,0.00169804682773005,"PLCG2"
1.03368756882605e-07,-2.75055128822973,0.077,0.305,0.00171023608262269,"FBLN1"
1.1652165685225e-07,0.779961856117426,0.656,0.391,0.00192785081262048,"CDC42"
1.23244488639944e-07,-1.35289615898517,0.191,0.424,0.00203908006454787,"PIK3R1"
1.289395039197e-07,-2.42440073030125,0.064,0.205,0.00213330409235143,"APOLD1"
1.41487093110959e-07,-1.38331956033632,0.271,0.338,0.00234090395552081,"S100A10"
1.46085920498891e-07,6.89488760696514,0.11,0,0.00241699155465415,"CCN2"
1.46341318300531e-07,1.46631472769964,0.458,0.199,0.00242121711128228,"GABARAP"
1.49280040965194e-07,-1.47368405596764,0.144,0.351,0.00246983827776914,"SERTAD1"
1.69880024869227e-07,-5.35764464165371,0.007,0.179,0.00281066501146137,"PI16"
1.97885394030207e-07,-0.868769333642291,0.284,0.464,0.00327401384422977,"TOB1"
2.12217524509206e-07,0.90459923342875,0.773,0.503,0.00351113894300482,"TM4SF1"
2.17550242407584e-07,-1.43396165157659,0.261,0.45,0.00359936876063348,"CLU"
2.29443452816276e-07,-8.8449870948472,0,0.126,0.00379614192684528,"SCARA5"
2.30389350919617e-07,0.853147175071053,0.595,0.325,0.00381179181096507,"ATP5PF"
