"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","301/4191","368/11230",0.817934782608696,2.19169830796842,17.935323792701,7.84591286002282e-71,1.31026744762381e-67,6.89614446117795e-68,"RPS4Y1/SEM1/UBC/MALSU1/MRPL33/RPL5/ELOB/MT-CYB/RPS11/RPL6/EIF4A1/EEF1G/MTRF1L/FAU/RPS17/SSR2/MRPL51/RPL34/TRAM1/RPL22/RPS29/MRPS26/MRPL42/RPS27A/SRP14/LTN1/RPL9/MT-ND3/MRPL21/RPS7/PSMD14/EIF3G/RPL17/RPL10/EIF4B/EIF3K/MRPL57/MT-ND1/TCF25/RPLP2/SEC61B/RPL3/RPS27/EIF1AX/RPL19/MRPL54/ASCC3/RPL27A/RPL41/RPL30/UFD1/MT-CO3/MT-ATP8/UBB/RPS16/RPS3A/VCP/RPL29/PSMD12/MT-ND2/MRPL14/RPS14/RPL32/MRPS18C/RPS9/MRPS6/MRPL55/RPL38/RPS24/RPS13/EEF1A1/EIF2B1/RPS21/PSMB7/CHCHD1/RPS12/DDOST/EIF3D/MRPL43/MRPS30/RPL11/RPS15/RPS28/UBE2D3/EIF5/RPL24/RPL35A/MRPL53/MRPL46/RPN1/RPL7A/MRPL11/RPS10/RPS23/RPS15A/MT-CO2/RCHY1/AIMP1/MRPL17/MRPL37/PSMC5/PTCD3/RPL37/PSMA2/RPL13/RPL26/RPL23A/RPS25/EIF2B3/RPL14/RPL8/RPS18/NEMF/MT-ATP6/RPS26/MRPL28/PPA1/EIF4E/SEC11A/EIF5B/MT-ND5/RPS3/MT-ND4L/MRPL18/PSMB3/TSFM/ELOC/ADRM1/UBA52/RPL39/MRPS33/RPL18/EEF1D/RPL28/ANKZF1/RPL35/SSR3/PSMD6/SSR1/RPL10A/EEF1B2/MRPL20/MRPL50/EIF4G1/PSMC1/RPS4X/MT-ND6/RPN2/EIF3H/EEF2/MRPL12/NDUFAB1/GADD45GIP1/PSMC3/RPLP0/SRP54/PSMB1/RPS8/PSMD8/RPS19/ETF1/MRPL27/EIF4H/EIF2S2/MRPS22/SRP72/TRMT112/MRPS11/EIF2B4/SEC61A1/RPL18A/MRPS18A/EIF2S3/MRPS23/RPL12/PSMA1/MRPL34/RPL15/RPL37A/MRPS15/MRPS12/RPL23/SRPRB/TRIP4/EEF1E1/PSMC2/MRPS21/MRPL4/PSMD1/MRPL9/RPL22L1/RPL36/MRPL3/RPS20/MRPS10/PSMD2/EIF3J/MRPL35/SSR4/MRPL47/RPL7/PSMA7/EIF3I/EIF3B/EIF3A/RPL27/SRPRA/TUFM/PPA2/MRPS34/MRPS14/MRPL2/OXA1L/NPLOC4/EIF3L/MRPL52/MRPL22/MT-ND4/PSMA4/MRPS16/MRPL15/AURKAIP1/MRPL1/RPSA/FARSB/RPS5/CUL2/RPL31/RPL36A/MRPS27/MRPL13/MRPS35/PSMA6/SPCS2/SPCS1/SEC61G/MRPL19/RBX1/GFM1/PSMB2/EIF2B5/RPL21/MRPL44/SRP9/PSMD11/SEC11C/DAP3/MRPL41/EIF4A2/PSMC4/RPL36AL/MRPL48/MRPL40/PELO/SPCS3/ABCE1/MRPS18B/EIF3M/MT-CO1/IARS2/MRPL49/RPS6/ASCC2/UBE2D2/PSMB4/KLHDC10/PSMD3/RPLP1/RARS2/MRPL16/PSMD13/EIF2S1/MRPL36/PSMB6/MRPL24/MRPS7/MRPS28/SRP19/RPL26L1/CARS2/PSMC6/PABPC1/EIF3F/PSMB5/MRPL23/RPL13A/PSMD7/HBS1L/MRPS31/UBE2D1/FARSA/PSMA5/RPS27L/MTIF3/RPL4/GSPT1/EIF3E/PSMA3/MRPL32/MRPS5/RPS2",301,"EC_AEA","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","192/4191","213/11230",0.901408450704225,2.41537029382211,16.091706100791,1.82215495764272e-59,1.52149938963167e-56,8.00789152437721e-57,"SF3B6/U2AF1/PRPF4/DDX5/BCAS2/SNRPD3/SNW1/SRSF8/SLU7/PLRG1/UBL5/HNRNPH2/SRSF6/SNRPB2/HNRNPC/HNRNPU/ZMAT2/WBP11/CWC25/SNRNP40/LSM8/RNF113A/NCBP2/CDC5L/RBM39/PRPF8/SNRPN/DDX46/SNIP1/DDX39B/SNRPC/PCBP1/ZCRB1/PUF60/LUC7L3/FUS/NSRP1/POLR2I/PHF5A/SF3A2/PPIH/POLR2L/ALYREF/U2AF1L4/SRSF2/CWC22/LSM7/PRPF40A/XAB2/LENG1/LSM4/PRPF3/HNRNPF/SNRNP200/DNAJC8/SART1/HNRNPM/RBM25/SNU13/YBX1/PCBP2/SRRM2/HNRNPD/RNPS1/ACIN1/POLR2G/HNRNPH1/SNRPA1/HNRNPA2B1/SRSF9/POLR2K/SRSF5/DHX9/SF3B5/HNRNPA3/DDX42/HSPA8/USP39/WDR70/SNRNP27/SNRPA/HNRNPA1/SRRM1/PDCD7/POLR2H/PPIL4/MFAP1/HNRNPK/LSM5/RBM17/C9orf78/SNRPB/TRA2B/U2SURP/SMU1/FAM32A/SNRNP70/TXNL4A/SF3B4/PRKRIP1/LSM3/PRPF38A/SYF2/CCDC12/CCAR1/SRRT/POLR2B/AQR/CTNNBL1/U2AF2/TCERG1/DHX15/BUD31/SAP18/ZNF830/SF3B1/PPP1R8/FAM50A/SRSF3/RBM10/PPIL2/CRNKL1/RBM42/SNRNP48/POLR2J/PTBP1/POLR2A/PRCC/SNRPD1/CWC15/RBM8A/LSM6/DHX8/CASC3/POLR2C/SF3A1/ZRSR2/SRSF7/CDC40/SF3B3/SNRPF/POLR2F/PRPF6/CHERP/HNRNPL/PPIG/CWC27/PQBP1/RBM7/NKAP/RBM5/SF3A3/HNRNPR/POLR2E/IK/MAGOH/GTF2F1/PRPF18/EIF4A3/SNRNP25/RNPC3/UPF3B/WBP4/SNRPD2/SNRNP35/SNRPE/DDX23/SRSF4/DHX38/RBM22/SMNDC1/SF1/DDX41/LSM2/SRSF1/TFIP11/ZMAT5/SRSF11/PPIE/SDE2/RBMX/CWF19L2/SF3B2/HTATSF1/PNN/PRPF31/GTF2F2/ISY1/SRSF10/RBMX2/SNRPG/PPWD1",192,"EC_AEA","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","184/4191","205/11230",0.897560975609756,2.40506078647043,15.6659462994404,2.58973469055625e-56,1.44161897774298e-53,7.58746830391043e-54,"SF3B6/U2AF1/PRPF4/DDX5/BCAS2/SNRPD3/SNW1/SRSF8/SLU7/PLRG1/UBL5/HNRNPH2/SRSF6/SNRPB2/HNRNPC/HNRNPU/ZMAT2/WBP11/CWC25/SNRNP40/LSM8/RNF113A/NCBP2/CDC5L/RBM39/PRPF8/SNRPN/DDX46/SNIP1/DDX39B/SNRPC/PCBP1/PUF60/LUC7L3/FUS/NSRP1/POLR2I/PHF5A/SF3A2/PPIH/POLR2L/ALYREF/U2AF1L4/SRSF2/CWC22/LSM7/PRPF40A/XAB2/LENG1/LSM4/PRPF3/HNRNPF/SNRNP200/DNAJC8/SART1/HNRNPM/RBM25/SNU13/YBX1/PCBP2/SRRM2/HNRNPD/RNPS1/ACIN1/POLR2G/HNRNPH1/SNRPA1/HNRNPA2B1/SRSF9/POLR2K/SRSF5/DHX9/SF3B5/HNRNPA3/DDX42/HSPA8/USP39/WDR70/SNRNP27/SNRPA/HNRNPA1/SRRM1/POLR2H/PPIL4/MFAP1/HNRNPK/LSM5/RBM17/C9orf78/SNRPB/TRA2B/U2SURP/SMU1/FAM32A/SNRNP70/TXNL4A/SF3B4/PRKRIP1/LSM3/PRPF38A/SYF2/CCDC12/CCAR1/SRRT/POLR2B/AQR/CTNNBL1/U2AF2/TCERG1/DHX15/BUD31/SAP18/ZNF830/SF3B1/PPP1R8/FAM50A/SRSF3/RBM10/PPIL2/CRNKL1/RBM42/POLR2J/PTBP1/POLR2A/PRCC/SNRPD1/CWC15/RBM8A/LSM6/DHX8/CASC3/POLR2C/SF3A1/SRSF7/CDC40/SF3B3/SNRPF/POLR2F/PRPF6/CHERP/HNRNPL/PPIG/CWC27/PQBP1/RBM7/NKAP/RBM5/SF3A3/HNRNPR/POLR2E/IK/MAGOH/GTF2F1/PRPF18/EIF4A3/UPF3B/WBP4/SNRPD2/SNRPE/DDX23/SRSF4/DHX38/RBM22/SMNDC1/SF1/DDX41/LSM2/SRSF1/TFIP11/SRSF11/PPIE/SDE2/RBMX/CWF19L2/SF3B2/HTATSF1/PNN/PRPF31/GTF2F2/ISY1/SRSF10/RBMX2/SNRPG/PPWD1",184,"EC_AEA","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","239/4191","294/11230",0.812925170068027,2.17827479357288,15.7966461612001,3.09960069477062e-55,1.29408329006674e-52,6.81096468456176e-53,"UBC/SF3B6/U2AF1/ZC3H11A/PRPF4/DDX5/BCAS2/WTAP/SNRPD3/SNW1/SRSF8/SLU7/PLRG1/UBL5/FYTTD1/HNRNPH2/SRSF6/RPS27A/SNRPB2/HNRNPC/HNRNPU/ZMAT2/WBP11/TPR/CWC25/NXF1/THOC7/SNRNP40/LSM8/RNF113A/NCBP2/NUP153/CDC5L/UBB/RBM39/PRPF8/SNRPN/DDX46/SNIP1/DDX39B/SNRPC/PCBP1/ZCRB1/PPP1R10/PCF11/PUF60/LUC7L3/FUS/CPSF6/NSRP1/POLR2I/PHF5A/SF3A2/PPIH/POLR2L/ALYREF/U2AF1L4/SRSF2/CWC22/LSM7/PRPF40A/XAB2/LENG1/LSM4/PRPF3/HNRNPF/SNRNP200/DNAJC8/SART1/HNRNPM/RBM25/SNU13/YBX1/XRN2/PCBP2/SRRM2/HNRNPD/RNPS1/ACIN1/POLR2G/EIF4E/HNRNPH1/CHTOP/SNRPA1/HNRNPA2B1/RBBP6/UBA52/SRSF9/POLR2K/SRSF5/NUP37/DHX9/SF3B5/HNRNPA3/DDX42/HSPA8/USP39/WDR70/NUP214/SNRNP27/SNRPA/HNRNPA1/PABPN1/FIP1L1/SRRM1/PDCD7/POLR2H/PPIL4/MFAP1/HNRNPK/THOC1/LSM5/RBM17/C9orf78/SNRPB/POLDIP3/SEC13/TRA2B/U2SURP/SMU1/FAM32A/SNRNP70/PAPOLA/TXNL4A/PPP1CB/SF3B4/PRKRIP1/LSM3/PRPF38A/SYF2/CCDC12/CCAR1/SRRT/SYMPK/POLR2B/PPP1CA/AQR/CTNNBL1/U2AF2/TCERG1/NUP85/WDR33/DHX15/BUD31/SAP18/ZNF830/SF3B1/PPP1R8/FAM50A/SRSF3/RBM10/PPIL2/CRNKL1/RBM42/SNRNP48/POLR2J/PTBP1/POLR2A/PRCC/SNRPD1/CWC15/RBM8A/LSM6/DHX8/CASC3/POLR2C/SF3A1/ZRSR2/SRSF7/CDC40/SF3B3/SNRPF/POLR2F/PRPF6/CHERP/HNRNPL/NXT1/PPIG/NUP98/METTL14/CWC27/PQBP1/RBM7/CPSF2/NKAP/RBM5/SF3A3/HNRNPR/POLR2E/IK/MAGOH/NUDT21/GTF2F1/PRPF18/EIF4A3/SNRNP25/RNPC3/UPF3B/RANBP2/WBP4/SNRPD2/SNRNP35/SNRPE/DDX23/SRSF4/DHX38/RBM22/THOC2/SMNDC1/SF1/DDX41/LSM2/SRSF1/DDX39A/CSTF3/TFIP11/ZMAT5/SRSF11/PPIE/CPSF7/SDE2/RBMX/CWF19L2/SF3B2/HTATSF1/PNN/NUP107/PRPF31/GTF2F2/NUP133/ISY1/SRSF10/NUP54/RBMX2/SNRPG/PPWD1/NUP160/NUP62/SLBP",239,"EC_AEA","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4191","145/11230",0.96551724137931,2.58715309489135,14.8425616479938,1.40764311635974e-53,4.70152800864153e-51,2.4744884256008e-51,"RPS4Y1/SEM1/UBC/RPL5/ELOB/RPS11/RPL6/FAU/RPS17/RPL34/RPL22/RPS29/RPS27A/LTN1/RPL9/RPS7/PSMD14/RPL17/RPL10/TCF25/RPLP2/RPL3/RPS27/RPL19/ASCC3/RPL27A/RPL41/RPL30/UFD1/UBB/RPS16/RPS3A/VCP/RPL29/PSMD12/RPS14/RPL32/RPS9/RPL38/RPS24/RPS13/RPS21/PSMB7/RPS12/RPL11/RPS15/RPS28/UBE2D3/RPL24/RPL35A/RPL7A/RPS10/RPS23/RPS15A/RCHY1/PSMC5/RPL37/PSMA2/RPL13/RPL26/RPL23A/RPS25/RPL14/RPL8/RPS18/NEMF/RPS26/RPS3/PSMB3/ELOC/ADRM1/UBA52/RPL39/RPL18/RPL28/ANKZF1/RPL35/PSMD6/RPL10A/PSMC1/RPS4X/PSMC3/RPLP0/PSMB1/RPS8/PSMD8/RPS19/RPL18A/RPL12/PSMA1/RPL15/RPL37A/RPL23/TRIP4/PSMC2/PSMD1/RPL22L1/RPL36/RPS20/PSMD2/RPL7/PSMA7/RPL27/NPLOC4/PSMA4/RPSA/RPS5/CUL2/RPL31/RPL36A/PSMA6/RBX1/PSMB2/RPL21/PSMD11/PSMC4/RPL36AL/PELO/ABCE1/RPS6/ASCC2/UBE2D2/PSMB4/KLHDC10/PSMD3/RPLP1/PSMD13/PSMB6/RPL26L1/PSMC6/PSMB5/RPL13A/PSMD7/HBS1L/UBE2D1/PSMA5/RPS27L/RPL4/PSMA3/RPS2",140,"EC_AEA","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/4191","113/11230",0.955752212389381,2.56098719759789,12.8682250876899,3.5879827818791e-40,8.56511115237393e-38,4.50795323809154e-38,"RPS4Y1/RPL5/RPS11/RPL6/EIF4A1/FAU/RPS17/RPL34/RPL22/RPS29/RPS27A/RPL9/RPS7/EIF3G/RPL17/RPL10/EIF4B/EIF3K/RPLP2/RPL3/RPS27/EIF1AX/RPL19/RPL27A/RPL41/RPL30/RPS16/RPS3A/RPL29/RPS14/RPL32/RPS9/RPL38/RPS24/RPS13/RPS21/RPS12/EIF3D/RPL11/RPS15/RPS28/EIF5/RPL24/RPL35A/RPL7A/RPS10/RPS23/RPS15A/RPL37/RPL13/RPL26/RPL23A/RPS25/RPL14/RPL8/RPS18/RPS26/EIF4E/EIF5B/RPS3/UBA52/RPL39/RPL18/RPL28/RPL35/RPL10A/EIF4G1/RPS4X/EIF3H/RPLP0/RPS8/RPS19/EIF4H/EIF2S2/RPL18A/EIF2S3/RPL12/RPL15/RPL37A/RPL23/RPL22L1/RPL36/RPS20/EIF3J/RPL7/EIF3I/EIF3B/EIF3A/RPL27/EIF3L/RPSA/RPS5/RPL31/RPL36A/RPL21/EIF4A2/RPL36AL/EIF3M/RPS6/RPLP1/EIF2S1/RPL26L1/EIF3F/RPL13A/RPS27L/RPL4/EIF3E/RPS2",108,"EC_AEA","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","113/4191","120/11230",0.941666666666667,2.52324425355921,12.9442541301719,4.10304725862224e-40,8.56511115237393e-38,4.50795323809154e-38,"RPS4Y1/RPL5/RPS11/RPL6/EIF4A1/FAU/RPS17/RPL34/RPL22/RPS29/RPS27A/RPL9/RPS7/EIF3G/RPL17/RPL10/EIF4B/EIF3K/RPLP2/RPL3/RPS27/EIF1AX/RPL19/RPL27A/RPL41/RPL30/RPS16/RPS3A/RPL29/RPS14/RPL32/RPS9/RPL38/RPS24/RPS13/EIF2B1/RPS21/RPS12/EIF3D/RPL11/RPS15/RPS28/EIF5/RPL24/RPL35A/RPL7A/RPS10/RPS23/RPS15A/RPL37/RPL13/RPL26/RPL23A/RPS25/EIF2B3/RPL14/RPL8/RPS18/RPS26/EIF4E/EIF5B/RPS3/UBA52/RPL39/RPL18/RPL28/RPL35/RPL10A/EIF4G1/RPS4X/EIF3H/RPLP0/RPS8/RPS19/EIF4H/EIF2S2/EIF2B4/RPL18A/EIF2S3/RPL12/RPL15/RPL37A/RPL23/RPL22L1/RPL36/RPS20/EIF3J/RPL7/EIF3I/EIF3B/EIF3A/RPL27/EIF3L/RPSA/RPS5/RPL31/RPL36A/EIF2B5/RPL21/EIF4A2/RPL36AL/EIF3M/RPS6/RPLP1/EIF2S1/RPL26L1/PABPC1/EIF3F/RPL13A/RPS27L/RPL4/EIF3E/RPS2",113,"EC_AEA","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","113/4191","120/11230",0.941666666666667,2.52324425355921,12.9442541301719,4.10304725862224e-40,8.56511115237393e-38,4.50795323809154e-38,"RPS4Y1/RPL5/RPS11/RPL6/EIF4A1/FAU/RPS17/RPL34/RPL22/RPS29/RPS27A/RPL9/RPS7/EIF3G/RPL17/RPL10/EIF4B/EIF3K/RPLP2/RPL3/RPS27/EIF1AX/RPL19/RPL27A/RPL41/RPL30/RPS16/RPS3A/RPL29/RPS14/RPL32/RPS9/RPL38/RPS24/RPS13/EIF2B1/RPS21/RPS12/EIF3D/RPL11/RPS15/RPS28/EIF5/RPL24/RPL35A/RPL7A/RPS10/RPS23/RPS15A/RPL37/RPL13/RPL26/RPL23A/RPS25/EIF2B3/RPL14/RPL8/RPS18/RPS26/EIF4E/EIF5B/RPS3/UBA52/RPL39/RPL18/RPL28/RPL35/RPL10A/EIF4G1/RPS4X/EIF3H/RPLP0/RPS8/RPS19/EIF4H/EIF2S2/EIF2B4/RPL18A/EIF2S3/RPL12/RPL15/RPL37A/RPL23/RPL22L1/RPL36/RPS20/EIF3J/RPL7/EIF3I/EIF3B/EIF3A/RPL27/EIF3L/RPSA/RPS5/RPL31/RPL36A/EIF2B5/RPL21/EIF4A2/RPL36AL/EIF3M/RPS6/RPLP1/EIF2S1/RPL26L1/PABPC1/EIF3F/RPL13A/RPS27L/RPL4/EIF3E/RPS2",113,"EC_AEA","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/4191","112/11230",0.955357142857143,2.5599285884719,12.8018956411951,9.3378783999688e-40,1.73269521421643e-37,9.11944849587596e-38,"RPS4Y1/RPL5/RPS11/RPL6/EIF4A1/FAU/RPS17/RPL34/RPL22/RPS29/RPS27A/RPL9/RPS7/EIF3G/RPL17/RPL10/EIF4B/EIF3K/RPLP2/RPL3/RPS27/EIF1AX/RPL19/RPL27A/RPL41/RPL30/RPS16/RPS3A/RPL29/RPS14/RPL32/RPS9/RPL38/RPS24/RPS13/RPS21/RPS12/EIF3D/RPL11/RPS15/RPS28/RPL24/RPL35A/RPL7A/RPS10/RPS23/RPS15A/RPL37/RPL13/RPL26/RPL23A/RPS25/RPL14/RPL8/RPS18/RPS26/EIF4E/RPS3/UBA52/RPL39/RPL18/RPL28/RPL35/RPL10A/EIF4G1/RPS4X/EIF3H/RPLP0/RPS8/RPS19/EIF4H/EIF2S2/RPL18A/EIF2S3/RPL12/RPL15/RPL37A/RPL23/RPL22L1/RPL36/RPS20/EIF3J/RPL7/EIF3I/EIF3B/EIF3A/RPL27/EIF3L/RPSA/RPS5/RPL31/RPL36A/RPL21/EIF4A2/RPL36AL/EIF3M/RPS6/RPLP1/EIF2S1/RPL26L1/PABPC1/EIF3F/RPL13A/RPS27L/RPL4/EIF3E/RPS2",107,"EC_AEA","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","139/4191","159/11230",0.874213836477987,2.34250092666376,13.1550838211098,1.12390605576119e-39,1.87692311312119e-37,9.87854270063782e-38,"RPS4Y1/SEM1/UBC/RPL5/ELOB/RPS11/RPL6/FAU/RPS17/RPL34/RPL22/RPS29/RPS27A/RPL9/RPS7/PSMD14/RPL17/RPL10/RPLP2/RPL3/RPS27/RPL19/RPL27A/RPL41/RPL30/NCBP2/UBB/RPS16/RPS3A/RPL29/PSMD12/RPS14/RPL32/RPS9/RPL38/RPS24/RPS13/RPS21/PSMB7/UPF3A/RPS12/RPL11/RPS15/RPS28/RPL24/RPL35A/RPL7A/RPS10/RPS23/RPS15A/PSMC5/RPL37/PSMA2/RPL13/RPL26/RPL23A/RPS25/RPL14/RPL8/RNPS1/RPS18/RPS26/RPS3/PSMB3/ELOC/ADRM1/UBA52/RPL39/RPL18/RPL28/RPL35/PSMD6/RPL10A/UPF2/EIF4G1/PSMC1/RPS4X/PSMC3/DAG1/RPLP0/PSMB1/RPS8/PSMD8/RPS19/ETF1/RPL18A/RPL12/PSMA1/RPL15/ZSWIM8/RPL37A/RPL23/PSMC2/PSMD1/RPL22L1/RPL36/RPS20/PSMD2/RPL7/PSMA7/RPL27/RBM8A/CASC3/PSMA4/RPSA/RPS5/CUL2/RPL31/RPL36A/PSMA6/RBX1/PSMB2/RPL21/PSMD11/MAGOH/EIF4A3/PSMC4/RPL36AL/UPF3B/RPS6/PSMB4/PSMD3/RPLP1/PSMD13/PSMB6/ROBO3/RPL26L1/PSMC6/PABPC1/PSMB5/USP33/RPL13A/PSMD7/PSMA5/RPS27L/RPL4/GSPT1/PSMA3/RPS2",139,"EC_AEA","DKD_vs_Normal"
