"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","327/4821","368/11230",0.888586956521739,2.06986756310706,18.098517476477,2.02062236943993e-78,3.3602950003786e-75,1.78240162693754e-75,"RPL37A/EEF1G/MT-ND3/ELOB/RPS4Y1/RPL38/RPL27A/RPS27/RPS2/RPL35/RPL21/RPL34/UBC/MRPS24/RPL37/RPL23A/RPS9/RPL27/RPLP2/RPL9/RPL32/RPS28/MRPL51/MTRES1/PSMA7/RPS14/RPS3A/PSMD8/EIF3K/RPL3/RPL18A/RPS18/MRPS15/RPL18/RPL35A/RPL13/RPL36/PSMB1/RPL14/SEM1/RPS25/PSMC5/MT-CYB/MRPL38/MT-ATP6/EEF1D/MRPL15/RPS15/EIF4A1/UBA52/RPS5/MRPL57/RPL5/RPL8/MRPL28/UBE2D1/RPL29/RPL22/TRAM1/AURKAIP1/RPS24/RPS29/RPS19/RPS3/ELOC/MRPL20/EEF1B2/MRPL54/RPL10/MRPL41/RPLP1/MT-CO2/RPS27A/TCF25/RPL30/EEF1A1/PSMC3/SEC61G/RPL39/RPL17/MRPL42/RPL26/GADD45GIP1/RPL24/RPL11/PSMC1/EIF3L/RPS6/MRPL52/RPL41/MRPL21/PSMB3/APEH/RPL15/RPS11/MALSU1/EIF1AX/PSMD13/RPL23/RPS7/RPL26L1/RPS16/FAU/NEMF/RPS17/RPL28/MT-ATP8/SEC61B/EIF2B1/RPL7A/RPS21/EIF3I/RPSA/MRPS22/RPL19/RPL4/GSPT1/RPL13A/EIF3G/RPL10A/MRPS18A/VCP/MRPS6/MRPL12/MRPL40/MRPL30/PSMA2/PSMA6/UBE2D2/PSMB7/RPLP0/MRPS14/SRP14/MRPL22/SPCS2/SEC11A/MRPL48/MRPL32/RPS13/PSMD14/MRPL47/MRPL3/TUFM/IARS2/RPL31/PSMB6/SRP9/RPS12/RPS23/MRPS27/RPL6/MRPL34/RPS8/MRPL23/MRPS21/MRPL19/RPL7/UBB/MRPS18C/MRPS10/UBE2D3/FARSA/MT-CO3/PSMD6/PSMA1/MRPS31/PABPC1/RPS10/RPL12/EIF2B5/FARSB/MRPS25/EIF2B2/MRPS12/RPS15A/MRPS35/EIF3F/SEC61A1/RPL36AL/MRPL50/MT-ND4/EIF2S3/RPN2/PSMD2/RCHY1/PSMA4/EIF3A/CHCHD1/FARS2/MRPS28/EIF2S2/RPS4X/SPCS3/RPL36A/PSMC4/RBX1/EIF3E/PSMD1/PSMD3/EIF3M/MRPS18B/PSMA3/MRPL33/EIF3J/MRPL43/MT-ND1/MRPS11/MRPL9/SSR4/PPA1/PTCD3/MRPS7/UFD1/MRPL17/EEF2/MRPS5/LTN1/MT-CO1/ANKZF1/MRPL55/MRPS26/MRPL36/PSMB2/KLHDC10/MRPL44/PSMB4/WARS2/MRPS2/EIF2B4/MT-ND2/PSMD7/MRPL2/EIF5B/AIMP2/EIF2B3/EIF4H/SPCS1/EIF2S1/NARS2/MT-ND4L/PSMD12/SRP72/EIF3H/MRPL49/MRPS23/MRPS17/TSFM/MRPL1/RPS26/EIF3B/EIF5/AIMP1/EEF1E1/MRPL4/MTFMT/RPS27L/SEC11C/SRPRA/MRPS34/NDUFAB1/RPS20/MRRF/MRPL10/HBS1L/SSR3/MRPL35/PSMC2/ASCC3/MRPL11/EIF4A2/MRPL27/RPL22L1/DARS2/SRP54/PSMC6/MT-ND5/DAP3/PSMA5/MRPL14/ADRM1/ETF1/MRPL16/MT-ND6/ZNF598/MRPL13/SRP68/ERAL1/MRPS16/RPN1/SSR1/TRMT112/EIF4B/MRPL18/SSR2/MTIF2/CUL2/MRPS33/MTIF3/MRPL58/MTRF1L/YARS2/MRPS30/OXA1L/MRPL24/GFM1/CARS2/RARS2/MIEF1/MRPL39/EIF4E/SRPRB/PSMB5/MRPL37/EIF3D/PPA2/EARS2/MRPS9/MRPL53/SARS2/NPLOC4/ABCE1/GFM2/SRP19/DDOST/EIF4G1/MRPL46/PSMD11",327,"IC_B","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","255/4821","294/11230",0.86734693877551,2.02039123054324,15.3764153896146,2.36212764014947e-56,1.96410913278428e-53,1.04182261181329e-53,"POLR2L/UBC/TXNL4A/SRSF2/NUDT21/SNRPN/SRSF3/SNU13/THOC7/DDX39B/UBA52/SNRPG/POLR2K/SNRPE/HNRNPF/HNRNPA1/HSPA8/YBX1/SRSF9/RPS27A/U2AF1/SNRPD1/TPR/MTREX/SLBP/NUP58/HNRNPA2B1/POLR2I/SF3B2/PLRG1/POLR2E/DDX39A/DHX15/DDX5/BUD31/SARNP/SNRPB2/RBM8A/SF3B6/POLR2B/SRSF5/ZC3H11A/DDX42/RBM17/AQR/U2SURP/CDC40/UBL5/SNRNP35/MAGOH/POLR2J/SNRPB/NUP153/SYMPK/HNRNPU/SNRPF/UBB/ALYREF/HTATSF1/SRSF7/POLR2C/SF3B1/ACIN1/WDR70/CCDC12/FIP1L1/LSM5/RBM25/POLR2H/C9orf78/LSM7/HNRNPK/LUC7L3/HNRNPD/RNPC3/CWC15/PRPF31/CASC3/SRSF8/RBMX/AAAS/WBP4/ZMAT5/PQBP1/HNRNPL/LSM4/SYF2/ZCRB1/PRPF38A/TRA2B/SNW1/DDX23/SNRPD3/PPP1CB/PRPF3/CHTOP/HNRNPH2/PPIL1/POLDIP3/SNRPD2/DNAJC8/CHERP/SF3B5/HNRNPA3/SNRNP200/SRSF11/SF1/SRSF10/FAM50A/SAP18/THOC6/PUF60/SF3A1/HNRNPC/SF3A2/CDC5L/SNRNP70/SNRNP40/ISY1/CPSF4/CPSF2/LENG1/NSRP1/RBM7/PCBP1/POLR2F/BCAS2/NCBP1/LSM8/PRPF8/RANBP2/WTAP/SF3A3/CWF19L2/DHX9/IK/SRRT/LSM3/NUP160/NXF1/PPIL2/SEC13/CSTF3/RBM39/PPP1CA/TCERG1/NXT1/MAGOHB/POLR2A/RBM42/PPIL4/EIF4A3/PPP1R8/SNRNP48/XRN2/SF3B4/XAB2/LSM6/PPIG/FUS/PRPF19/WDR33/PNN/SNRNP25/RBMX2/HNRNPR/SRSF1/PRCC/THOC1/SRRM1/ZNF830/NUP37/CSTF1/MFAP1/PCF11/BUD13/DDX41/GCFC2/METTL14/NUP214/NKAP/FAM32A/GTF2F2/PHF5A/CRNKL1/SRSF4/PPIH/POM121/PPIL3/SF3B3/POLR2G/SRRM2/HNRNPM/SLU7/DDX46/METTL3/RBBP6/NUP98/U2AF2/NCBP2/PPWD1/HNRNPH1/PPP1R10/CPSF1/NUP50/NUP133/NUP35/ZMAT2/SNRNP27/PDCD7/SNRPC/RBM5/RBM10/SNRPA/SEH1L/PAPOLA/FYTTD1/NUP205/WBP11/PRPF4/SMU1/PPIE/CTNNBL1/CPSF7/SMNDC1/CWC27/LSM2/PCBP2/CPSF6/PRPF6/SNRPA1/RBM22/SRSF6/RNPS1/EIF4E/CWC25/SART1/NUP54/GTF2F1/PABPN1/THOC2/CCAR1/CWC22/POLR2D/NUP62/SNIP1/NUP88/CSTF2T/PRKRIP1/U2AF1L4/PRPF40A/RAE1/PTBP1/USP39/PRPF18",255,"IC_B","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","194/4821","213/11230",0.910798122065728,2.12160607981708,14.3331766256205,1.29088107034851e-50,7.15578406663188e-48,3.79564328755104e-48,"POLR2L/TXNL4A/SRSF2/SNRPN/SRSF3/SNU13/DDX39B/SNRPG/POLR2K/SNRPE/HNRNPF/HNRNPA1/HSPA8/YBX1/SRSF9/U2AF1/SNRPD1/MTREX/HNRNPA2B1/POLR2I/SF3B2/PLRG1/POLR2E/DHX15/DDX5/BUD31/SNRPB2/RBM8A/SF3B6/POLR2B/SRSF5/DDX42/RBM17/AQR/U2SURP/CDC40/UBL5/SNRNP35/MAGOH/POLR2J/SNRPB/HNRNPU/SNRPF/ALYREF/HTATSF1/SRSF7/POLR2C/SF3B1/ACIN1/WDR70/CCDC12/LSM5/RBM25/POLR2H/C9orf78/LSM7/HNRNPK/LUC7L3/HNRNPD/RNPC3/CWC15/PRPF31/CASC3/SRSF8/RBMX/WBP4/ZMAT5/PQBP1/HNRNPL/LSM4/SYF2/ZCRB1/PRPF38A/TRA2B/SNW1/DDX23/SNRPD3/PRPF3/HNRNPH2/PPIL1/SNRPD2/DNAJC8/CHERP/SF3B5/HNRNPA3/SNRNP200/SRSF11/SF1/SRSF10/FAM50A/SAP18/PUF60/SF3A1/HNRNPC/SF3A2/CDC5L/SNRNP70/SNRNP40/ISY1/LENG1/NSRP1/RBM7/PCBP1/POLR2F/BCAS2/NCBP1/LSM8/PRPF8/SF3A3/CWF19L2/DHX9/IK/SRRT/LSM3/PPIL2/RBM39/TCERG1/MAGOHB/POLR2A/RBM42/PPIL4/EIF4A3/PPP1R8/SNRNP48/SF3B4/XAB2/LSM6/PPIG/FUS/PRPF19/PNN/SNRNP25/RBMX2/HNRNPR/SRSF1/PRCC/SRRM1/ZNF830/MFAP1/BUD13/DDX41/GCFC2/NKAP/FAM32A/GTF2F2/PHF5A/CRNKL1/SRSF4/PPIH/PPIL3/SF3B3/POLR2G/SRRM2/HNRNPM/SLU7/DDX46/U2AF2/NCBP2/PPWD1/HNRNPH1/ZMAT2/SNRNP27/PDCD7/SNRPC/RBM5/RBM10/SNRPA/WBP11/PRPF4/SMU1/PPIE/CTNNBL1/SMNDC1/CWC27/LSM2/PCBP2/PRPF6/SNRPA1/RBM22/SRSF6/RNPS1/CWC25/SART1/GTF2F1/CCAR1/CWC22/POLR2D/SNIP1/PRKRIP1/U2AF1L4/PRPF40A/PTBP1/USP39/PRPF18",194,"IC_B","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","187/4821","205/11230",0.91219512195122,2.1248602405128,14.0971126022627,4.56610159027835e-49,1.89835673615822e-46,1.00694556122454e-46,"POLR2L/TXNL4A/SRSF2/SNRPN/SRSF3/SNU13/DDX39B/SNRPG/POLR2K/SNRPE/HNRNPF/HNRNPA1/HSPA8/YBX1/SRSF9/U2AF1/SNRPD1/MTREX/HNRNPA2B1/POLR2I/SF3B2/PLRG1/POLR2E/DHX15/DDX5/BUD31/SNRPB2/RBM8A/SF3B6/POLR2B/SRSF5/DDX42/RBM17/AQR/U2SURP/CDC40/UBL5/MAGOH/POLR2J/SNRPB/HNRNPU/SNRPF/ALYREF/HTATSF1/SRSF7/POLR2C/SF3B1/ACIN1/WDR70/CCDC12/LSM5/RBM25/POLR2H/C9orf78/LSM7/HNRNPK/LUC7L3/HNRNPD/CWC15/PRPF31/CASC3/SRSF8/RBMX/WBP4/PQBP1/HNRNPL/LSM4/SYF2/PRPF38A/TRA2B/SNW1/DDX23/SNRPD3/PRPF3/HNRNPH2/PPIL1/SNRPD2/DNAJC8/CHERP/SF3B5/HNRNPA3/SNRNP200/SRSF11/SF1/SRSF10/FAM50A/SAP18/PUF60/SF3A1/HNRNPC/SF3A2/CDC5L/SNRNP70/SNRNP40/ISY1/LENG1/NSRP1/RBM7/PCBP1/POLR2F/BCAS2/NCBP1/LSM8/PRPF8/SF3A3/CWF19L2/DHX9/IK/SRRT/LSM3/PPIL2/RBM39/TCERG1/MAGOHB/POLR2A/RBM42/PPIL4/EIF4A3/PPP1R8/SF3B4/XAB2/LSM6/PPIG/FUS/PRPF19/PNN/RBMX2/HNRNPR/SRSF1/PRCC/SRRM1/ZNF830/MFAP1/BUD13/DDX41/GCFC2/NKAP/FAM32A/GTF2F2/PHF5A/CRNKL1/SRSF4/PPIH/PPIL3/SF3B3/POLR2G/SRRM2/HNRNPM/SLU7/DDX46/U2AF2/NCBP2/PPWD1/HNRNPH1/ZMAT2/SNRNP27/SNRPC/RBM5/RBM10/SNRPA/WBP11/PRPF4/SMU1/PPIE/CTNNBL1/SMNDC1/CWC27/LSM2/PCBP2/PRPF6/SNRPA1/RBM22/SRSF6/RNPS1/CWC25/SART1/GTF2F1/CCAR1/CWC22/POLR2D/SNIP1/PRKRIP1/U2AF1L4/PRPF40A/PTBP1/USP39/PRPF18",187,"IC_B","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","138/4821","145/11230",0.951724137931034,2.21693882368088,12.7917177987786,3.46073213715383e-42,1.15103950881736e-39,6.10546006512612e-40,"RPL37A/ELOB/RPS4Y1/RPL38/RPL27A/RPS27/RPS2/RPL35/RPL21/RPL34/UBC/RPL37/RPL23A/RPS9/RPL27/RPLP2/RPL9/RPL32/RPS28/PSMA7/RPS14/RPS3A/PSMD8/RPL3/RPL18A/RPS18/RPL18/RPL35A/RPL13/RPL36/PSMB1/RPL14/SEM1/RPS25/PSMC5/RPS15/UBA52/RPS5/RPL5/RPL8/UBE2D1/RPL29/RPL22/RPS24/RPS29/RPS19/RPS3/ELOC/RPL10/RPLP1/RPS27A/TCF25/RPL30/PSMC3/RPL39/RPL17/RPL26/RPL24/RPL11/PSMC1/RPS6/RPL41/PSMB3/RPL15/RPS11/PSMD13/RPL23/RPS7/RPL26L1/RPS16/FAU/NEMF/RPS17/RPL28/RPL7A/RPS21/RPSA/RPL19/RPL4/RPL13A/RPL10A/VCP/PSMA2/PSMA6/UBE2D2/PSMB7/RPLP0/RPS13/PSMD14/RPL31/PSMB6/RPS12/RPS23/RPL6/RPS8/RPL7/UBB/UBE2D3/PSMD6/PSMA1/RPS10/RPL12/RPS15A/RPL36AL/PSMD2/RCHY1/PSMA4/RPS4X/RPL36A/PSMC4/RBX1/PSMD1/PSMD3/PSMA3/UFD1/LTN1/ANKZF1/PSMB2/KLHDC10/PSMB4/PSMD7/PSMD12/RPS26/RPS27L/RPS20/HBS1L/PSMC2/ASCC3/RPL22L1/PSMC6/PSMA5/ADRM1/ZNF598/CUL2/PSMB5/NPLOC4/ABCE1/PSMD11",138,"IC_B","DKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","214/4821","258/11230",0.829457364341085,1.93213154979265,13.1367559597764,7.96951029959463e-41,2.20888260470431e-38,1.17165783001058e-38,"ATP5ME/MT-ND3/NDUFB9/ATP5F1B/NDUFB1/UBC/ATP5MC3/ATP5F1E/ATP5MG/ATP5F1D/ATP5PO/VDAC1/ATP5F1C/ATP5PD/NDUFS6/ATP5MF/UQCR11/ATP5PF/COX17/COX8A/PDK4/NDUFAF4/ATP5MC2/COX5B/NDUFA3/ATP5MC1/ATP5F1A/SDHD/MT-CYB/COX7C/MT-ATP6/NDUFA1/NDUFV3/NDUFB10/UBA52/IDH3A/NDUFB7/GOT2/NDUFB2/SUCLG1/COX6B1/COX4I1/GOT1/COX7A2L/WDR26/MT-CO2/MDH2/LYRM2/RPS27A/NDUFB8/PYURF/UQCC3/COX5A/CYC1/UQCRFS1/UQCRC2/COQ10A/COX6C/NDUFC1/ACO2/UQCRQ/COX20/NDUFA5/COX7A2/HIGD1A/UQCR10/ATP5PB/NDUFV1/MDH1/COX7B/UQCRB/MT-ATP8/SIRT3/ISCA1/MKLN1/PDP1/DMAC1/RMND5B/NDUFAF1/NDUFA12/NDUFA8/NDUFS4/NDUFV2/TMEM223/HIGD2A/NDUFS7/NNT/UQCC2/OGDH/COA1/PDHB/NDUFA7/NDUFC2/HAGH/COX14/NDUFB5/NDUFA2/UBB/PET100/ETFDH/MT-CO3/PDHA1/TMEM126B/NDUFAF2/UQCRH/SDHAF1/ETFB/COX6A1/CS/NDUFS8/PNKD/SDHB/CMC1/SCO1/NDUFAF8/MT-ND4/PDK1/ETFA/COA3/NDUFB11/ME3/COA5/NDUFA6/SUCLG2/PET117/MPC1/FXN/TIMM21/SDHAF2/NDUFS3/MT-ND1/TMEM126A/IDH3G/NDUFB4/NDUFAF6/HSCB/ACAT1/ME2/MT-CO1/GLO1/COX7A1/SURF1/NDUFS5/COX15/ISCA2/DLD/NDUFA9/MPC2/SMIM20/MT-ND2/NDUFAF5/SDHAF3/LDHA/SLC25A11/COX19/SUCLA2/SDHA/LYRM4/PKM/SDHC/COX11/ISCU/PDHX/MAEA/GID8/DLAT/TACO1/RAB5IF/NDUFA11/NDUFA10/NDUFB6/NDUFAB1/NDUFS1/LDHB/COQ10B/TIMMDC1/PDK2/NDUFAF3/RMND5A/IDH2/HSPA9/UQCRC1/FH/LETM1/SLC25A13/NDUFS2/MT-ND5/MT-ND6/TRAP1/HCCS/UCP2/NFS1/BCS1L/SFXN4/D2HGDH/NDUFB3/IDH3B/ARMC8/NEK1/GSTZ1/OXA1L/UQCC1/COX16/ACAD9/SLC25A27/FAHD1/RANBP9/NDUFA13/DLST/TMEM186/SLC25A12/TMEM177/TTC19/LYRM7",214,"IC_B","DKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","140/4821","152/11230",0.921052631578947,2.14549285472549,12.3318282909342,3.59106549138586e-38,8.53134558882098e-36,4.52528252899451e-36,"POLR2L/UBC/SRSF2/NUDT21/SNRPN/SRSF3/THOC7/DDX39B/UBA52/SNRPG/POLR2K/SNRPE/HNRNPF/HNRNPA1/YBX1/SRSF9/RPS27A/U2AF1/SNRPD1/HNRNPA2B1/POLR2I/SF3B2/POLR2E/DDX39A/DHX15/DDX5/SARNP/SNRPB2/RBM8A/SF3B6/POLR2B/SRSF5/ZC3H11A/DDX42/RBM17/U2SURP/CDC40/MAGOH/POLR2J/SNRPB/SYMPK/HNRNPU/SNRPF/UBB/ALYREF/HTATSF1/SRSF7/POLR2C/SF3B1/FIP1L1/RBM25/POLR2H/HNRNPK/HNRNPD/CASC3/SRSF8/RBMX/HNRNPL/TRA2B/SNRPD3/PPP1CB/CHTOP/HNRNPH2/POLDIP3/SNRPD2/DNAJC8/CHERP/SF3B5/HNRNPA3/SRSF11/SRSF10/THOC6/PUF60/SF3A1/HNRNPC/SF3A2/SNRNP70/CPSF4/CPSF2/PCBP1/POLR2F/NCBP1/SF3A3/DHX9/SRRT/CSTF3/RBM39/PPP1CA/TCERG1/MAGOHB/POLR2A/EIF4A3/PPP1R8/XRN2/SF3B4/FUS/WDR33/HNRNPR/SRSF1/THOC1/SRRM1/CSTF1/PCF11/GTF2F2/PHF5A/SRSF4/SF3B3/POLR2G/SRRM2/HNRNPM/SLU7/DDX46/RBBP6/U2AF2/NCBP2/HNRNPH1/PPP1R10/CPSF1/SNRPC/RBM5/RBM10/SNRPA/PAPOLA/FYTTD1/CPSF7/SMNDC1/PCBP2/CPSF6/SNRPA1/SRSF6/RNPS1/GTF2F1/PABPN1/THOC2/CCAR1/POLR2D/CSTF2T/U2AF1L4/PRPF40A/PTBP1",140,"IC_B","DKD_vs_Normal"
"R-HSA-168255","Influenza Infection","142/4821","157/11230",0.904458598726115,2.10683884333007,12.1128276817909,2.05224107398966e-36,3.79913721815927e-34,2.01517675020886e-34,"RPL37A/RPS4Y1/RPL38/POLR2L/RPL27A/RPS27/RPS2/RPL35/RPL21/RPL34/CLTC/RPL37/RPL23A/RPS9/RPL27/RPLP2/RPL9/RPL32/RPS28/CLTA/RPS14/HSPA1A/RPS3A/RPL3/RPL18A/RPS18/RPL18/RPL35A/RPL13/RPL36/RPL14/XPO1/RPS25/RPS15/UBA52/RPS5/RPL5/RPL8/POLR2K/RPL29/RPL22/RPS24/RPS29/RPS19/RPS3/RPL10/RPLP1/RPS27A/RPL30/TPR/RPL39/RPL17/RPL26/NUP58/RPL24/RPL11/POLR2I/HSPA1B/RAN/RPS6/RPL41/RPL15/RPS11/POLR2E/RPL23/RPS7/RPL26L1/RPS16/FAU/RPS17/RPL28/RPL7A/RPS21/RPSA/EIF2AK2/RPL19/POLR2B/RPL4/RPL13A/RPL10A/DNAJC3/HSP90AA1/RPLP0/RPS13/RPL31/POLR2J/RPS12/RPS23/RPL6/RPS8/NUP153/RPL7/KPNA2/POLR2C/RPS10/RPL12/POLR2H/RPS15A/KPNA5/AAAS/RPL36AL/RPS4X/RPL36A/KPNB1/CPSF4/POLR2F/RANBP2/CANX/NUP160/SEC13/PARP1/POLR2A/CALR/RPS26/RPS27L/NUP37/RPS20/NUP214/GTF2F2/POM121/POLR2G/RPL22L1/GRSF1/NUP98/KPNA4/KPNA3/NUP50/NUP133/NUP35/SEH1L/NUP205/ISG15/IPO5/KPNA1/NUP54/GTF2F1/PABPN1/POLR2D/NUP62/NUP88/TGFB1/RAE1",142,"IC_B","DKD_vs_Normal"
"R-HSA-5368287","Mitochondrial translation","109/4821","112/11230",0.973214285714286,2.26699780721249,11.6873354839098,2.05605742413911e-36,3.79913721815927e-34,2.01517675020886e-34,"MT-ND3/MRPS24/MRPL51/MTRES1/MRPS15/MT-CYB/MRPL38/MT-ATP6/MRPL15/MRPL57/MRPL28/AURKAIP1/MRPL20/MRPL54/MRPL41/MT-CO2/MRPL42/GADD45GIP1/MRPL52/MRPL21/MALSU1/MT-ATP8/MRPS22/MRPS18A/MRPS6/MRPL12/MRPL40/MRPL30/MRPS14/MRPL22/MRPL48/MRPL32/MRPL47/MRPL3/TUFM/MRPS27/MRPL34/MRPL23/MRPS21/MRPL19/MRPS18C/MRPS10/MT-CO3/MRPS31/MRPS25/MRPS12/MRPS35/MRPL50/MT-ND4/CHCHD1/MRPS28/MRPS18B/MRPL33/MRPL43/MT-ND1/MRPS11/MRPL9/PTCD3/MRPS7/MRPL17/MRPS5/MT-CO1/MRPL55/MRPS26/MRPL36/MRPL44/MRPS2/MT-ND2/MRPL2/MT-ND4L/MRPL49/MRPS23/MRPS17/TSFM/MRPL1/MRPL4/MTFMT/MRPS34/NDUFAB1/MRRF/MRPL10/MRPL35/MRPL11/MRPL27/MT-ND5/DAP3/MRPL14/MRPL16/MT-ND6/MRPL13/ERAL1/MRPS16/MRPL18/MTIF2/MRPS33/MTIF3/MRPL58/MTRF1L/MRPS30/OXA1L/MRPL24/GFM1/MIEF1/MRPL39/MRPL37/MRPS9/MRPL53/GFM2/MRPL46",109,"IC_B","DKD_vs_Normal"
"R-HSA-9770562","mRNA Polyadenylation","120/4821","127/11230",0.94488188976378,2.20100054388037,11.8050781240445,7.1811174682019e-36,1.19421983496198e-33,6.33450151405599e-34,"POLR2L/UBC/SRSF2/NUDT21/SNRPN/SRSF3/UBA52/SNRPG/POLR2K/SNRPE/HNRNPF/HNRNPA1/YBX1/SRSF9/RPS27A/U2AF1/SNRPD1/HNRNPA2B1/POLR2I/SF3B2/POLR2E/DHX15/DDX5/SNRPB2/SF3B6/POLR2B/SRSF5/DDX42/RBM17/U2SURP/CDC40/POLR2J/SNRPB/SYMPK/HNRNPU/SNRPF/UBB/HTATSF1/SRSF7/POLR2C/SF3B1/FIP1L1/RBM25/POLR2H/HNRNPK/HNRNPD/SRSF8/RBMX/HNRNPL/TRA2B/SNRPD3/PPP1CB/HNRNPH2/SNRPD2/DNAJC8/CHERP/SF3B5/HNRNPA3/SRSF11/SRSF10/PUF60/SF3A1/HNRNPC/SF3A2/SNRNP70/CPSF4/CPSF2/PCBP1/POLR2F/NCBP1/SF3A3/DHX9/SRRT/CSTF3/RBM39/PPP1CA/TCERG1/POLR2A/PPP1R8/XRN2/SF3B4/FUS/WDR33/HNRNPR/SRSF1/CSTF1/PCF11/GTF2F2/PHF5A/SRSF4/SF3B3/POLR2G/SRRM2/HNRNPM/DDX46/RBBP6/U2AF2/NCBP2/HNRNPH1/PPP1R10/CPSF1/SNRPC/RBM5/RBM10/SNRPA/PAPOLA/CPSF7/SMNDC1/PCBP2/CPSF6/SNRPA1/SRSF6/GTF2F1/PABPN1/CCAR1/POLR2D/CSTF2T/U2AF1L4/PRPF40A/PTBP1",120,"IC_B","DKD_vs_Normal"
