"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.02272280177358e-24,1.32337414313179,0.728,0.719,1.69209487553439e-20,"TMEM213"
1.94865628582877e-23,0.91623172611883,1,0.987,3.2240518249037e-19,"MT-ND4L"
5.90089046824723e-19,1.30446857036687,0.728,0.708,9.76302327971505e-15,"ATP6AP2"
1.14541249243092e-18,-4.31240505965206,0.044,0.685,1.89508496872696e-14,"SELENOK"
5.33523181660199e-18,-1.68030741520101,0.307,0.862,8.82714104056799e-14,"TNFRSF12A"
7.24239760573347e-18,3.46690305592629,0.5,0.107,1.1982546838686e-13,"IGFBP5"
5.89185831020149e-17,-3.14782445904848,0.105,0.806,9.74807957422836e-13,"NR4A1"
8.43709449857686e-17,-3.17147043943749,0.105,0.731,1.39591728478954e-12,"ATP5PD"
3.52843570270002e-16,0.576298960731853,0.947,0.972,5.83779687011719e-12,"PPDPF"
1.98361334232404e-15,-2.57213889139316,0.132,0.752,3.28188827487512e-11,"ATP5MG"
4.53058384022375e-15,-3.45737603306945,0.061,0.619,7.49585096365019e-11,"HES4"
8.40619146974528e-15,-2.68286535147872,0.132,0.742,1.39080437866936e-10,"ATP5PF"
1.09900088775754e-14,-2.44989374040967,0.123,0.747,1.81829696879485e-10,"UQCR11"
1.57260226141717e-14,0.758827835532793,1,0.99,2.60187044151471e-10,"MT-ND5"
2.69178379369684e-14,-2.28139922076327,0.149,0.754,4.45355628667142e-10,"ATP5F1D"
4.13946098338926e-14,-2.45496522269488,0.132,0.747,6.84873819701753e-10,"ATP5IF1"
8.09363041959881e-14,-2.21810425440416,0.14,0.747,1.33909115292262e-09,"ATP5F1E"
8.55666557005755e-14,-2.12580569507048,0.149,0.749,1.41570031856602e-09,"ATP5ME"
9.08478340142742e-14,-2.41897666181887,0.132,0.744,1.50307741376617e-09,"ELOB"
1.15437718744377e-13,-0.912183568073567,0.588,0.967,1.90991705662572e-09,"IER3"
1.46400693132847e-13,-2.54808157899789,0.123,0.739,2.42219946788295e-09,"RACK1"
1.81837392607379e-13,1.25956340830895,0.746,0.652,3.00849966068909e-09,"PIGR"
2.40859839933998e-13,-2.5617515920882,0.123,0.737,3.985026051708e-09,"BEX3"
2.83166104280139e-13,-2.32087604145852,0.149,0.749,4.68498319531491e-09,"ATP5MC3"
4.1174707285107e-13,-3.10355107336624,0.088,0.668,6.81235532032096e-09,"SGK1"
4.6741216444644e-13,2.03434601030811,0.561,0.23,7.73333426076635e-09,"RPS4Y1"
5.5605891800721e-13,1.06624796071862,0.86,0.777,9.19999479842929e-09,"TXNIP"
5.78019930697559e-13,-2.58918520256658,0.096,0.698,9.56333975339112e-09,"MMP24OS"
8.07564519400448e-13,1.62781231946234,0.851,0.696,1.33611549734804e-08,"MT-ATP8"
8.25099746688815e-13,1.7422276523806,0.632,0.409,1.36512753089665e-08,"C12orf75"
8.57273167413136e-13,-2.51104925691709,0.114,0.724,1.41835845548503e-08,"NDUFB8"
1.11609977661448e-12,-2.14856720172105,0.14,0.742,1.84658708040865e-08,"CD24"
1.37922559896529e-12,-3.27429065302993,0.07,0.693,2.28192875348807e-08,"SEM1"
1.69058528731378e-12,-2.42642090385179,0.132,0.731,2.79707335786066e-08,"ATP5MC1"
2.03425679801608e-12,-2.72909934187919,0.096,0.696,3.3656778723176e-08,"SELENOW"
2.28318485381761e-12,-2.24456835680962,0.193,0.785,3.77752934064124e-08,"ARG2"
2.46283202199153e-12,1.21046453328952,0.491,0.54,4.07475558038498e-08,"ANXA4"
2.7110572865883e-12,-2.29515684554354,0.132,0.737,4.48544428066034e-08,"ATP5F1B"
4.26742492306316e-12,1.05907639019171,0.772,0.757,7.060454535208e-08,"HLA-B"
4.43411122197213e-12,1.12989808312107,0.868,0.818,7.33623701675289e-08,"HNRNPH1"
4.96152034457319e-12,-2.82743383137125,0.096,0.716,8.20883541009634e-08,"SNRPN"
6.81363970613327e-12,-2.16640594845619,0.14,0.731,1.12731668937975e-07,"ATP5MF"
9.58768809132325e-12,-7.51195756082207,0,0.419,1.58628299470943e-07,"SLC45A4"
1.00603607947246e-11,-2.35533864206543,0.14,0.734,1.66448669348718e-07,"ATP5MC2"
1.09575174987306e-11,-1.0911557797911,0.193,0.749,1.81292127016498e-07,"SERTAD1"
1.30230562859611e-11,-3.54118665945016,0.053,0.593,2.15466466251226e-07,"ELOC"
1.51067503581007e-11,-2.38329090902677,0.105,0.703,2.49941184674776e-07,"ATP5F1A"
2.67839479618914e-11,-2.84869434815989,0.088,0.639,4.43140419029493e-07,"PDK4"
2.86566832884655e-11,-7.45224269088362,0,0.361,4.74124825007662e-07,"HBEGF"
3.39566634402573e-11,-3.17455729727537,0.035,0.463,5.61812996619057e-07,"PHLDA2"
3.53618047979433e-11,0.652855530634233,0.825,0.934,5.85061060381972e-07,"YWHAE"
4.17536887419073e-11,1.61362199109767,0.772,0.504,6.90814780234857e-07,"ALDOA"
9.04001924571821e-11,1.49137125057647,0.386,0.315,1.49567118420408e-06,"KCNJ15"
1.46015648605391e-10,-4.31029580463514,0.018,0.44,2.4158289061762e-06,"NAB2"
1.73827778339128e-10,2.89611573681736,0.14,0.02,2.87598059262088e-06,"IL32"
2.09449819853154e-10,-7.33180291371057,0,0.338,3.46534726947044e-06,"NR4A3"
2.30530664703172e-10,1.24011519704643,0.544,0.54,3.81412984751397e-06,"CTNNB1"
2.53872534994571e-10,0.814583324257891,0.711,0.775,4.20032109148517e-06,"KCNJ16"
2.6810369537079e-10,0.584703861263359,0.956,0.987,4.43577563990972e-06,"B2M"
2.79759598515502e-10,-2.77457023572757,0.096,0.683,4.62862255743898e-06,"COPS9"
3.38447041566675e-10,2.92622344372354,0.211,0.041,5.59960630272064e-06,"TSPAN8"
4.76182080641096e-10,0.41743788971612,0.561,0.808,7.87843252420694e-06,"SCP2"
5.29023029315073e-10,0.454676069782599,0.816,0.954,8.75268602001788e-06,"CD9"
6.05945841523692e-10,0.658939501870591,0.561,0.772,1.00253739480095e-05,"RHOA"
6.50622626634667e-10,-2.35240512936784,0.132,0.708,1.07645513576706e-05,"ATP5PO"
6.7085749468989e-10,1.74904803482743,0.395,0.304,1.10993372496442e-05,"ZNF503"
8.13210367775654e-10,-2.63679615868127,0.088,0.645,1.34545655348482e-05,"SMIM26"
8.31398755236948e-10,-2.62940066465244,0.088,0.642,1.37554924053953e-05,"TRIR"
1.28813680985286e-09,0.57774203626705,0.509,0.729,2.13122235190156e-05,"MOCS2"
