"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.81019862817743e-15,6.28800402086464,0.542,0.009,4.64947363031955e-11,"SPARCL1"
8.36276451385883e-15,3.72865075203547,0.542,0.044,1.38361938881794e-10,"KRT19"
1.16259683296587e-14,-1.77053962016236,0.458,0.86,1.92351646014203e-10,"EGF"
3.30973772159476e-13,-0.292234559608909,1,1,5.47596106037853e-09,"MT-ND1"
4.44711322061349e-13,-2.86567914222027,0.167,0.825,7.35774882350502e-09,"ATP5PD"
3.59300455221744e-12,2.23038833126943,0.646,0.105,5.94462603164376e-08,"SLC8A1"
4.13950303278821e-12,3.16543803632983,0.646,0.105,6.84880776774809e-08,"C12orf75"
9.00411876019234e-12,-1.61871291642788,0.271,0.912,1.48973144887382e-07,"FABP3"
9.07529762368988e-11,-0.304367740753436,1,0.982,1.50150799183949e-06,"ATP1A1"
9.32030607707651e-11,-3.30180721721923,0.104,0.728,1.54204464045231e-06,"SNRPN"
1.71497392947855e-10,2.65893253625861,0.438,0.035,2.83742436632226e-06,"IGFBP5"
2.04109781280954e-10,-0.260687145926594,1,0.974,3.37699633129338e-06,"COX7C"
2.82357009372293e-10,3.96623262284305,0.396,0.018,4.67159672006459e-06,"SLC26A7"
3.2724572103422e-10,-0.514020319077661,0.875,0.974,5.41428045451118e-06,"RPS25"
4.38578139287706e-10,1.55295059287571,0.792,0.333,7.25627531451509e-06,"TMSB4X"
6.45141108879988e-10,-2.09608138352791,0.229,0.807,1.06738596464194e-05,"BEX3"
1.15824042185214e-09,-0.252641252542776,1,0.974,1.91630877795436e-05,"COX5B"
1.23388094571955e-09,-0.346224221786561,0.958,0.956,2.041456024693e-05,"NDUFA1"
1.35739712233348e-09,7.3888634710865,0.292,0,2.24581353890075e-05,"IL18"
1.52412803913472e-09,-2.25853081149647,0.208,0.798,2.5216698407484e-05,"ATP5IF1"
1.96297389881643e-09,-0.480425749584962,0.917,0.974,3.24774031559178e-05,"COX6A1"
2.07718027532818e-09,-0.284814438298288,0.979,0.947,3.43669476553048e-05,"RPS13"
2.08096126296904e-09,-0.435548866018605,0.896,0.947,3.44295040958228e-05,"NDUFB1"
2.10947732268928e-09,-0.474734554730038,0.896,0.93,3.49013023038941e-05,"TOMM7"
2.21053324271158e-09,-0.675783567529869,0.771,0.93,3.6573272500663e-05,"S100A10"
2.77882700611813e-09,-2.12992711954761,0.208,0.816,4.59756928162245e-05,"ATP5MC2"
2.78934961450422e-09,-0.363924845378682,0.958,0.974,4.61497893719722e-05,"NDUFA4"
3.40175364639186e-09,-0.262323309589529,0.979,1,5.62820140795534e-05,"SLC12A3"
4.60142624440187e-09,-0.406111382522507,0.625,0.412,7.61305972136289e-05,"CALB1"
4.70691638320299e-09,1.44944110789347,0.917,0.518,7.78759315600935e-05,"HNRNPH1"
5.89795154864205e-09,-0.250224509776076,1,1,9.75816083722828e-05,"DEFB1"
7.13139499625373e-09,-0.372567117347216,0.958,0.956,0.000117988930213018,"TMA7"
7.7871475009258e-09,-1.89657759344155,0.25,0.816,0.000128838355402817,"ATP5MG"
8.4160234346438e-09,-0.46114370285786,0.917,0.956,0.000139243107726182,"COX6C"
1.07879089698186e-08,-1.93802698909891,0.229,0.816,0.000178485953905649,"ELOB"
1.39559680244879e-08,-1.89851166826426,0.229,0.816,0.000230901490965152,"ATP5F1D"
1.88473993497439e-08,-1.84040599327157,0.25,0.825,0.000311830222241513,"ATP5PF"
2.49090279619046e-08,-2.40587715028117,0.125,0.737,0.000412119867629711,"SELENOW"
2.5604431616743e-08,2.32653743884364,0.625,0.14,0.000423625321099014,"C1orf56"
2.75555496312204e-08,1.98766402782672,0.729,0.263,0.000455906568648541,"WFDC2"
2.95226130997795e-08,-0.179350949585776,1,0.974,0.000488451633735852,"COX8A"
3.03339860366061e-08,-1.83453070291344,0.25,0.816,0.000501875798975648,"ATP5F1E"
3.71770626860064e-08,-0.838952407825249,0.708,0.904,0.000615094502139975,"NDUFB3"
4.16109687196206e-08,-0.771530207607549,0.708,0.904,0.000688453477466123,"MRPS6"
4.45269173546598e-08,-0.654663734347178,0.792,0.912,0.000736697847632846,"NDUFC1"
4.94498092648421e-08,-0.491287755496223,0.854,0.939,0.000818147094286812,"UQCRH"
6.22733201829151e-08,-4.9698145584385,0.021,0.509,0.00103031208242633,"METTL26"
6.30939599868353e-08,-0.50924754815889,0.792,0.886,0.00104388956798219,"MZT2B"
6.49312801076129e-08,-0.149927186645235,1,1,0.00107428802938045,"MT-CYB"
6.66056366651997e-08,6.90775243205153,0.229,0,0.00110199025862573,"ZZZ3"
7.29517627400888e-08,-1.66282315501318,0.25,0.825,0.00120698691453477,"ATP5ME"
9.03899252480623e-08,-1.79784915131766,0.25,0.816,0.00149550131322919,"UQCR11"
9.29322724137053e-08,-0.379665112682648,0.917,0.939,0.00153756444708475,"RPL14"
9.44059527331077e-08,-1.76158730985242,0.25,0.816,0.00156194648796927,"ATP5PO"
9.90473957908591e-08,-0.172905342227919,1,0.982,0.00163873916335976,"RPLP1"
1.05526559922963e-07,-1.75778151906397,0.25,0.816,0.00174593693392541,"ATP5MC3"
1.22931714829756e-07,2.30488662466317,0.521,0.096,0.00203390522185832,"TMEM178A"
1.36254143740159e-07,-1.92606288211145,0.208,0.789,0.00225432480818094,"NDUFB8"
1.4166671261615e-07,1.49971365505106,0.917,0.535,0.0023438757602342,"MT-ATP8"
1.57681743855533e-07,-0.110520829312959,1,1,0.00260884445208979,"MT-ND2"
1.62047888890358e-07,-2.00668408350706,0.208,0.781,0.00268108232169097,"ATP5F1C"
1.93348071138653e-07,-0.275600989550677,0.958,0.956,0.00319894383698901,"UQCRB"
2.11432457752694e-07,-0.207824595683599,0.979,0.956,0.00349815001351832,"RPL30"
2.29847800792523e-07,-1.63814430258527,0.25,0.816,0.00380283186411229,"ATP5MC1"
2.45713248363095e-07,-1.8104759706809,0.229,0.789,0.00406532569416741,"MMP24OS"
2.45767187710484e-07,-0.249711636997791,1,0.974,0.00406621812066995,"RPS23"
2.81306624466678e-07,-0.572915728758822,0.812,0.93,0.00465421810180119,"NDUFB4"
2.94047081898408e-07,2.08259787926194,0.521,0.088,0.00486500897000917,"GPX1"
3.10900416853153e-07,4.35215229944,0.292,0.009,0.00514384739683541,"DMRT2"
3.14783312989224e-07,-0.436739637464285,0.875,0.974,0.00520808991340671,"PFDN5"
3.16498178445252e-07,-0.42378735700794,0.875,0.965,0.0052364623623767,"RPL38"
3.47242923430489e-07,-0.180042712411884,0.979,0.965,0.00574513416815744,"RPL24"
3.55916284177074e-07,-2.65608793276613,0.125,0.693,0.00588863492170969,"SMIM26"
3.59981181305e-07,1.72382045664983,0.646,0.254,0.00595588864469122,"SMIM5"
3.63099780510937e-07,-2.42430141430238,0.146,0.702,0.00600748586855346,"MRPL57"
3.97380626039096e-07,-1.66031264870267,0.229,0.798,0.00657466245781685,"CD24"
4.08836674267306e-07,-0.609738761910596,0.792,0.947,0.00676420277575258,"MT2A"
4.52406169143132e-07,-0.224471927160701,0.979,0.947,0.00748506006847312,"RPS29"
4.77392495306925e-07,-0.863939695423434,0.646,0.877,0.00789845883485308,"NDUFAB1"
5.75974110776904e-07,2.0751927165207,0.417,0.167,0.00952949166280387,"SC5D"
5.90332618671461e-07,-2.78756775946957,0.104,0.649,0.00976705317591932,"SF3B6"
6.13524252010559e-07,-1.72439739490179,0.25,0.798,0.0101507587495147,"ATP5MF"
6.2839082160416e-07,2.13417280221524,0.5,0.079,0.0103967261434408,"MATR3"
6.75116102407705e-07,-2.36400048727032,0.167,0.719,0.0111697959143355,"SEM1"
6.94648553717461e-07,-0.447904380145323,0.854,0.912,0.0114929603212554,"NDUFB10"
9.04016158651536e-07,-0.419127624840827,0.854,0.956,0.0149569473448897,"NDUFB7"
9.06931125637461e-07,1.75766933883017,0.792,0.404,0.0150051754736718,"ALDOA"
9.31955717388087e-07,-0.133307163060794,1,0.974,0.0154192073441859,"RPL41"
9.36133036438052e-07,-1.68179518295178,0.25,0.789,0.0154883210878676,"ATP5F1A"
1.0029762053765e-06,-2.06899181311556,0.188,0.754,0.0165942413179542,"COPS9"
1.03048223088853e-06,1.14016097252518,0.625,0.263,0.0170493285100507,"S100A2"
1.09378242897112e-06,-0.361556563133103,0.854,0.912,0.0180966302873271,"NDUFS5"
1.10574739672687e-06,3.03481193116803,0.292,0.035,0.0182945906788461,"AQP2"
1.13735670075316e-06,-0.112902745603135,1,0.965,0.018817566613961,"COX7B"
1.17024808665912e-06,-1.57110346004925,0.25,0.798,0.0193617545937751,"ATP5F1B"
1.23108923545966e-06,-0.522106978468813,0.833,0.939,0.02036837140068,"OST4"
1.35018901014363e-06,-0.486171867318807,0.792,0.921,0.0223388771728264,"RPL27A"
1.37058293341042e-06,6.64768771843033,0.208,0,0.0226762946332754,"PTCHD1"
1.39936339894853e-06,-0.547922238845787,0.792,0.912,0.0231524674356034,"UBC"
1.41475216955889e-06,-1.85605873501752,0.229,0.772,0.0234070746453518,"RACK1"
1.45430152502813e-06,2.39195864012026,0.458,0.123,0.0240614187315904,"PPP3CA"
1.61077412845223e-06,-2.04840418437714,0.229,0.693,0.0266502579552422,"CEBPD"
1.63342019021727e-06,4.11173892448631,0.292,0.026,0.0270249370471447,"MARCKSL1"
1.93378721162655e-06,4.96490551727887,0.188,0.009,0.0319945094163612,"STON2"
1.9820194621179e-06,-0.455243593163696,0.854,0.939,0.0327925120007406,"RPL36AL"
2.07042511540846e-06,-0.0855653249210002,1,1,0.0342551835344329,"MT-CO3"
2.12730681282247e-06,-0.198467531277815,0.979,0.956,0.0351962912181477,"COX6B1"
2.59632463066797e-06,1.35082620091883,0.688,0.456,0.0429561910144015,"MECOM"
2.70313343780783e-06,1.64000118082944,0.417,0.193,0.0447233427285306,"ITGA2"
2.79588853910522e-06,-5.89238609441132,0,0.316,0.0462579758794959,"BUD23"
2.86551290302515e-06,-2.44435555399297,0.104,0.649,0.0474099109805512,"SELENOK"
3.3398730053583e-06,-0.373469082703976,0.875,0.965,0.0552581988736531,"NDUFA3"
3.46862974454258e-06,1.34942540646103,0.604,0.333,0.0573884791234569,"PTBP3"
3.61391448964901e-06,-2.05848338504378,0.146,0.693,0.0597922152312429,"SELENOP"
3.72497800999552e-06,-2.57973356743597,0.083,0.614,0.0616297611753759,"FMC1"
3.95043327810963e-06,-1.11803567697552,0.438,0.64,0.0653599185863238,"G0S2"
4.07086566089537e-06,-0.302118801331861,0.917,0.921,0.0673524723595138,"RPL23A"
4.34104043719831e-06,-0.667278648172763,0.688,0.833,0.071822514033446,"TXN"
4.43728465519798e-06,-0.664340914349333,0.729,0.939,0.0734148746202506,"COMMD6"
4.53885498677735e-06,6.0608075954647,0.167,0,0.0750953557562312,"GATA2"
4.81442773650068e-06,3.41771821979606,0.271,0.026,0.0796547069004037,"LSAMP"
5.18445795842739e-06,-1.20145369606675,0.396,0.711,0.0857768569221811,"KRT10"
5.22397274376395e-06,1.47204877453838,0.604,0.351,0.0864306290455745,"EMX2"
5.46926606004915e-06,-2.79224388030512,0.125,0.474,0.0904890069635132,"NR4A1"
