"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.34490410252809e-14,-4.04553017952702,0.087,1,1.04976438376327e-09,"FN1"
1.96308819586848e-13,-9.79503295719203,0,0.88,3.2479294200644e-09,"CAVIN2"
1.29762070781356e-12,-9.2424264270854,0,0.76,2.14691346107753e-08,"TNS2"
3.35365241156066e-12,-9.84045794282936,0,0.84,5.54861791492712e-08,"NR4A1"
6.78681938997223e-12,-9.65580799048125,0,0.84,1.12287926807091e-07,"PLPP1"
7.63642480243426e-12,-5.74885478414143,0.022,0.88,1.26344648356275e-07,"EGR1"
8.04252960067613e-12,-9.15628324410161,0,0.8,1.33063652243187e-07,"ADGRL4"
1.00855993384708e-11,-9.47828232693614,0,0.8,1.66866241054999e-07,"PECAM1"
1.27529253928495e-11,-9.29933899366677,0,0.76,2.10997150624695e-07,"EGR3"
4.79290732294085e-11,-5.91065444818367,0.011,0.84,7.92986516580563e-07,"SPARCL1"
5.65775202851426e-11,-9.31589777958077,0,0.72,9.36075073117684e-07,"ADGRF5"
1.41082974013182e-10,-6.51365384064248,0.011,0.88,2.3342178050481e-06,"APOLD1"
3.63301897543439e-10,-9.22474633925114,0,0.76,6.0108298948562e-06,"ATP5F1E"
5.91660338835254e-10,-2.24237732171736,0.163,0.88,9.78902030602928e-06,"AQP1"
1.695132778419e-09,-3.06875043314401,0.109,0.88,2.80459718189424e-05,"PPP1R14A"
3.61190864694862e-09,3.36786931514231,0.707,0.2,5.97590285637649e-05,"ITIH5"
6.00392246199314e-09,5.25624024618334,0.663,0.04,9.93348971336765e-05,"SESN3"
6.40361165760031e-09,-9.1959534376839,0,0.72,0.000105947754874997,"CAVIN1"
6.49051351772139e-09,-8.77590244253081,0,0.68,0.0001073855461507,"ATP5ME"
1.04022264369241e-08,-2.78697656135356,0.141,0.88,0.000172104836398909,"JUN"
1.15804207870715e-08,-9.18469636118187,0,0.72,0.000191598061922098,"RACK1"
1.16965422759848e-08,-3.5668115766737,0.098,0.88,0.000193519291956168,"ZFP36"
4.00197688753582e-08,-3.48459632609482,0.076,0.84,0.000662127076042801,"SERPINE2"
9.93582525229567e-08,2.75155265724453,0.902,0.28,0.00164388228799232,"S100A4"
1.29168330601275e-07,4.843476811394,0.511,0.04,0.00213709002979809,"MRPS6"
1.93663550998501e-07,-8.64112131922714,0,0.64,0.0032041634512702,"SELENOM"
1.9854133872103e-07,-8.12370080475832,0,0.6,0.00328486644913943,"SEM1"
2.21366893050699e-07,-9.00621189539711,0,0.64,0.00366251524552382,"SELENOW"
2.60331528483886e-07,3.28931117302542,0.457,0.04,0.00430718513876589,"GPX1"
2.76976595200661e-07,-4.74222071134166,0.022,0.64,0.00458257776759494,"FKBP5"
3.8829196455601e-07,-7.89854537516821,0,0.36,0.00642429055357919,"OGA"
4.15927445295509e-07,6.42786069398202,0.348,0,0.00688151958241419,"TMEM100"
4.43506268644977e-07,-8.64692784111897,0,0.56,0.00733781121473115,"ATF3"
5.18014260811681e-07,-8.52268435659243,0,0.56,0.00857054594512926,"RSRP1"
9.08246513242221e-07,-8.11097141452214,0,0.52,0.0150269385615925,"NOP53"
