"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.49541897036222e-22,3.8213536461649,0.803,0.073,2.47417068646429e-18,"KRT18"
7.80266252628388e-22,3.01474247785339,0.848,0.132,1.29095051497367e-17,"HIGD1B"
2.11552606817228e-19,2.22505424778743,0.909,0.252,3.50013787979104e-15,"HOPX"
1.40897384509551e-17,-2.06144618242068,0.379,0.795,2.33114722671053e-13,"CEBPB"
2.71202362876445e-17,-2.68182902587422,0.273,0.775,4.48704309379078e-13,"CEBPD"
1.02998297028023e-15,-3.0598100832804,0.167,0.411,1.70410682432864e-11,"DCN"
1.61728315408512e-15,-3.43565733474974,0.121,0.636,2.67579497843383e-11,"KLF9"
2.22201823991856e-15,2.17837721813419,0.773,0.192,3.67632917794527e-11,"RASL11A"
4.17724350592852e-15,1.85557976860705,0.879,0.238,6.91124938055874e-11,"IGFBP2"
5.78415871288692e-15,2.65147440331413,0.742,0.166,9.56989059047141e-11,"MAP3K7CL"
7.02281929594825e-15,-8.47396837461908,0,0.325,1.16192545251464e-10,"LUM"
7.63924668155498e-15,-2.1870438670155,0.258,0.669,1.26391336346327e-10,"NFKBIA"
7.66589770881996e-15,1.59268252916623,0.955,0.377,1.26832277592426e-10,"S100A4"
8.94254309255192e-15,1.7792921506333,0.879,0.351,1.47954375466271e-10,"ARPC1A"
1.17725596553132e-14,-0.943689843662912,0.909,0.94,1.94776999497157e-10,"MT2A"
3.03175739570901e-13,2.630316127047,0.712,0.126,5.01604261120055e-09,"MRPS6"
5.57048313860482e-13,0.804804917336047,1,0.702,9.21636435282167e-09,"MYL9"
6.07661601243746e-13,-7.72151245085188,0,0.252,1.00537611925778e-08,"EFEMP1"
9.20441526936735e-13,1.05936569914192,0.924,0.503,1.52287050631683e-08,"NOTCH3"
1.18660997275799e-12,2.24561216450214,0.697,0.166,1.96324619992809e-08,"ESAM"
1.88694570878617e-12,1.06954326445804,0.97,0.583,3.12195167518672e-08,"NR2F2"
3.28633780821253e-12,1.13978765531984,0.879,0.371,5.43724590368764e-08,"RERGL"
3.55583612135171e-12,-8.2930102042281,0,0.291,5.88313086277641e-08,"SERPINF1"
3.78380401984384e-12,1.77427834247823,0.818,0.272,6.26030375083164e-08,"RRAD"
5.39246519902307e-12,2.61083180736935,0.576,0.106,8.92183367178366e-08,"NRARP"
