"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.9896569784626e-66,-11.7786304433106,0,0.236,4.94638747086637e-62,"TFF2"
2.11750464378089e-62,1.07638422998211,0.979,0.718,3.50341143313548e-58,"FXYD2"
1.23386624939584e-60,1.92974050689058,0.849,0.5,2.04143170962542e-56,"PIGR"
4.13026560304281e-56,-11.5449789293791,0,0.209,6.83352444023433e-52,"TFF1"
1.58665013660194e-48,-5.915862125478,0.01,0.242,2.6251126510079e-44,"AGR2"
1.81907785156314e-48,1.35970622312642,0.826,0.638,3.00966430541122e-44,"HNRNPH1"
2.83184150207948e-45,-11.1408797625306,0,0.178,4.68528176519049e-41,"KRT13"
1.22980082682727e-44,-10.9322777454147,0,0.175,2.03470546798571e-40,"CEACAM6"
1.09844450415202e-42,-3.2864488391051,0.068,0.405,1.81737643211952e-38,"TM4SF1"
1.92754331536402e-41,1.71643324492226,0.521,0.227,3.18912041526977e-37,"RPS4Y1"
2.54709399986162e-39,1.41626824046754,0.815,0.61,4.21416702277106e-35,"CLU"
1.38410447969586e-38,-1.88030960861455,0.224,0.475,2.2900008616568e-34,"S100A4"
4.47702079461086e-38,-5.18089773726376,0.018,0.304,7.40723090468367e-34,"PHLDA2"
5.84188416532248e-38,0.964181749757401,0.892,0.779,9.66539735152605e-34,"ATP1B1"
6.02885886076543e-38,-2.59929522033707,0.117,0.399,9.9747469851364e-34,"CCND2"
7.68785617468058e-38,1.55780584513907,0.801,0.509,1.2719558041009e-33,"MT1G"
5.0971340222156e-36,2.17411419027221,0.592,0.252,8.43320823975571e-32,"MT1H"
4.11888743814461e-35,-4.83835612341547,0.011,0.181,6.81469926641025e-31,"SPINK1"
3.33316059372933e-34,-10.4681661952612,0,0.141,5.51471420232517e-30,"ZG16B"
4.58224201082761e-34,1.30091960358459,0.654,0.488,7.58131940691428e-30,"C12orf75"
2.24554754145899e-33,-5.10401294688641,0.011,0.221,3.7152584073439e-29,"PLAT"
3.03710994564125e-33,2.2449327991394,0.485,0.273,5.02489840506345e-29,"CDH6"
2.33796992398282e-32,1.31156476881958,0.764,0.592,3.86817123922957e-28,"MAL"
2.35685564719056e-31,-3.3077608470212,0.043,0.472,3.89941766827678e-27,"NR4A1"
3.5944562805781e-31,-8.94382219614983,0.001,0.147,5.94702791621646e-27,"CDKN2A"
7.89235226368265e-31,-4.96946414986508,0.008,0.291,1.30578968202629e-26,"DUSP5"
2.00312676072288e-29,1.5698094342573,0.592,0.362,3.31417322561601e-25,"GATM"
2.20682630356218e-29,0.822713756165096,0.887,0.739,3.65119411924362e-25,"MT2A"
2.85715743178604e-29,-10.2362220998967,0,0.123,4.72716697089001e-25,"S100P"
5.69396483818183e-29,0.883706065582015,0.985,0.914,9.42066482477183e-25,"MT-ND4L"
2.30552495063681e-28,-0.437454150363181,0.729,0.975,3.8144910308286e-24,"RPS2"
5.56845217437952e-28,0.714555334624686,0.931,0.865,9.21300412251091e-24,"RPS26"
2.02148032895547e-27,0.649293296245764,0.971,0.899,3.34453920425682e-23,"ITM2B"
2.41929265534488e-27,1.13235377751536,0.75,0.601,4.0027196982681e-23,"MT1X"
6.2094367193448e-27,1.40045799750052,0.565,0.439,1.0273513052156e-22,"CTNNB1"
6.31608761179111e-27,1.65226739301922,0.606,0.399,1.04499669537084e-22,"TNFSF10"
1.10417156454594e-26,-0.589514280096452,0.647,0.933,1.82685185354125e-22,"MYL12A"
1.39187065770438e-26,4.72356523474303,0.299,0.037,2.30285000317189e-22,"SOSTDC1"
6.66307797740547e-26,1.310961342459,0.764,0.515,1.10240625136173e-21,"TSPAN1"
1.74727140018466e-25,-3.45220311906378,0.031,0.172,2.89086053160553e-21,"CLEC2B"
6.7514453893902e-25,-2.16774032491789,0.079,0.337,1.11702663967461e-20,"BST2"
1.10231140329074e-24,0.74229384750376,0.783,0.607,1.82377421674454e-20,"CRYAB"
2.27020271735366e-24,0.898564119551907,0.628,0.592,3.75605039586164e-20,"MT1F"
3.93561544804951e-24,1.98718042179682,0.525,0.273,6.51147575879791e-20,"ANPEP"
3.97520387578379e-24,-5.89820812732711,0.003,0.117,6.57697481248428e-20,"AQP5"
4.02202891294683e-24,1.21172997277293,0.685,0.521,6.65444683647053e-20,"TMEM176A"
4.036656188465e-24,1.39468086770834,0.521,0.344,6.67864766381534e-20,"SPP1"
4.13125321217884e-24,-3.08691544533827,0.04,0.199,6.8351584395499e-20,"LCN2"
7.63258717354883e-24,0.958608337954916,0.708,0.595,1.26281154786365e-19,"TXNIP"
2.02850407029233e-23,-7.38108599055722,0.001,0.11,3.35615998429866e-19,"PSCA"
6.49592165492108e-23,1.5155030612839,0.403,0.31,1.07475023780669e-18,"INSR"
1.31587661476447e-22,-1.47993867934141,0.254,0.656,2.17711785912782e-18,"YBX3"
1.60320216497349e-22,1.80852345703061,0.55,0.255,2.65249798194864e-18,"CRIP1"
5.38821058985302e-22,-2.16645860157392,0.11,0.488,8.91479442091183e-18,"ATF3"
1.20581727453424e-21,1.36530915340024,0.483,0.337,1.99502468071691e-17,"UGT2A3"
1.68939785844555e-21,-5.97652579546055,0.003,0.107,2.79510875679816e-17,"PLAC8"
1.78089917758753e-21,-3.3652433034921,0.032,0.212,2.94649768931857e-17,"MANSC1"
3.93605488826732e-21,1.12031282403834,0.717,0.574,6.51220281263829e-17,"TMEM176B"
6.36989086739541e-21,1.28539785788639,0.688,0.469,1.05389844401057e-16,"CD74"
1.31351924777721e-20,0.749282251306441,0.694,0.678,2.1732175954474e-16,"MIF"
2.86752221534167e-20,1.02713484051016,0.457,0.429,4.74431550528279e-16,"MGST1"
3.68878398099954e-20,-2.74674367657106,0.051,0.209,6.10309309656373e-16,"C15orf48"
4.38975703377656e-20,-2.93081842148128,0.031,0.267,7.26285301238332e-16,"FHL2"
6.14679133183737e-20,-0.106985188802976,0.883,0.972,1.01698662585249e-15,"EIF1"
6.95514901875361e-20,-2.82559962287831,0.049,0.252,1.15072940515279e-15,"FXYD3"
1.28820123291399e-19,-0.165141521038468,0.857,0.982,2.13132893985619e-15,"MT-ND1"
1.3616674573955e-19,-0.183350537651945,0.812,0.951,2.25287880826086e-15,"MYL12B"
2.58831938257984e-19,-3.10327163757109,0.042,0.252,4.28237441847835e-15,"HMGA1"
5.57890234035369e-19,1.66348611278689,0.315,0.233,9.23029392211518e-15,"CDC42SE1"
7.3079910716339e-19,2.01611851908435,0.476,0.248,1.20910712280183e-14,"DPEP1"
1.10214922271142e-18,-0.16898867620477,0.836,0.966,1.82350588897605e-14,"RPL9"
1.33447847957874e-18,1.24271889633524,0.471,0.34,2.20789464446302e-14,"LGALS2"
1.33711479052174e-18,-3.41524445083097,0.028,0.172,2.21225642091822e-14,"TGM2"
1.35268430424622e-18,-3.44516138033042,0.031,0.227,2.23801618137536e-14,"SNCG"
2.28560138053089e-18,-7.32610381418162,0.003,0.101,3.78152748408835e-14,"RAMP1"
2.36599430260482e-18,-2.71162889047926,0.049,0.402,3.91453757365967e-14,"ERRFI1"
3.58369258770418e-18,-2.55082422094103,0.056,0.267,5.92921938635656e-14,"CD55"
3.90004995323094e-18,1.79360873900158,0.532,0.267,6.4526326476206e-14,"HLA-DRA"
3.91899717448866e-18,0.835172258080821,0.683,0.69,6.48398082519149e-14,"CDC42"
4.28340720319415e-18,0.0260356159397492,0.925,0.994,7.08689721768472e-14,"MT-CYB"
4.4151093244754e-18,-2.60095750025614,0.036,0.377,7.30479837734455e-14,"FKBP5"
8.33830318672551e-18,1.63040269486424,0.488,0.301,1.37957226224374e-13,"NAT8"
9.91318750887396e-18,1.64114651922536,0.468,0.255,1.6401368733432e-13,"APOE"
1.81239115367061e-17,-0.0116104319703427,0.944,0.994,2.99860116374803e-13,"RPS27A"
1.98358833164596e-17,0.577048458445859,0.789,0.767,3.28184689470824e-13,"LAPTM4A"
2.5977110585243e-17,0.859983034407782,0.631,0.537,4.29791294632845e-13,"PCSK1N"
3.82009433999329e-17,2.45868130543359,0.265,0.117,6.3203460855189e-13,"SLC13A1"
6.77647708503581e-17,0.668456211305032,0.767,0.712,1.12116813371918e-12,"MT1E"
7.61092473721195e-17,0.748997565128616,0.978,0.893,1.25922749777172e-12,"MT-ND5"
7.75478586066206e-17,-3.29374004998912,0.025,0.276,1.28302932064654e-12,"PDLIM4"
8.06731693846011e-17,0.0143024808614509,0.914,0.948,1.33473758746823e-12,"RPS4X"
9.41752811821922e-17,-0.201379248781422,0.783,0.951,1.55813002715937e-12,"RPL10A"
1.24659008891352e-16,5.31337057059479,0.16,0.009,2.06248330210741e-12,"REG1A"
1.32670993180204e-16,-1.63801938058855,0.147,0.402,2.19504158216647e-12,"SERPINB1"
1.38930166592523e-16,-1.02821123423368,0.389,0.776,2.29859960627329e-12,"LDHA"
1.41113842613672e-16,0.692798171427186,0.753,0.745,2.3347285260432e-12,"YWHAE"
1.62516343071398e-16,0.609652434049868,0.743,0.724,2.68883289611629e-12,"CYB5A"
1.68666445343538e-16,1.10466209900151,0.424,0.396,2.79058633820883e-12,"CLIC4"
1.90492880370557e-16,-3.5857931073238,0.014,0.132,3.15170470573086e-12,"LGALS4"
1.91058200264295e-16,-0.737256748025535,0.507,0.874,3.16105792337276e-12,"HSP90AB1"
2.07130440848123e-16,0.631343088170154,0.615,0.666,3.4269731438322e-12,"RTN4"
3.47797062850597e-16,0.0215051600423122,0.897,0.991,5.75430240486313e-12,"MT-CO3"
3.93929479975684e-16,2.49236455631765,0.231,0.089,6.5175632461977e-12,"HNF4A"
4.53839207249455e-16,1.35463290664606,0.428,0.279,7.50876968394223e-12,"MARCKS"
7.04195450599119e-16,-5.88307576194777,0.007,0.123,1.16509137301624e-11,"SFN"
7.48638742800416e-16,-1.08282528990011,0.34,0.727,1.23862279996329e-11,"KLF6"
