"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","295/4082","368/11230",0.801630434782609,2.2053674136719,17.7665550425002,1.46089996221681e-68,2.44554653675094e-65,1.28866754561862e-65,"RPS4X/RPL23A/MT-ND1/MT-CYB/UBB/UBC/RPS3/EIF4H/RPS2/RPL3/RPS13/KLHDC10/SEM1/MRPS31/RPL19/RPL5/RPL6/MRPL51/RPL22/RPS3A/RPS4Y1/RPS27L/RPL27/MRPS12/RPL36AL/MRPL42/RPS27A/MRPL39/SRP54/EIF3A/RPS7/RPL35A/RPL18A/RPL8/RPS16/EIF3B/RPS18/MT-CO3/MRPS22/EIF3L/PSMB1/ELOB/UBE2D3/EEF1A1/RPL26/PSMD11/SRP14/RPL30/RPS17/RPL37A/RPL39/RPL13/RPL15/EIF4E/RPL7A/RPS20/RPL9/MRPL48/RPL23/RPL10/MRPL53/GADD45GIP1/RPL7/EIF4A1/MRPL43/UFD1/EEF1B2/MRPL15/RPL27A/RPL12/MT-ATP6/RPL29/EIF1AX/RPS9/RPS25/EEF1E1/APEH/RPL24/SEC11C/PSMA4/EIF3M/SRP9/MRPL41/RPL22L1/RPS24/NPLOC4/MRPL52/MRPL40/MRPL4/EIF2B1/EIF4B/RPL13A/PSMA1/PSMD1/MT-ND2/SPCS3/PSMA7/RPL37/MRPL44/RPS8/RPL34/MRPS7/RPL11/MT-CO2/RPL26L1/PSMA2/SSR1/RPS23/MRPL50/MRPS10/RPL32/RPS6/MRPS27/EIF3I/EIF3G/MTIF3/SEC61B/PSMC6/RPN2/MRPL14/NEMF/NDUFAB1/SEC61G/PSMD8/PSMD6/FAU/PSMB4/PSMB5/ZNF598/PSMC4/TRMT112/RPL36A/RPS26/UBE2D2/MRPL57/RPS19/PSMD14/MT-ATP8/RPL38/ANKZF1/PSMB7/SSR4/RPS12/SEC11A/UBA52/SSR3/EEF1D/RPL31/RPS11/MRPL23/MRPL16/ASCC2/EIF4A2/MRPL47/RPL17/MRPL20/EIF3K/MRPL22/RPS15A/RPS5/UBE2D1/MRPL55/RPL18/MRPS18A/MRPL9/PABPC1/MRPL34/PSMC2/MRPL54/RPL14/EIF3D/AURKAIP1/MRPL24/MTIF2/PPA1/ELOC/EIF5B/TUFM/RPLP1/ASCC3/VCP/RPN1/RPLP0/SRPRA/EEF2/PSMB3/RPL41/RPS15/RPS14/MRPS5/PELO/MRPL27/PTCD3/SRP68/EIF3E/RPL10A/RPSA/MRPL3/MRPL2/RPL4/MRPL36/MRPS16/MRPL13/EIF4G1/LTN1/MRPL12/MRPS33/MT-CO1/RARS2/MALSU1/MRPL11/EIF3H/TCF25/RPS27/PSMA3/EIF2S1/FARSA/RPS10/CUL2/SRP19/EIF5/MIEF1/PSMD2/OXA1L/RPL28/ADRM1/MRPS26/SRP72/MRPS21/MRPL18/DDOST/MRPL37/MRPS25/EIF3F/SPCS1/PSMD12/PSMD7/RPS28/RCHY1/MRPS34/SEC61A1/MRPL19/PSMC1/EIF2S3/RPL21/RPS21/RPL35/MRPL28/MRPL21/GSPT1/MRPS14/MRPS23/MRPS18B/MT-ND5/EIF2S2/PSMD3/RPLP2/AIMP1/HBS1L/CHCHD1/MTRF1L/PSMC5/PSMC3/MRPS28/PSMB6/TSFM/IARS2/MRPS18C/ABCE1/MRPS30/EIF2B4/EIF3J/RBX1/DAP3/MRPS15/MRPL17/PSMB2/TRAM1/MRPL33/PSMD13/RPS29/EIF4EBP1/MRPS11/MRPL1/MT-ND4L/RPL36/PSMA5/SPCS2/ETF1/MRPL32/GFM1/MT-ND4/SSR2/MT-ND3/MT-ND6",295,"EC_GC","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","139/4082","145/11230",0.958620689655172,2.63726368075149,14.9951063273705,1.51194499079566e-53,1.26549795729597e-50,6.66847316993035e-51,"RPS4X/RPL23A/UBB/UBC/RPS3/RPS2/RPL3/RPS13/KLHDC10/SEM1/RPL19/RPL5/RPL6/RPL22/RPS3A/RPS4Y1/RPS27L/RPL27/RPL36AL/RPS27A/RPS7/RPL35A/RPL18A/RPL8/RPS16/RPS18/PSMB1/ELOB/UBE2D3/RPL26/PSMD11/RPL30/RPS17/RPL37A/RPL39/RPL13/RPL15/RPL7A/RPS20/RPL9/RPL23/RPL10/RPL7/UFD1/RPL27A/RPL12/RPL29/RPS9/RPS25/RPL24/PSMA4/RPL22L1/RPS24/NPLOC4/RPL13A/PSMA1/PSMD1/PSMA7/RPL37/RPS8/RPL34/RPL11/RPL26L1/PSMA2/RPS23/RPL32/RPS6/PSMC6/NEMF/PSMD8/PSMD6/FAU/PSMB4/PSMB5/ZNF598/PSMC4/RPL36A/RPS26/UBE2D2/RPS19/PSMD14/RPL38/ANKZF1/PSMB7/RPS12/UBA52/RPL31/RPS11/ASCC2/RPL17/RPS15A/RPS5/UBE2D1/RPL18/PSMC2/RPL14/ELOC/RPLP1/ASCC3/VCP/RPLP0/PSMB3/RPL41/RPS15/RPS14/PELO/RPL10A/RPSA/RPL4/LTN1/TCF25/RPS27/PSMA3/RPS10/CUL2/PSMD2/RPL28/ADRM1/PSMD12/PSMD7/RPS28/RCHY1/PSMC1/RPL21/RPS21/RPL35/PSMD3/RPLP2/HBS1L/PSMC5/PSMC3/PSMB6/ABCE1/RBX1/PSMB2/PSMD13/RPS29/RPL36/PSMA5",139,"EC_GC","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","180/4082","213/11230",0.845070422535211,2.32487526826811,14.7518976075024,2.1317092261698e-48,1.0560589890516e-45,5.56484583302042e-46,"HNRNPH1/PCBP2/SRSF6/U2AF1/SAP18/SRSF10/PTBP1/SF3A1/SRSF8/PCBP1/HSPA8/POLR2L/HNRNPA1/PRCC/RBMX2/POLR2E/WDR70/PPIG/PNN/RBM10/SMNDC1/LSM8/LUC7L3/SNU13/PPIH/SRSF11/SF3B6/RNPS1/ZCRB1/YBX1/PRPF8/LENG1/RBM25/LSM3/SYF2/FUS/PPWD1/ZMAT2/SNRPG/SRRM2/HNRNPH2/SNRPB/SNRPD1/HNRNPD/HNRNPK/HNRNPC/DDX5/SNRPB2/PRPF19/RBM8A/SNRNP27/POLR2F/U2SURP/MAGOH/CCAR1/SNRNP40/UBL5/UPF3B/SRSF2/ALYREF/SNRNP200/SNW1/GTF2F2/DDX46/CDC5L/SNRPN/DHX8/NCBP2/RBM5/EIF4A3/HNRNPA3/CCDC12/RBMX/DHX9/SRSF9/SNRNP70/HNRNPU/CASC3/HNRNPR/PRPF40A/DHX15/BCAS2/NKAP/SF3B4/PRPF38A/CWF19L2/ISY1/ZMAT5/SMU1/SF1/SF3A3/SRSF1/C9orf78/SF3B5/POLR2K/IK/PRPF18/RBM22/POLR2A/CDC40/LSM5/PQBP1/PRPF3/LSM4/CWC15/LSM6/DDX23/DNAJC8/ACIN1/RBM39/NSRP1/TCERG1/DHX38/SLU7/SF3B1/RBM42/POLR2B/RNPC3/HTATSF1/POLR2G/RBM17/SNRPA1/SF3A2/POLR2J/POLR2I/SRSF3/CWC25/HNRNPL/SNRPD3/SRSF4/SNRPC/SF3B3/U2AF2/AQR/PRKRIP1/PPIE/DDX41/RBM7/HNRNPF/CRNKL1/TXNL4A/HNRNPM/MFAP1/ZNF830/DDX42/SNRPD2/USP39/PRPF6/SNRNP35/SF3B2/WBP4/PDCD7/SRSF5/HNRNPA2B1/FAM50A/CWC27/LSM7/PPIL2/POLR2C/BUD31/POLR2H/PRPF31/SRSF7/SRRM1/SNRPF/WBP11/PUF60/GTF2F1/TRA2B/CWC22/SNRPE/U2AF1L4/PLRG1/PPIL4/SNRNP48/PHF5A/LSM2/FAM32A/MAGOHB/SNRPA",180,"EC_GC","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","228/4082","294/11230",0.775510204081633,2.13350798428141,14.8827698982591,2.52343844456773e-48,1.0560589890516e-45,5.56484583302042e-46,"UBB/HNRNPH1/UBC/PCBP2/SRSF6/WTAP/U2AF1/SAP18/NUP155/SRSF10/PTBP1/NUDT21/SF3A1/ZC3H11A/CPSF6/RPS27A/FYTTD1/SRSF8/PCBP1/HSPA8/POLR2L/GLE1/HNRNPA1/PRCC/RBMX2/SEC13/NUP85/POLR2E/WDR70/PPIG/THOC2/NUP35/PNN/EIF4E/RBM10/NUP214/SMNDC1/LSM8/LUC7L3/SNU13/PAPOLA/PPIH/SRSF11/SF3B6/CSTF3/RNPS1/ZCRB1/YBX1/PRPF8/LENG1/RBM25/LSM3/SYF2/FUS/RBBP6/PPWD1/ZMAT2/SNRPG/SRRM2/HNRNPH2/SNRPB/SNRPD1/HNRNPD/HNRNPK/PPP1R10/HNRNPC/DDX5/DDX39A/SNRPB2/PRPF19/RBM8A/PABPN1/SNRNP27/POLR2F/U2SURP/SARNP/MAGOH/CCAR1/WDR33/SNRNP40/UBL5/UPF3B/SRSF2/ALYREF/SNRNP200/SNW1/GTF2F2/DDX46/CDC5L/SNRPN/DHX8/UBA52/NCBP2/RBM5/EIF4A3/HNRNPA3/CCDC12/RBMX/DHX9/SRSF9/SNRNP70/HNRNPU/CASC3/HNRNPR/PRPF40A/DHX15/BCAS2/NKAP/SF3B4/PRPF38A/CHTOP/CWF19L2/ISY1/ZMAT5/SMU1/TPR/SF1/SF3A3/SRSF1/C9orf78/SF3B5/POLR2K/IK/PRPF18/RBM22/POLR2A/CDC40/LSM5/PQBP1/PRPF3/LSM4/CWC15/LSM6/NUP37/NXT1/DDX23/DNAJC8/POLDIP3/ACIN1/NUP54/RBM39/NSRP1/TCERG1/DHX38/SLU7/PPP1CA/SF3B1/RBM42/POLR2B/FIP1L1/RNPC3/HTATSF1/THOC7/POLR2G/RBM17/SNRPA1/SF3A2/POLR2J/NUP98/POLR2I/SRSF3/CWC25/HNRNPL/SNRPD3/SRSF4/SNRPC/SF3B3/U2AF2/METTL14/CPSF7/AQR/PRKRIP1/PPIE/CPSF2/DDX41/RBM7/HNRNPF/CRNKL1/TXNL4A/HNRNPM/MFAP1/RANBP2/ZNF830/DDX42/PPP1CB/SNRPD2/THOC1/USP39/PRPF6/SNRNP35/SF3B2/WBP4/PDCD7/SRSF5/HNRNPA2B1/FAM50A/CWC27/LSM7/PPIL2/XRN2/POM121/SLBP/POLR2C/BUD31/POLR2H/PRPF31/SRSF7/SRRM1/SNRPF/WBP11/PUF60/PCF11/GTF2F1/TRA2B/CWC22/SNRPE/NUP153/U2AF1L4/NUP50/SYMPK/PLRG1/PPIL4/SNRNP48/PHF5A/LSM2/FAM32A/MAGOHB/SNRPA",228,"EC_GC","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","174/4082","205/11230",0.848780487804878,2.33508203773855,14.5784164955736,2.29203753247578e-47,7.6737416587289e-45,4.04363674150464e-45,"HNRNPH1/PCBP2/SRSF6/U2AF1/SAP18/SRSF10/PTBP1/SF3A1/SRSF8/PCBP1/HSPA8/POLR2L/HNRNPA1/PRCC/RBMX2/POLR2E/WDR70/PPIG/PNN/RBM10/SMNDC1/LSM8/LUC7L3/SNU13/PPIH/SRSF11/SF3B6/RNPS1/YBX1/PRPF8/LENG1/RBM25/LSM3/SYF2/FUS/PPWD1/ZMAT2/SNRPG/SRRM2/HNRNPH2/SNRPB/SNRPD1/HNRNPD/HNRNPK/HNRNPC/DDX5/SNRPB2/PRPF19/RBM8A/SNRNP27/POLR2F/U2SURP/MAGOH/CCAR1/SNRNP40/UBL5/UPF3B/SRSF2/ALYREF/SNRNP200/SNW1/GTF2F2/DDX46/CDC5L/SNRPN/DHX8/NCBP2/RBM5/EIF4A3/HNRNPA3/CCDC12/RBMX/DHX9/SRSF9/SNRNP70/HNRNPU/CASC3/HNRNPR/PRPF40A/DHX15/BCAS2/NKAP/SF3B4/PRPF38A/CWF19L2/ISY1/SMU1/SF1/SF3A3/SRSF1/C9orf78/SF3B5/POLR2K/IK/PRPF18/RBM22/POLR2A/CDC40/LSM5/PQBP1/PRPF3/LSM4/CWC15/LSM6/DDX23/DNAJC8/ACIN1/RBM39/NSRP1/TCERG1/DHX38/SLU7/SF3B1/RBM42/POLR2B/HTATSF1/POLR2G/RBM17/SNRPA1/SF3A2/POLR2J/POLR2I/SRSF3/CWC25/HNRNPL/SNRPD3/SRSF4/SNRPC/SF3B3/U2AF2/AQR/PRKRIP1/PPIE/DDX41/RBM7/HNRNPF/CRNKL1/TXNL4A/HNRNPM/MFAP1/ZNF830/DDX42/SNRPD2/USP39/PRPF6/SF3B2/WBP4/SRSF5/HNRNPA2B1/FAM50A/CWC27/LSM7/PPIL2/POLR2C/BUD31/POLR2H/PRPF31/SRSF7/SRRM1/SNRPF/WBP11/PUF60/GTF2F1/TRA2B/CWC22/SNRPE/U2AF1L4/PLRG1/PPIL4/PHF5A/LSM2/FAM32A/MAGOHB/SNRPA",174,"EC_GC","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/4082","113/11230",0.955752212389381,2.62937220605898,13.1546861787346,2.1649403300588e-41,6.04018352086405e-39,3.18284209927943e-39,"RPS4X/RPL23A/RPS3/EIF4H/RPS2/RPL3/RPS13/RPL19/RPL5/RPL6/RPL22/RPS3A/RPS4Y1/RPS27L/RPL27/RPL36AL/RPS27A/EIF3A/RPS7/RPL35A/RPL18A/RPL8/RPS16/EIF3B/RPS18/EIF3L/RPL26/RPL30/RPS17/RPL37A/RPL39/RPL13/RPL15/EIF4E/RPL7A/RPS20/RPL9/RPL23/RPL10/RPL7/EIF4A1/RPL27A/RPL12/RPL29/EIF1AX/RPS9/RPS25/RPL24/EIF3M/RPL22L1/RPS24/EIF4B/RPL13A/RPL37/RPS8/RPL34/RPL11/RPL26L1/RPS23/RPL32/RPS6/EIF3I/EIF3G/FAU/RPL36A/RPS26/RPS19/RPL38/RPS12/UBA52/RPL31/RPS11/EIF4A2/RPL17/EIF3K/RPS15A/RPS5/RPL18/RPL14/EIF3D/EIF5B/RPLP1/RPLP0/RPL41/RPS15/RPS14/EIF3E/RPL10A/RPSA/RPL4/EIF4G1/EIF3H/RPS27/EIF2S1/RPS10/EIF5/RPL28/EIF3F/RPS28/EIF2S3/RPL21/RPS21/RPL35/EIF2S2/RPLP2/EIF3J/RPS29/RPL36",108,"EC_GC","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","139/4082","159/11230",0.874213836477987,2.40505178433312,13.4837979697056,3.67126710598729e-41,8.77957305060389e-39,4.62634862378549e-39,"RPS4X/RPL23A/UBB/UBC/RPS3/RPS2/RPL3/RPS13/DAG1/SEM1/RPL19/RPL5/RPL6/RPL22/RPS3A/RPS4Y1/RPS27L/RPL27/RPL36AL/RPS27A/RPS7/RPL35A/RPL18A/RPL8/RPS16/RPS18/PSMB1/ROBO1/ELOB/RPL26/PSMD11/RPL30/RPS17/RPL37A/RPL39/RPL13/RPL15/RPL7A/RPS20/RPL9/RPL23/RPL10/RPL7/RNPS1/RPL27A/RPL12/RPL29/RPS9/RPS25/RPL24/PSMA4/RPL22L1/RPS24/RPL13A/PSMA1/PSMD1/PSMA7/RPL37/RPS8/RPL34/RPL11/RPL26L1/PSMA2/RPS23/RPL32/RBM8A/RPS6/MAGOH/USP33/PSMC6/PSMD8/PSMD6/FAU/PSMB4/PSMB5/UPF3B/PSMC4/RPL36A/RPS26/RPS19/PSMD14/RPL38/PSMB7/RPS12/UBA52/NCBP2/RPL31/RPS11/EIF4A3/RPL17/RPS15A/RPS5/RPL18/CASC3/PABPC1/PSMC2/RPL14/ELOC/RPLP1/RPLP0/PSMB3/RPL41/RPS15/RPS14/RPL10A/RPSA/RPL4/EIF4G1/RPS27/PSMA3/RPS10/CUL2/PSMD2/RPL28/ADRM1/ZSWIM8/PSMD12/PSMD7/RPS28/PSMC1/RPL21/RPS21/RPL35/GSPT1/PSMD3/RPLP2/PSMC5/PSMC3/PSMB6/UPF2/RBX1/PSMB2/UPF3A/PSMD13/RPS29/RPL36/PSMA5/ETF1/MAGOHB",139,"EC_GC","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/4082","112/11230",0.955357142857143,2.62828532932036,13.0870257105198,5.78878962083376e-41,1.21130422815946e-38,6.38290223981406e-39,"RPS4X/RPL23A/RPS3/EIF4H/RPS2/RPL3/RPS13/RPL19/RPL5/RPL6/RPL22/RPS3A/RPS4Y1/RPS27L/RPL27/RPL36AL/RPS27A/EIF3A/RPS7/RPL35A/RPL18A/RPL8/RPS16/EIF3B/RPS18/EIF3L/RPL26/RPL30/RPS17/RPL37A/RPL39/RPL13/RPL15/EIF4E/RPL7A/RPS20/RPL9/RPL23/RPL10/RPL7/EIF4A1/RPL27A/RPL12/RPL29/EIF1AX/RPS9/RPS25/RPL24/EIF3M/RPL22L1/RPS24/EIF4B/RPL13A/RPL37/RPS8/RPL34/RPL11/RPL26L1/RPS23/RPL32/RPS6/EIF3I/EIF3G/FAU/RPL36A/RPS26/RPS19/RPL38/RPS12/UBA52/RPL31/RPS11/EIF4A2/RPL17/EIF3K/RPS15A/RPS5/RPL18/PABPC1/RPL14/EIF3D/RPLP1/RPLP0/RPL41/RPS15/RPS14/EIF3E/RPL10A/RPSA/RPL4/EIF4G1/EIF3H/RPS27/EIF2S1/RPS10/RPL28/EIF3F/RPS28/EIF2S3/RPL21/RPS21/RPL35/EIF2S2/RPLP2/EIF3J/RPS29/RPL36",107,"EC_GC","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","112/4082","120/11230",0.933333333333333,2.567695574065,13.0469829542056,5.69382346481515e-40,9.53146048010056e-38,5.02255164580536e-38,"RPS4X/RPL23A/RPS3/EIF4H/RPS2/RPL3/RPS13/RPL19/RPL5/RPL6/RPL22/RPS3A/RPS4Y1/RPS27L/RPL27/RPL36AL/RPS27A/EIF3A/RPS7/RPL35A/RPL18A/RPL8/RPS16/EIF3B/RPS18/EIF3L/RPL26/RPL30/RPS17/RPL37A/RPL39/RPL13/RPL15/EIF4E/RPL7A/RPS20/RPL9/RPL23/RPL10/RPL7/EIF4A1/RPL27A/RPL12/RPL29/EIF1AX/RPS9/RPS25/RPL24/EIF3M/RPL22L1/RPS24/EIF2B1/EIF4B/RPL13A/RPL37/RPS8/RPL34/RPL11/RPL26L1/RPS23/RPL32/RPS6/EIF3I/EIF3G/FAU/RPL36A/RPS26/RPS19/RPL38/RPS12/UBA52/RPL31/RPS11/EIF4A2/RPL17/EIF3K/RPS15A/RPS5/RPL18/PABPC1/RPL14/EIF3D/EIF5B/RPLP1/RPLP0/RPL41/RPS15/RPS14/EIF3E/RPL10A/RPSA/RPL4/EIF4G1/EIF3H/RPS27/EIF2S1/RPS10/EIF5/RPL28/EIF3F/RPS28/EIF2S3/RPL21/RPS21/RPL35/EIF2S2/RPLP2/EIF2B4/EIF3J/RPS29/EIF4EBP1/RPL36",112,"EC_GC","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","112/4082","120/11230",0.933333333333333,2.567695574065,13.0469829542056,5.69382346481515e-40,9.53146048010056e-38,5.02255164580536e-38,"RPS4X/RPL23A/RPS3/EIF4H/RPS2/RPL3/RPS13/RPL19/RPL5/RPL6/RPL22/RPS3A/RPS4Y1/RPS27L/RPL27/RPL36AL/RPS27A/EIF3A/RPS7/RPL35A/RPL18A/RPL8/RPS16/EIF3B/RPS18/EIF3L/RPL26/RPL30/RPS17/RPL37A/RPL39/RPL13/RPL15/EIF4E/RPL7A/RPS20/RPL9/RPL23/RPL10/RPL7/EIF4A1/RPL27A/RPL12/RPL29/EIF1AX/RPS9/RPS25/RPL24/EIF3M/RPL22L1/RPS24/EIF2B1/EIF4B/RPL13A/RPL37/RPS8/RPL34/RPL11/RPL26L1/RPS23/RPL32/RPS6/EIF3I/EIF3G/FAU/RPL36A/RPS26/RPS19/RPL38/RPS12/UBA52/RPL31/RPS11/EIF4A2/RPL17/EIF3K/RPS15A/RPS5/RPL18/PABPC1/RPL14/EIF3D/EIF5B/RPLP1/RPLP0/RPL41/RPS15/RPS14/EIF3E/RPL10A/RPSA/RPL4/EIF4G1/EIF3H/RPS27/EIF2S1/RPS10/EIF5/RPL28/EIF3F/RPS28/EIF2S3/RPL21/RPS21/RPL35/EIF2S2/RPLP2/EIF2B4/EIF3J/RPS29/EIF4EBP1/RPL36",112,"EC_GC","HCKD_vs_Normal"
