"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","326/4994","368/11230",0.885869565217391,1.99205350768749,17.3159316863294,1.03731723217606e-72,1.72505855710878e-69,9.11747251438956e-70,"RPS4Y1/RPL27A/RPS9/ELOB/SEM1/RPL8/ELOC/RPL3/RPL13/PSMB1/EEF1B2/RPL14/RPL27/RPS19/EIF3K/UBC/RPS14/RPS4X/RPL29/RPL32/EIF4A1/RPL37A/RPS2/RPL15/RPS3/MT-CYB/RPS18/RPL23A/RPS25/RPL21/RPL18A/RPS7/RPL24/RPL9/PSMA2/RPL5/MRPL51/PSMC5/RPS3A/SEC11A/MRPL57/MT-ND1/RPS13/RPL35/MRPL33/RPL10A/RPL19/RPS16/NDUFAB1/RPL35A/EEF1A1/RPL30/EEF1D/RPL18/PSMA1/RPL23/MRPS14/RPL22/RPS27L/RPL10/TUFM/RPL7A/SEC61G/RPS6/MT-ND2/RPL37/RPS27A/MRPL20/TRAM1/PSMD8/MT-ATP6/SEC61B/SEC11C/MRPL3/RPLP1/PSMA7/RPSA/EIF3F/MRPS27/RPL38/RPLP2/RPL31/RPS10/EIF3A/MTIF3/RPS15/PSMB4/MT-CO2/AURKAIP1/UBA52/RPS8/MRPL54/PSMB6/RPL7/TCF25/RPLP0/EIF5/YARS2/EARS2/GADD45GIP1/RPS11/RPL6/MRPL41/RPL11/RPS27/PSMB7/RPL28/MT-ND4L/MRPS6/RPL26L1/MRPL37/RPS24/UBB/MRPS10/SSR2/RPL34/RPS21/EIF1AX/RPL26/MALSU1/MRPL40/MRPS7/EIF3D/MRPL28/FAU/RPL36AL/RPL36/PSMC3/MRPS26/MRPL52/MRPL22/PSMD1/NEMF/RPS20/MT-ND5/RPS5/EIF3G/MT-ND4/MRPS31/RPL13A/MRPS21/SSR3/PSMC1/RPS17/EIF3J/IARS2/MRPL12/PSMA4/MT-CO1/EIF4EBP1/PSMA3/PSMD13/UFD1/UBE2D2/MRPL46/MRPS15/EIF4A2/MRPL43/EIF3H/RPL4/HARS2/RPS12/RPS29/EIF3I/SSR4/MRPS17/GSPT1/MT-ND3/MRPL21/MRPS28/SRP14/RPL12/EIF2B3/MRPS11/EIF3L/SSR1/APEH/DDOST/UBE2D1/RPL39/DARS2/MRPL17/EIF2S1/MRPL11/PSMB3/ZNF598/RPS15A/MRPL36/EEF2/SPCS2/MRPL19/EIF3B/PSMD3/SPCS3/MRPL10/MRPS22/TARS2/MRPL47/MRPL1/MRPL34/MRPL15/MRPS5/UBE2D3/TSFM/ADRM1/MRPS35/EIF4H/MRPL27/MT-CO3/MRPL42/RPS26/PSMD14/EIF2B1/VCP/MRPL18/SPCS1/EIF4G1/RPN1/PELO/PSMC4/MRPL23/EIF4B/EIF4E/MRPS18B/RPL36A/CHCHD1/EIF2B5/PSMC6/FARS2/MRPL58/SEC61A1/MRPS18C/MRPS25/MRPL39/MRPL53/MRPS12/MRPL55/MRPL2/MRPS18A/PPA1/PSMD7/PABPC1/PSMA5/RPS23/RBX1/MTFMT/RPL39L/RPL41/MRPS2/FARSA/EIF5B/PSMB2/RCHY1/SRP9/RPS28/EIF2S3/KLHDC10/DAP3/MRPS16/PSMB5/SRPRB/EEF1E1/MRPS30/RPL17/CUL2/ABCE1/PPA2/ETF1/ERAL1/MRPS23/WARS2/MTIF2/MRRF/MRPL13/MRPL24/MRPL14/PSMC2/MRPL35/TRMT112/HBS1L/SRP54/SRPRA/SRP68/MRPL44/PSMD6/MRPL32/MRPS9/GSPT2/LTN1/MIEF1/AIMP1/EIF3M/MRPL48/PTCD3/EIF3E/NPLOC4/EIF2B2/GFM2/MTRF1L/MRPL4/SARS2/MRPL16/OXA1L/PSMD2/EIF2S2/AIMP2/CARS2/RPN2/ASCC3/MRPL9/NARS2/MRPL49/SRP72/MRPS33/RARS2/MT-ND6/PSMD12/MRPS34/EIF2B4/MT-ATP8/RPL22L1/PSMD11/GFM1/MRPL50/SRP19/PSMA6",326,"IC_B","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","261/4994","294/11230",0.887755102040816,1.99629351139735,15.4907866641936,1.27525477798715e-58,1.06037434789631e-55,5.60440915589088e-56,"U2AF1/UBC/NUDT21/SNRPB/SRSF9/HSPA8/HNRNPA1/SF3B6/BUD31/DHX15/SRSF5/SRSF8/TCERG1/PPIL1/POLR2B/SNRPN/RPS27A/SRSF2/HNRNPA2B1/SRSF3/CHTOP/PCBP1/HNRNPC/NUP58/POLR2A/UBA52/SNU13/TXNL4A/GLE1/PPP1CB/PCBP2/USP39/NUP153/SRSF7/SAP18/DDX5/LSM6/ZC3H11A/THOC7/SNRNP200/CWC25/PRPF38A/DDX39A/WBP4/UBB/HNRNPH1/U2AF1L4/SRRM1/SF1/WTAP/THOC6/SF3A3/PNN/ACIN1/HTATSF1/SRSF6/SEC13/SMU1/SNRNP48/SYF2/XRN2/SNRPE/HNRNPU/YBX1/POLR2C/HNRNPF/POLR2G/PRPF8/HNRNPK/SF3B4/SMNDC1/SLU7/NDC1/RANBP2/TRA2B/AAAS/FYTTD1/SNRPC/SNRPF/CTNNBL1/BCAS2/LSM5/WDR33/DNAJC8/SF3B5/RBM25/BUD13/POLR2H/LSM8/CCDC12/CHERP/ZMAT5/METTL14/HNRNPA3/DHX9/NUP37/SNRNP35/RBM8A/PLRG1/SNRPA1/EIF4A3/CWC22/HNRNPR/SDE2/CPSF2/CWF19L2/RBM5/FAM50A/SNRPD3/AQR/PRPF6/RBM42/U2SURP/SNRNP70/RBM7/PPP1R10/RNF113A/DDX46/POLR2J/SF3B2/NUP107/PRPF40A/PPIG/PRPF3/SNRPB2/DHX8/MAGOH/SYMPK/LSM3/PHF5A/SNRPG/DDX23/POLR2K/HNRNPH2/PUF60/LSM4/THOC2/RNPS1/MFAP1/FUS/GCFC2/EIF4E/CASC3/SNW1/TPR/NUP50/HNRNPM/SRRT/C9orf78/SF3B3/PPIE/PPIH/RBMX2/NUP62/NUP98/CDC5L/DDX39B/SNRNP27/GTF2F2/FAM32A/XAB2/PABPN1/SRRM2/NCBP1/SRSF10/LSM7/PPIL2/DDX42/PTBP1/POLDIP3/PRPF31/MTREX/PCF11/NUP88/LSM2/RBM39/UBL5/LUC7L3/RBBP6/NSRP1/ZCRB1/SNRPA/IK/CPSF6/CSTF3/SRSF11/NUP214/CRNKL1/POLR2E/SNRNP40/THOC1/CSTF2T/NXF1/RBM17/SLBP/CPSF7/RBMX/NUP155/NUP54/PPP1R8/SRSF4/WBP11/UPF3B/SF3A2/RBM10/RBM22/SF3A1/SNRPD1/ISY1/ALYREF/PQBP1/POM121/PRPF18/POLR2F/SNRNP25/PAPOLA/MAGOHB/PPWD1/PPIL4/HNRNPD/POLR2L/PRKRIP1/HNRNPL/NUP35/SNRPD2/GTF2F1/CDC40/NKAP/SRSF1/SART1/SEH1L/PRCC/ZNF830/PPP1CA/NUP205/POLR2I/POLR2D/PDCD7/NCBP2/U2AF2/RNPC3/NUP160/NXT1/CWC27/RAE1/CPSF4/DDX41/SARNP/SF3B1/METTL3/ZMAT2/CPSF1/CWC15/PRPF4/CCAR1/LENG1/NUP133/PPIL3/FIP1L1/CSTF1/SNIP1",261,"IC_B","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","196/4994","213/11230",0.92018779342723,2.06922485386219,14.098370806962,4.36604513085642e-50,2.42024435087141e-47,1.27917462605793e-47,"U2AF1/SNRPB/SRSF9/HSPA8/HNRNPA1/SF3B6/BUD31/DHX15/SRSF5/SRSF8/TCERG1/PPIL1/POLR2B/SNRPN/SRSF2/HNRNPA2B1/SRSF3/PCBP1/HNRNPC/POLR2A/SNU13/TXNL4A/PCBP2/USP39/SRSF7/SAP18/DDX5/LSM6/SNRNP200/CWC25/PRPF38A/WBP4/HNRNPH1/U2AF1L4/SRRM1/SF1/SF3A3/PNN/ACIN1/HTATSF1/SRSF6/SMU1/SNRNP48/SYF2/SNRPE/HNRNPU/YBX1/POLR2C/HNRNPF/POLR2G/PRPF8/HNRNPK/SF3B4/SMNDC1/SLU7/TRA2B/SNRPC/SNRPF/CTNNBL1/BCAS2/LSM5/DNAJC8/SF3B5/RBM25/BUD13/POLR2H/LSM8/CCDC12/CHERP/ZMAT5/HNRNPA3/DHX9/SNRNP35/RBM8A/PLRG1/SNRPA1/EIF4A3/CWC22/HNRNPR/SDE2/CWF19L2/RBM5/FAM50A/SNRPD3/AQR/PRPF6/RBM42/U2SURP/SNRNP70/RBM7/RNF113A/DDX46/POLR2J/SF3B2/PRPF40A/PPIG/PRPF3/SNRPB2/DHX8/MAGOH/LSM3/PHF5A/SNRPG/DDX23/POLR2K/HNRNPH2/PUF60/LSM4/RNPS1/MFAP1/FUS/GCFC2/CASC3/SNW1/HNRNPM/SRRT/C9orf78/SF3B3/PPIE/PPIH/RBMX2/CDC5L/DDX39B/SNRNP27/GTF2F2/FAM32A/XAB2/SRRM2/NCBP1/SRSF10/LSM7/PPIL2/DDX42/PTBP1/PRPF31/MTREX/LSM2/RBM39/UBL5/LUC7L3/NSRP1/ZCRB1/SNRPA/IK/SRSF11/CRNKL1/POLR2E/SNRNP40/RBM17/RBMX/PPP1R8/SRSF4/WBP11/UPF3B/SF3A2/RBM10/RBM22/SF3A1/SNRPD1/ISY1/ALYREF/PQBP1/PRPF18/POLR2F/SNRNP25/MAGOHB/PPWD1/PPIL4/HNRNPD/POLR2L/PRKRIP1/HNRNPL/SNRPD2/GTF2F1/CDC40/NKAP/SRSF1/SART1/PRCC/ZNF830/POLR2I/POLR2D/PDCD7/NCBP2/U2AF2/RNPC3/CWC27/DDX41/SF3B1/ZMAT2/CWC15/PRPF4/CCAR1/LENG1/PPIL3/SNIP1",196,"IC_B","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","189/4994","205/11230",0.921951219512195,2.0731902673452,13.8773363180405,1.1843545942185e-48,4.92395422546341e-46,2.60246338466433e-46,"U2AF1/SNRPB/SRSF9/HSPA8/HNRNPA1/SF3B6/BUD31/DHX15/SRSF5/SRSF8/TCERG1/PPIL1/POLR2B/SNRPN/SRSF2/HNRNPA2B1/SRSF3/PCBP1/HNRNPC/POLR2A/SNU13/TXNL4A/PCBP2/USP39/SRSF7/SAP18/DDX5/LSM6/SNRNP200/CWC25/PRPF38A/WBP4/HNRNPH1/U2AF1L4/SRRM1/SF1/SF3A3/PNN/ACIN1/HTATSF1/SRSF6/SMU1/SYF2/SNRPE/HNRNPU/YBX1/POLR2C/HNRNPF/POLR2G/PRPF8/HNRNPK/SF3B4/SMNDC1/SLU7/TRA2B/SNRPC/SNRPF/CTNNBL1/BCAS2/LSM5/DNAJC8/SF3B5/RBM25/BUD13/POLR2H/LSM8/CCDC12/CHERP/HNRNPA3/DHX9/RBM8A/PLRG1/SNRPA1/EIF4A3/CWC22/HNRNPR/SDE2/CWF19L2/RBM5/FAM50A/SNRPD3/AQR/PRPF6/RBM42/U2SURP/SNRNP70/RBM7/RNF113A/DDX46/POLR2J/SF3B2/PRPF40A/PPIG/PRPF3/SNRPB2/DHX8/MAGOH/LSM3/PHF5A/SNRPG/DDX23/POLR2K/HNRNPH2/PUF60/LSM4/RNPS1/MFAP1/FUS/GCFC2/CASC3/SNW1/HNRNPM/SRRT/C9orf78/SF3B3/PPIE/PPIH/RBMX2/CDC5L/DDX39B/SNRNP27/GTF2F2/FAM32A/XAB2/SRRM2/NCBP1/SRSF10/LSM7/PPIL2/DDX42/PTBP1/PRPF31/MTREX/LSM2/RBM39/UBL5/LUC7L3/NSRP1/SNRPA/IK/SRSF11/CRNKL1/POLR2E/SNRNP40/RBM17/RBMX/PPP1R8/SRSF4/WBP11/UPF3B/SF3A2/RBM10/RBM22/SF3A1/SNRPD1/ISY1/ALYREF/PQBP1/PRPF18/POLR2F/MAGOHB/PPWD1/PPIL4/HNRNPD/POLR2L/PRKRIP1/HNRNPL/SNRPD2/GTF2F1/CDC40/NKAP/SRSF1/SART1/PRCC/ZNF830/POLR2I/POLR2D/NCBP2/U2AF2/CWC27/DDX41/SF3B1/ZMAT2/CWC15/PRPF4/CCAR1/LENG1/PPIL3/SNIP1",189,"IC_B","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","139/4994","145/11230",0.958620689655172,2.15564884758262,12.5338299904431,1.55348527904359e-41,5.16689203809899e-39,2.73086359579242e-39,"RPS4Y1/RPL27A/RPS9/ELOB/SEM1/RPL8/ELOC/RPL3/RPL13/PSMB1/RPL14/RPL27/RPS19/UBC/RPS14/RPS4X/RPL29/RPL32/RPL37A/RPS2/RPL15/RPS3/RPS18/RPL23A/RPS25/RPL21/RPL18A/RPS7/RPL24/RPL9/PSMA2/RPL5/PSMC5/RPS3A/RPS13/RPL35/RPL10A/RPL19/RPS16/RPL35A/RPL30/RPL18/PSMA1/RPL23/RPL22/RPS27L/RPL10/RPL7A/RPS6/RPL37/RPS27A/PSMD8/RPLP1/PSMA7/RPSA/RPL38/RPLP2/RPL31/RPS10/RPS15/PSMB4/UBA52/RPS8/PSMB6/RPL7/TCF25/RPLP0/RPS11/RPL6/RPL11/RPS27/PSMB7/RPL28/RPL26L1/RPS24/UBB/RPL34/RPS21/RPL26/FAU/RPL36AL/RPL36/PSMC3/PSMD1/NEMF/RPS20/RPS5/RPL13A/PSMC1/RPS17/PSMA4/PSMA3/PSMD13/UFD1/UBE2D2/RPL4/RPS12/RPS29/RPL12/UBE2D1/RPL39/PSMB3/ZNF598/RPS15A/PSMD3/UBE2D3/ADRM1/RPS26/PSMD14/VCP/PELO/PSMC4/RPL36A/PSMC6/PSMD7/PSMA5/RPS23/RBX1/RPL39L/RPL41/PSMB2/RCHY1/RPS28/KLHDC10/PSMB5/RPL17/CUL2/ABCE1/PSMC2/HBS1L/PSMD6/LTN1/NPLOC4/PSMD2/ASCC3/PSMD12/RPL22L1/PSMD11/PSMA6",139,"IC_B","HCKD_vs_Normal"
"R-HSA-168255","Influenza Infection","147/4994","157/11230",0.936305732484076,2.10546923824513,12.4826155494993,3.44400767075859e-40,9.54564126078588e-38,5.0451691317253e-38,"RPS4Y1/RPL27A/RPS9/RPL8/RPL3/RPL13/RPL14/RPL27/RPS19/RPS14/RPS4X/RPL29/RPL32/CLTA/XPO1/RPL37A/RPS2/RPL15/RPS3/RPS18/RPL23A/RPS25/RPL21/RPL18A/RPS7/RPL24/RPL9/RPL5/RPS3A/GBP1/RPS13/RPL35/RPL10A/RPL19/RAN/RPS16/RPL35A/RPL30/RPL18/RPL23/RPL22/RPS27L/RPL10/RPL7A/RPS6/POLR2B/RPL37/RPS27A/RPLP1/RPSA/RPL38/RPLP2/RPL31/RPS10/RPS15/NUP58/POLR2A/UBA52/RPS8/RPL7/RPLP0/RPS11/NUP153/RPL6/RPL11/RPS27/HSP90AA1/RPL28/CLTC/RPL26L1/RPS24/HSPA1A/RPL34/RPS21/KPNA4/RPL26/FAU/RPL36AL/RPL36/CALR/RPS20/RPS5/RPL13A/EIF2AK2/SEC13/RPS17/CANX/POLR2C/POLR2G/GRSF1/RPL4/RPS12/RPS29/NDC1/RANBP2/AAAS/KPNA3/RPL12/POLR2H/RPL39/NUP37/RPS15A/POLR2J/NUP107/RPS26/ISG15/KPNB1/POLR2K/PARP1/HSPA1B/TPR/RPL36A/NUP50/KPNA2/NUP62/NUP98/GTF2F2/PABPN1/RPS23/RPL39L/RPL41/NUP88/RPS28/KPNA1/RPL17/NUP214/POLR2E/NUP155/NUP54/KPNA5/POM121/POLR2F/POLR2L/NUP35/GTF2F1/IPO5/SEH1L/TGFB1/NUP205/POLR2I/POLR2D/NUP160/RAE1/CPSF4/RPL22L1/DNAJC3/NUP133",147,"IC_B","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","216/4994","258/11230",0.837209302325581,1.88263125052388,12.8347676282672,1.29461007828793e-39,3.07562365741833e-37,1.62556303063222e-37,"ATP5MC3/ATP5F1A/ATP5F1D/ATP5PO/ATP5MG/ATP5F1B/UQCR11/NDUFB8/ATP5MC2/NDUFB9/ATP5PD/ATP5F1E/ATP5MC1/ATP5MF/ATP5ME/ATP5PF/GOT2/UBC/ATP5PB/MT-CYB/MDH2/UQCC3/ATP5F1C/COX4I1/WDR26/ACAT1/NDUFC2/MT-ND1/NDUFAB1/NDUFA7/UQCRC2/ETFB/NDUFS4/MT-ND2/NDUFAF1/RPS27A/SUCLG1/MT-ATP6/COX5A/COX17/COX5B/SDHD/PDK4/PDK1/NDUFB5/MT-CO2/DMAC1/COX20/COX6A1/UBA52/PNKD/NDUFS6/NDUFA1/ISCA1/GOT1/VDAC1/COX7A2L/PDPR/PDHA1/PDHB/NDUFAF8/UBB/NDUFAF4/COQ10A/PDP2/COA5/FH/NDUFB6/LDHB/CMC1/COX8A/COA1/NDUFA8/SDHA/CYC1/MDH1/SDHAF3/UQCC2/NDUFB2/MT-ND5/HCCS/MT-ND4/NDUFV3/NDUFB7/NDUFV2/ISCU/NDUFA12/NDUFS1/NDUFA10/UQCR10/ETFA/NDUFA11/UQCRB/HIGD2A/MT-CO1/TMEM223/UQCRFS1/UCP2/NDUFB11/PDP1/COX6C/COX7A2/SLC25A11/COX6B1/SUCLG2/MT-ND3/TIMMDC1/MPC2/NDUFA9/COX7C/OGDH/MKLN1/PKM/SLC25A27/UQCC1/ME2/NFS1/CS/NDUFS3/MPC1/NDUFA3/HIGD1A/SDHC/BCS1L/GLO1/SDHB/PYURF/NDUFS5/COX11/NDUFB10/NDUFV1/COQ10B/CSKMT/SFXN4/SURF1/IDH2/MT-CO3/LDHA/LYRM7/IDH3B/SUCLA2/COX19/TMEM177/UQCRH/SDHAF1/HSPA9/COX7B/NDUFB4/GSTZ1/NDUFA13/NDUFS7/ISCA2/IDH3A/NDUFS8/NDUFA6/RMND5A/ACO2/D2HGDH/SLC25A13/NDUFAF6/UQCRC1/TACO1/NDUFB3/TMEM186/NDUFA2/L2HGDH/PDK2/COA3/PGAM5/NNT/UQCRQ/NDUFS2/IDH3G/NDUFC1/PET100/LYRM2/SCO1/LYRM4/SMIM20/HAGH/HSCB/DLST/RAB5IF/FOXRED1/RMND5B/NDUFAF5/COX16/ARMC8/SLC25A12/COX7A1/COX15/NDUFA5/TMEM126A/PET117/NEK1/NDUFAF3/FXN/COX14/DLD/PDHX/OXA1L/ACAD9/NDUFB1/LETM1/TTC19/GID8/MAEA/NDUFAF2/SDHAF2/FAHD1/TMEM126B/MT-ND6/TRAP1/MT-ATP8/DLAT/RANBP9",216,"IC_B","HCKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","141/4994","152/11230",0.927631578947368,2.08596368273507,12.0628012371877,2.55909345607823e-37,5.31971552182262e-35,2.81163557345437e-35,"U2AF1/UBC/NUDT21/SNRPB/SRSF9/HNRNPA1/SF3B6/DHX15/SRSF5/SRSF8/TCERG1/POLR2B/SNRPN/RPS27A/SRSF2/HNRNPA2B1/SRSF3/CHTOP/PCBP1/HNRNPC/POLR2A/UBA52/PPP1CB/PCBP2/SRSF7/DDX5/ZC3H11A/THOC7/DDX39A/UBB/HNRNPH1/U2AF1L4/SRRM1/THOC6/SF3A3/HTATSF1/SRSF6/XRN2/SNRPE/HNRNPU/YBX1/POLR2C/HNRNPF/POLR2G/HNRNPK/SF3B4/SMNDC1/SLU7/TRA2B/FYTTD1/SNRPC/SNRPF/WDR33/DNAJC8/SF3B5/RBM25/POLR2H/CHERP/HNRNPA3/DHX9/RBM8A/SNRPA1/EIF4A3/HNRNPR/CPSF2/RBM5/SNRPD3/U2SURP/SNRNP70/PPP1R10/DDX46/POLR2J/SF3B2/PRPF40A/SNRPB2/MAGOH/SYMPK/PHF5A/SNRPG/POLR2K/HNRNPH2/PUF60/THOC2/RNPS1/FUS/CASC3/HNRNPM/SRRT/SF3B3/DDX39B/GTF2F2/PABPN1/SRRM2/NCBP1/SRSF10/DDX42/PTBP1/POLDIP3/PCF11/RBM39/RBBP6/SNRPA/CPSF6/CSTF3/SRSF11/POLR2E/THOC1/CSTF2T/RBM17/CPSF7/RBMX/PPP1R8/SRSF4/UPF3B/SF3A2/RBM10/SF3A1/SNRPD1/ALYREF/POLR2F/PAPOLA/MAGOHB/HNRNPD/POLR2L/HNRNPL/SNRPD2/GTF2F1/CDC40/SRSF1/PPP1CA/POLR2I/POLR2D/NCBP2/U2AF2/CPSF4/SARNP/SF3B1/CPSF1/CCAR1/FIP1L1/CSTF1",141,"IC_B","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","116/4994","120/11230",0.966666666666667,2.17374182352156,11.5677243225211,5.92222522988489e-36,9.84866055729857e-34,5.20532428100409e-34,"RPS4Y1/RPL27A/RPS9/RPL8/RPL3/RPL13/RPL14/RPL27/RPS19/EIF3K/RPS14/RPS4X/RPL29/RPL32/EIF4A1/RPL37A/RPS2/RPL15/RPS3/RPS18/RPL23A/RPS25/RPL21/RPL18A/RPS7/RPL24/RPL9/RPL5/RPS3A/RPS13/RPL35/RPL10A/RPL19/RPS16/RPL35A/RPL30/RPL18/RPL23/RPL22/RPS27L/RPL10/RPL7A/RPS6/RPL37/RPS27A/RPLP1/RPSA/EIF3F/RPL38/RPLP2/RPL31/RPS10/EIF3A/RPS15/UBA52/RPS8/RPL7/RPLP0/EIF5/RPS11/RPL6/RPL11/RPS27/RPL28/RPL26L1/RPS24/RPL34/RPS21/EIF1AX/RPL26/EIF3D/FAU/RPL36AL/RPL36/RPS20/RPS5/EIF3G/RPL13A/RPS17/EIF3J/EIF4EBP1/EIF4A2/EIF3H/RPL4/RPS12/RPS29/EIF3I/RPL12/EIF2B3/EIF3L/RPL39/EIF2S1/RPS15A/EIF3B/EIF4H/RPS26/EIF2B1/EIF4G1/EIF4B/EIF4E/RPL36A/EIF2B5/PABPC1/RPS23/RPL39L/RPL41/EIF5B/RPS28/EIF2S3/RPL17/EIF3M/EIF3E/EIF2B2/EIF2S2/EIF2B4/RPL22L1",116,"IC_B","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","116/4994","120/11230",0.966666666666667,2.17374182352156,11.5677243225211,5.92222522988489e-36,9.84866055729857e-34,5.20532428100409e-34,"RPS4Y1/RPL27A/RPS9/RPL8/RPL3/RPL13/RPL14/RPL27/RPS19/EIF3K/RPS14/RPS4X/RPL29/RPL32/EIF4A1/RPL37A/RPS2/RPL15/RPS3/RPS18/RPL23A/RPS25/RPL21/RPL18A/RPS7/RPL24/RPL9/RPL5/RPS3A/RPS13/RPL35/RPL10A/RPL19/RPS16/RPL35A/RPL30/RPL18/RPL23/RPL22/RPS27L/RPL10/RPL7A/RPS6/RPL37/RPS27A/RPLP1/RPSA/EIF3F/RPL38/RPLP2/RPL31/RPS10/EIF3A/RPS15/UBA52/RPS8/RPL7/RPLP0/EIF5/RPS11/RPL6/RPL11/RPS27/RPL28/RPL26L1/RPS24/RPL34/RPS21/EIF1AX/RPL26/EIF3D/FAU/RPL36AL/RPL36/RPS20/RPS5/EIF3G/RPL13A/RPS17/EIF3J/EIF4EBP1/EIF4A2/EIF3H/RPL4/RPS12/RPS29/EIF3I/RPL12/EIF2B3/EIF3L/RPL39/EIF2S1/RPS15A/EIF3B/EIF4H/RPS26/EIF2B1/EIF4G1/EIF4B/EIF4E/RPL36A/EIF2B5/PABPC1/RPS23/RPL39L/RPL41/EIF5B/RPS28/EIF2S3/RPL17/EIF3M/EIF3E/EIF2B2/EIF2S2/EIF2B4/RPL22L1",116,"IC_B","HCKD_vs_Normal"
