"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","288/2625","368/11230",0.782608695652174,3.34807453416149,25.2953472688859,5.55054081231007e-114,9.01962882000387e-111,6.05885349722689e-111,"MT-ND1/MT-CYB/RPS26/RPL39/RPS4Y1/MT-ND4L/RPS4X/SEC61G/MT-ND4/RPL6/RPL28/MTIF3/RPLP2/MT-ND2/UBA52/RPS21/MT-CO3/MT-ND5/RPL36/SRP9/EEF1A1/PSMA3/NDUFAB1/MT-ATP6/RPL7/MRPL18/EIF5/MT-CO2/RPL9/RPL22/MRPL34/MRPL28/SPCS1/MT-ND3/RPS15A/RPS3A/RPS28/EIF2B2/RPS13/RPS27A/RPL10A/MRPL40/MRPL58/SPCS2/MRPL43/RPL8/MRPL17/RPL3/MRPS30/PSMA2/MRPL27/PPA1/PSMB3/MT-CO1/PSMB4/RPL35/RPS19/RPL13A/EEF1B2/CHCHD1/RPS12/EIF5B/MRPL23/RPL5/MRPS5/MRPL52/MRPL50/MRPL13/RPL15/MT-ATP8/MRPL21/MRPL55/RPL7A/UFD1/PSMC5/MRPL12/MRPL22/RPS7/ADRM1/MRPS18A/TRAM1/RCHY1/RPS23/MRPS28/MRPL3/PSMD13/EIF3B/RPL10/RPL23/MALSU1/PPA2/RPL36AL/RPL22L1/SRP54/RPL18A/UBC/RPS6/PSMD3/MRPL19/RPL30/RPS2/MRPL39/MRPS31/PSMB5/EIF3A/SSR3/ELOB/RPS18/EIF3D/PABPC1/MRPL32/EIF1AX/RPL23A/SRP72/PSMC1/EIF3F/SEC11A/GFM1/PSMB2/MRPS10/MRPL10/MRPL37/RPS27/EIF3E/MRPL47/RPS5/MRPL2/RPS3/PSMA4/MRPS34/SEC61A1/EIF3I/TCF25/PSMC2/MRPL46/RPL38/MRPS35/MRPS18C/TSFM/EIF3J/PSMC4/MRPS26/MRPS16/PSMA7/EIF2S2/MRPS21/ELOC/MRPL33/EIF4H/EIF2S3/MRPL42/MRPL49/EIF3L/MRPL51/EIF4EBP1/VCP/RPL32/MRPS7/EIF3H/RPS14/RPL36A/RPL37A/PSMA1/RPL35A/RBX1/MT-ND6/RPL4/UBE2D3/PSMB1/UBE2D2/PSMD2/MRPL44/PSMD12/MRPS9/PSMA5/EEF2/RPL21/RPL31/MRPS2/MRPS15/FAU/RPS16/RPL37/CARS2/RPS10/GADD45GIP1/SPCS3/MRPL41/PSMD14/SEC61B/RPL26L1/RPS8/EIF4A2/EIF4A1/MRPS14/RPL14/MRPL24/RPLP0/EIF3K/SEC11C/RPN1/RPLP1/RPN2/PSMB7/MRPS22/UBB/RPL29/PSMD8/RPL24/RPS24/RPS27L/SEM1/PSMD6/MRPL15/APEH/MRPS6/MRPS18B/EIF4G1/PSMC3/MRPL11/RPL18/TRIP4/FARSA/EIF4E/RPL19/RPS29/PSMB6/AURKAIP1/EIF4B/MRPL48/OXA1L/MRPL57/EEF1E1/PSMC6/RPS11/MRPL4/MRPL35/TRMT112/RPL41/MRPL1/RPL27A/EIF3M/MRPL14/RPL26/MRPL16/RPS20/RPS17/MIEF1/PTCD3/RPS15/DDOST/MRPL36/MRPL9/MRPS12/MRPL20/RPL34/RPSA/RPL27/SSR1/MRPS33/PSMD1/ETF1/AIMP1/RPL12/MRPS11/DAP3/NPLOC4/EIF2S1/EIF3G/KLHDC10/SRP19/TUFM/RPS9/SSR4/MRPS23/MRPS25/GSPT1/SRP14/RPS25/RPL11/SSR2/EEF1D/MRPL54/IARS2/RPL13/PSMD7/RPL17/PSMD11",288,"PT","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","129/2625","145/11230",0.889655172413793,3.80602955665025,18.7831380786588,4.29908753020776e-64,3.4930086182938e-61,2.34639672043445e-61,"RPS26/RPL39/RPS4Y1/RPS4X/RPL6/RPL28/RPLP2/UBA52/RPS21/RPL36/PSMA3/RPL7/RPL9/RPL22/RPS15A/RPS3A/RPS28/RPS13/RPS27A/RPL10A/RPL8/RPL3/PSMA2/PSMB3/PSMB4/RPL35/RPS19/RPL13A/RPS12/RPL5/RPL15/RPL7A/UFD1/PSMC5/RPS7/ADRM1/RCHY1/RPS23/PSMD13/RPL10/RPL23/RPL36AL/RPL22L1/RPL18A/UBC/RPS6/PSMD3/RPL30/RPS2/PSMB5/ELOB/RPS18/RPL23A/PSMC1/PSMB2/RPS27/RPS5/RPS3/PSMA4/TCF25/PSMC2/RPL38/PSMC4/PSMA7/ELOC/VCP/RPL32/RPS14/RPL36A/RPL37A/PSMA1/RPL35A/RBX1/RPL4/UBE2D3/PSMB1/UBE2D2/PSMD2/PSMD12/PSMA5/RPL21/RPL31/FAU/RPS16/RPL37/RPS10/PSMD14/RPL26L1/RPS8/RPL14/RPLP0/RPLP1/PSMB7/UBB/RPL29/PSMD8/RPL24/RPS24/RPS27L/SEM1/PSMD6/PSMC3/RPL18/TRIP4/RPL19/RPS29/PSMB6/PSMC6/RPS11/RPL41/RPL27A/RPL26/RPS20/RPS17/RPS15/RPL34/RPSA/RPL27/PSMD1/RPL12/NPLOC4/KLHDC10/RPS9/RPS25/RPL11/RPL13/PSMD7/RPL17/PSMD11",129,"PT","HCKD_vs_Normal"
"R-HSA-71291","Metabolism of amino acids and derivatives","230/2625","358/11230",0.642458100558659,2.74849694067571,18.5699795587362,4.94744492498224e-63,2.67986600103205e-60,1.80017557445845e-60,"GLS/GRHPR/RPS26/RPL39/BHMT2/RPS4Y1/RPS4X/GATM/PSAT1/RPL6/RPL28/RPLP2/UBA52/HPD/RPS21/BHMT/RPL36/DDC/ALDH4A1/PSMA3/RPL7/SHMT1/AGMAT/DIO1/RPL9/RPL22/HGD/SDSL/ACMSD/RPS15A/RPS3A/RPS28/RPS13/ADI1/MCCC2/RPS27A/RPL10A/AGXT/CRYM/RPL8/OGDH/AHCY/RPL3/PSMA2/PSMB3/RIDA/PSMB4/PXMP2/HIBCH/RPL35/RPS19/RPL13A/BBOX1/SLC3A2/RPS12/RPL5/RPL15/RPL7A/PIPOX/PSMC5/RPS7/ADRM1/GAMT/TXNRD1/ALDH6A1/AGXT2/RPS23/ASL/ODC1/HSD17B10/PSMD13/SARDH/DAO/AUH/RPL10/RPL23/FTCD/RPL36AL/RPL22L1/RPL18A/GSR/RPS6/PSMD3/RPL30/RPS2/GCSH/PSMB5/OAZ1/RPS18/PCBD1/RPL23A/GLUD1/PSMC1/PSMB2/RPS27/ECHS1/RPS5/RPS3/PSMA4/PSMC2/ACAT1/RPL38/OAT/SERINC2/PSMC4/HAAO/PHGDH/DBT/PSMA7/SERINC1/DLST/RPL32/RPS14/ASRGL1/ASS1/HNMT/RPL36A/RPL37A/PSMA1/RPL35A/RPL4/PSMB1/PSMD2/PSMD12/KMO/CKB/PSMA5/RPL21/GPT/TST/SRM/RPL31/CTH/IVD/GOT1/ACADSB/FAU/BCKDK/RPS16/RPL37/IYD/HIBADH/RPS10/ETHE1/DLD/PSMD14/GSTZ1/RPL26L1/RPS8/PRODH2/RPL14/RPLP0/OAZ2/RPLP1/PSMB7/AMD1/SUOX/QDPR/RPL29/ASPA/PSMD8/RPL24/RPS24/RPS27L/ENOPH1/SEM1/HOGA1/PSMD6/PPM1K/GPT2/PSMC3/MCCC1/RPL18/GOT2/AMDHD1/SLC25A10/RPL19/RPS29/PSMB6/ALDH9A1/FMO1/DHTKD1/DMGDH/EEF1E1/PSMC6/RPS11/SECISBP2/RPL41/RPL27A/TSTD1/RPL26/RPS20/RPS17/FAH/SEPHS2/RPS15/GLDC/AZIN1/PAH/RPL34/RPSA/CHDH/SLC25A13/RPL27/PSMD1/ACAD8/SMS/AIMP1/NMRAL1/FOLH1/RPL12/BCKDHB/SLC6A8/ALDH7A1/RPS9/MPST/RPS25/RPL11/KYNU/TXN2/AFMID/GCDH/NQO1/RPL13/ARG2/SAT1/GLUL/PSMD7/RPL17/PSMD11",230,"PT","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/2625","113/11230",0.955752212389381,4.088798988622,18.2261450736252,4.73900525165979e-62,1.92522088348679e-59,1.29324959104505e-59,"RPS26/RPL39/RPS4Y1/RPS4X/RPL6/RPL28/RPLP2/UBA52/RPS21/RPL36/RPL7/EIF5/RPL9/RPL22/RPS15A/RPS3A/RPS28/RPS13/RPS27A/RPL10A/RPL8/RPL3/RPL35/RPS19/RPL13A/RPS12/EIF5B/RPL5/RPL15/RPL7A/RPS7/RPS23/EIF3B/RPL10/RPL23/RPL36AL/RPL22L1/RPL18A/RPS6/RPL30/RPS2/EIF3A/RPS18/EIF3D/EIF1AX/RPL23A/EIF3F/RPS27/EIF3E/RPS5/RPS3/EIF3I/RPL38/EIF3J/EIF2S2/EIF4H/EIF2S3/EIF3L/RPL32/EIF3H/RPS14/RPL36A/RPL37A/RPL35A/RPL4/RPL21/RPL31/FAU/RPS16/RPL37/RPS10/RPL26L1/RPS8/EIF4A2/EIF4A1/RPL14/RPLP0/EIF3K/RPLP1/RPL29/RPL24/RPS24/RPS27L/EIF4G1/RPL18/EIF4E/RPL19/RPS29/EIF4B/RPS11/RPL41/RPL27A/EIF3M/RPL26/RPS20/RPS17/RPS15/RPL34/RPSA/RPL27/RPL12/EIF2S1/EIF3G/RPS9/RPS25/RPL11/RPL13/RPL17",108,"PT","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/2625","112/11230",0.955357142857143,4.08710884353742,18.1345747430123,2.00013911571658e-61,6.50045212607888e-59,4.36661950104861e-59,"RPS26/RPL39/RPS4Y1/RPS4X/RPL6/RPL28/RPLP2/UBA52/RPS21/RPL36/RPL7/RPL9/RPL22/RPS15A/RPS3A/RPS28/RPS13/RPS27A/RPL10A/RPL8/RPL3/RPL35/RPS19/RPL13A/RPS12/RPL5/RPL15/RPL7A/RPS7/RPS23/EIF3B/RPL10/RPL23/RPL36AL/RPL22L1/RPL18A/RPS6/RPL30/RPS2/EIF3A/RPS18/EIF3D/PABPC1/EIF1AX/RPL23A/EIF3F/RPS27/EIF3E/RPS5/RPS3/EIF3I/RPL38/EIF3J/EIF2S2/EIF4H/EIF2S3/EIF3L/RPL32/EIF3H/RPS14/RPL36A/RPL37A/RPL35A/RPL4/RPL21/RPL31/FAU/RPS16/RPL37/RPS10/RPL26L1/RPS8/EIF4A2/EIF4A1/RPL14/RPLP0/EIF3K/RPLP1/RPL29/RPL24/RPS24/RPS27L/EIF4G1/RPL18/EIF4E/RPL19/RPS29/EIF4B/RPS11/RPL41/RPL27A/EIF3M/RPL26/RPS20/RPS17/RPS15/RPL34/RPSA/RPL27/RPL12/EIF2S1/EIF3G/RPS9/RPS25/RPL11/RPL13/RPL17",107,"PT","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","183/2625","258/11230",0.709302325581395,3.03446290143965,18.2589788618612,2.95216663254151e-60,7.99545129646659e-58,5.37087157534307e-58,"MT-ND1/PDK4/MT-CYB/SUCLG1/MPC1/HAGH/MT-ND4/ATP5F1E/ATP5ME/PNKD/MT-ND2/UBA52/MT-CO3/MT-ND5/TRAP1/NDUFB1/UQCR10/NDUFAB1/MT-ATP6/UQCR11/SLC25A11/MT-CO2/COX14/NDUFC2/COX7A1/SDHD/MT-ND3/NDUFS4/PKM/NDUFB2/ACO2/SURF1/RPS27A/MPC2/COA3/OGDH/NDUFA1/NDUFS7/NDUFA6/D2HGDH/FH/MT-CO1/NDUFS8/NDUFC1/ISCU/ATP5MF/PET100/UQCRQ/NDUFA3/MT-ATP8/LDHB/UQCC2/NDUFV1/NNT/ETFB/COX6B1/NDUFAF8/NDUFV3/UBC/NDUFAF2/ETFA/NDUFS2/NDUFA13/PDK2/COX8A/SFXN4/COA1/NDUFB3/FAHD1/NDUFA11/UQCRH/ATP5MC3/COX6C/COX17/TMEM126A/NDUFA12/ETFDH/SDHAF2/NDUFS5/CYC1/NDUFA2/ATP5F1D/UQCRB/NDUFB11/UQCRFS1/NDUFAF3/COX4I1/NDUFAF4/NDUFB10/ACAT1/SDHAF1/SUCLA2/PYURF/HSCB/RAB5IF/COA5/ATP5MC2/COX16/SDHAF3/DLST/VDAC1/IDH3B/UQCRC1/SDHB/MT-ND6/MAEA/HSPA9/DLAT/COX5B/LETM1/NDUFS1/GPT/ATP5PB/NDUFB4/GOT1/NDUFB8/PDHA1/DLD/GSTZ1/NDUFA10/ATP5PD/ATP5F1A/NDUFV2/HIGD1A/MDH1/ATP5F1C/COX11/NDUFB6/NDUFB7/NDUFS3/UBB/LDHA/COX20/NDUFS6/NDUFB5/SMIM20/ISCA2/GOT2/LYRM2/UQCRC2/COX6A1/GLO1/SUCLG2/NDUFA9/NDUFA8/OXA1L/TMEM126B/NDUFB9/COX7B/COX5A/COX7C/ATP5MC1/CMC1/DMAC1/MDH2/NDUFA7/COQ10B/RMND5A/ATP5MG/PDHB/IDH3G/SLC25A13/TIMMDC1/ATP5F1B/SDHC/ISCA1/NDUFAF1/SCO1/UQCC3/PKLR/COX7A2L/LYRM4/ATP5PO/ATP5PF/TACO1/NDUFA5/MKLN1/NFS1/COX7A2/IDH2/SDHA/PC/HIGD2A",183,"PT","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","111/2625","120/11230",0.925,3.9572380952381,17.9878659801606,1.48249902058249e-59,3.01132613555819e-57,2.02283090045269e-57,"RPS26/RPL39/RPS4Y1/RPS4X/RPL6/RPL28/RPLP2/UBA52/RPS21/RPL36/RPL7/EIF5/RPL9/RPL22/RPS15A/RPS3A/RPS28/EIF2B2/RPS13/RPS27A/RPL10A/RPL8/RPL3/RPL35/RPS19/RPL13A/RPS12/EIF5B/RPL5/RPL15/RPL7A/RPS7/RPS23/EIF3B/RPL10/RPL23/RPL36AL/RPL22L1/RPL18A/RPS6/RPL30/RPS2/EIF3A/RPS18/EIF3D/PABPC1/EIF1AX/RPL23A/EIF3F/RPS27/EIF3E/RPS5/RPS3/EIF3I/RPL38/EIF3J/EIF2S2/EIF4H/EIF2S3/EIF3L/EIF4EBP1/RPL32/EIF3H/RPS14/RPL36A/RPL37A/RPL35A/RPL4/RPL21/RPL31/FAU/RPS16/RPL37/RPS10/RPL26L1/RPS8/EIF4A2/EIF4A1/RPL14/RPLP0/EIF3K/RPLP1/RPL29/RPL24/RPS24/RPS27L/EIF4G1/RPL18/EIF4E/RPL19/RPS29/EIF4B/RPS11/RPL41/RPL27A/EIF3M/RPL26/RPS20/RPS17/RPS15/RPL34/RPSA/RPL27/RPL12/EIF2S1/EIF3G/RPS9/RPS25/RPL11/RPL13/RPL17",111,"PT","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","111/2625","120/11230",0.925,3.9572380952381,17.9878659801606,1.48249902058249e-59,3.01132613555819e-57,2.02283090045269e-57,"RPS26/RPL39/RPS4Y1/RPS4X/RPL6/RPL28/RPLP2/UBA52/RPS21/RPL36/RPL7/EIF5/RPL9/RPL22/RPS15A/RPS3A/RPS28/EIF2B2/RPS13/RPS27A/RPL10A/RPL8/RPL3/RPL35/RPS19/RPL13A/RPS12/EIF5B/RPL5/RPL15/RPL7A/RPS7/RPS23/EIF3B/RPL10/RPL23/RPL36AL/RPL22L1/RPL18A/RPS6/RPL30/RPS2/EIF3A/RPS18/EIF3D/PABPC1/EIF1AX/RPL23A/EIF3F/RPS27/EIF3E/RPS5/RPS3/EIF3I/RPL38/EIF3J/EIF2S2/EIF4H/EIF2S3/EIF3L/EIF4EBP1/RPL32/EIF3H/RPS14/RPL36A/RPL37A/RPL35A/RPL4/RPL21/RPL31/FAU/RPS16/RPL37/RPS10/RPL26L1/RPS8/EIF4A2/EIF4A1/RPL14/RPLP0/EIF3K/RPLP1/RPL29/RPL24/RPS24/RPS27L/EIF4G1/RPL18/EIF4E/RPL19/RPS29/EIF4B/RPS11/RPL41/RPL27A/EIF3M/RPL26/RPS20/RPS17/RPS15/RPL34/RPSA/RPL27/RPL12/EIF2S1/EIF3G/RPS9/RPS25/RPL11/RPL13/RPL17",111,"PT","HCKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","105/2625","113/11230",0.929203539823009,3.97522123893805,17.5559543132355,6.93350614063986e-57,1.25188305317108e-54,8.40941037174682e-55,"RPS26/RPL39/RPS4Y1/RPS4X/SEC61G/RPL6/RPL28/RPLP2/UBA52/RPS21/RPL36/SRP9/RPL7/RPL9/RPL22/SPCS1/RPS15A/RPS3A/RPS28/RPS13/RPS27A/RPL10A/SPCS2/RPL8/RPL3/RPL35/RPS19/RPL13A/RPS12/RPL5/RPL15/RPL7A/RPS7/TRAM1/RPS23/RPL10/RPL23/RPL36AL/RPL22L1/SRP54/RPL18A/RPS6/RPL30/RPS2/SSR3/RPS18/RPL23A/SRP72/SEC11A/RPS27/RPS5/RPS3/SEC61A1/RPL38/RPL32/RPS14/RPL36A/RPL37A/RPL35A/RPL4/RPL21/RPL31/FAU/RPS16/RPL37/RPS10/SPCS3/SEC61B/RPL26L1/RPS8/RPL14/RPLP0/SEC11C/RPN1/RPLP1/RPN2/RPL29/RPL24/RPS24/RPS27L/RPL18/RPL19/RPS29/RPS11/RPL41/RPL27A/RPL26/RPS20/RPS17/RPS15/DDOST/RPL34/RPSA/RPL27/SSR1/RPL12/SRP19/RPS9/SSR4/SRP14/RPS25/RPL11/SSR2/RPL13/RPL17",105,"PT","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","130/2625","159/11230",0.817610062893082,3.49781371668164,17.5196304209943,2.41008769522972e-55,3.9163925047483e-53,2.63080098942445e-53,"RPS26/RPL39/RPS4Y1/RPS4X/RPL6/RPL28/RPLP2/UBA52/RPS21/RPL36/PSMA3/RPL7/RPL9/RPL22/RPS15A/RPS3A/RPS28/RPS13/RPS27A/RPL10A/USP33/RPL8/RPL3/PSMA2/PSMB3/PSMB4/RPL35/RPS19/RPL13A/RPS12/RPL5/RPL15/RPL7A/PSMC5/RPS7/ADRM1/RPS23/PSMD13/RBM8A/RPL10/RPL23/RPL36AL/RPL22L1/RPL18A/UBC/RPS6/PSMD3/RPL30/RPS2/PSMB5/ELOB/RPS18/PABPC1/RPL23A/PSMC1/PSMB2/RPS27/RPS5/RPS3/PSMA4/PSMC2/RPL38/PSMC4/PSMA7/ELOC/RPL32/RPS14/RPL36A/RPL37A/PSMA1/RPL35A/RBX1/RPL4/PSMB1/PSMD2/PSMD12/PSMA5/RPL21/RPL31/FAU/RPS16/RPL37/RPS10/PSMD14/RPL26L1/RNPS1/MAGOH/RPS8/RPL14/RPLP0/EIF4A3/RPLP1/PSMB7/UBB/RPL29/PSMD8/RPL24/RPS24/RPS27L/SEM1/PSMD6/EIF4G1/PSMC3/RPL18/RPL19/RPS29/PSMB6/PSMC6/RPS11/RPL41/RPL27A/RPL26/NCBP2/RPS20/RPS17/RPS15/RPL34/RPSA/RPL27/PSMD1/ETF1/RPL12/RPS9/GSPT1/RPS25/RPL11/RPL13/PSMD7/RPL17/PSMD11",130,"PT","HCKD_vs_Normal"
